machined flat and parallel 170
machines other than discrete 114
machines used for harvesting 50
machines used for processing 124
machines were being designed 69
machines were being imported 47
machines were being invented 158
machines were being operated 113
machines were being prepared 85
machines were being produced 111
machines were being replaced 40
machines were not designed 279
machines were not equipped 86
machines were not invented 107
machines were not produced 47
machines were not properly 52
machines were not suitable 72
magazine from its inception 144
magazine into his overcoat 45
magazine spring and follower 106
magnetic axis and magnetic 78
magnetic bearing and distance 69
magnetic core and magnetic 45
magnetic disk and magnetic 289
magnetic drum and magnetic 107
magnetic flux and electric 208
magnetic flux and magnetic 202
magnetic flux and therefore 96
magnetic flux that produces 50
magnetic iron ore deposits 53
magnetic media are magnetic 42
magnetic north and magnetic 81
magnetic tape and analyzed 115
magnetic tape and computer 57
magnetic tape and diskette 67
magnetic tape and magnetic 991
magnetic tape for analysis 100
magnetic tape for archival 51
magnetic tape for computer 885
magnetic tape for playback 97
magnetic tape for processing 454
magnetic tape that contains 154
magnifying their dim outlines 94
mahogany desk and bookcase 259
maintain clean and sanitary 44
maintain fire and extended 222
maintain fish and wildlife 58
maintain full and accurate 106
maintain full and complete 151
maintain good and friendly 95
maintain good and suitable 73
maintain good heat transfer 50
maintain heading and altitude 41
maintain health and physical 253
maintain health and vitality 214
maintain health and wellness 225
maintain high real interest 107
maintain hope and optimism 88
maintain life with adequate 60
maintain peace and communal 115
maintain peace and friendly 84
maintain peace and goodwill 92
maintain peace and preserve 89
maintain peace and progress 43
maintain peace and security 11347
maintain peace with scotland 50
maintain pure and inviolate 156
maintain safe and sanitary 78
maintain said oath inviolate 750
maintain their new positions 41
maintain their old cultural 41
maintain their old positions 50
maintain their old standard 128
maintain their own accounting 80
maintain their own accounts 130
maintain their own archives 145
maintain their own authority 489
maintain their own autonomy 258
maintain their own branches 55
maintain their own business 82
maintain their own children 825
maintain their own churches 241
maintain their own communal 69
maintain their own complete 41
maintain their own computer 112
maintain their own contacts 44
maintain their own cultural 1000
maintain their own cultures 320
maintain their own customer 50
maintain their own database 73
maintain their own distinct 294
maintain their own domestic 92
maintain their own economic 220
maintain their own emotional 128
maintain their own external 51
maintain their own families 252
maintain their own financial 101
maintain their own hegemony 41
maintain their own highways 47
maintain their own identity 1630
maintain their own interest 99
maintain their own internal 464
maintain their own internet 44
maintain their own languages 312
maintain their own linguistic 41
maintain their own machines 84
maintain their own military 455
maintain their own minister 60
maintain their own monopoly 109
maintain their own networks 142
maintain their own parochial 81
maintain their own personal 601
maintain their own physical 129
maintain their own policies 69
maintain their own positions 588
maintain their own prestige 124
maintain their own programs 93
maintain their own property 67
maintain their own relative 81
maintain their own religious 472
maintain their own reserves 48
maintain their own security 400
maintain their own separate 835
maintain their own services 63
maintain their own software 41
maintain their own specific 70
maintain their own standard 209
maintain their own survival 70
maintain their own tradition 52
maintain their own vehicles 98
maintain their own vitality 42
maintain their own washington 137
maintain their own websites 135
maintain their real purchasing 50
maintain their real standard 50
maintain there are probably 61
maintain those who directly 45
maintain true and accurate 79
maintain warm and friendly 51
maintain what they believed 107
maintain what they consider 300
maintain what they perceive 83
maintain what they regarded 104
