macro level analysis of 102
magic potion prepared by 44
magic power ascribed to 80
magic power inherent in 139
magic rites designed to 45
magic which pervaded the 61
magma which produced the 71
mailing lists compiled by 108
mailing lists containing the 46
mailing lists provided by 169
mailing lists supplied by 105
maize which depended on 48
maize yield response to 114
major action occurred in 47
major armed conflict in 201
major armed conflict is 43
major armed conflict of 49
major banks involved in 55
major bombing campaign in 50
major cases concerning the 43
major cells involved in 93
major change affected the 51
major change compared to 88
major change concerns the 176
major change consists of 43
major change effected by 160
major change initiated by 55
major change involved in 42
major change involved the 248
major change involves the 196
major change observed in 64
major change occurred as 100
major change occurred at 96
major change occurred in 4945
major change proposed by 65
major change proposed in 49
major change proposed is 42
major change required is 63
major chord consists of 85
major chord followed by 53
major clash occurred in 100
major clash occurred on 50
major class consists of 69
major class positions in 42
major costs incurred by 72
major costs incurred in 42
major costs involved in 235
major court decisions in 56
major court decisions on 56
major crops compared to 57
major crops increased by 46
major crops produced by 52
major crops produced in 222
major danger inherent in 66
major defeat suffered by 189
major donor agencies in 48
major donor agencies to 40
major ethnic divisions of 60
major event occurred in 371
major event occurred on 65
major facts concerning the 58
major finding concerns the 73
major finding reported in 56
major fires occurred in 51
major firms involved in 121
major flood occurred in 255
major force supporting the 52
major force underlying the 104
major funding provided by 72
major genes involved in 197
major group affected by 46
major group consists of 332
major group includes the 47
major group involved in 70
major growth industry in 505
major growth industry of 134
major growth occurred in 67
major housing programs in 48
major housing projects in 54
major human problems of 124
major indian languages as 53
major indian languages in 77
major indian languages of 41
major issue concerning the 428
major issue concerns the 796
major issue involved in 308
major issue involved the 98
major issue involves the 163
major issue pertaining to 82
major issue pertains to 52
major issue relevant to 40
major issue separating the 69
major issue underlying the 73
major items exported to 51
major items included in 258
major items involved in 83
major joint ventures in 79
major known deposits of 62
major labor disputes in 91
major league baseball as 690
major league baseball at 200
major league baseball by 233
major league baseball if 52
major league baseball in 1830
major league baseball is 566
major league baseball of 43
major league baseball on 177
major league baseball or 240
major league baseball the 86
major league baseball to 919
major league pitchers in 72
major legal barriers to 57
major legal challenge to 124
major legal obstacle to 90
major legal problems in 43
major liver resection in 127
major liver resection is 50
major motion pictures as 100
major motion pictures in 77
major motion pictures to 52
major motor seizures in 57
major music festival in 70
major naval operation in 52
major naval presence in 44
major needs referred to 301
major organ involved in 244
major party nominees in 108
major people involved in 51
major point concerning the 115
major point concerns the 148
major point stressed by 69
major power interest in 41
major power involved in 79
major power projects in 47
major power relations in 124
major power struggle in 79
major price increases in 154
major price increases of 41
major racial divisions of 83
major reason advanced by 49
major reason underlying the 241
major renal arteries or 53
major risks inherent in 65
major risks involved in 204
major scale consists of 233
major shift occurred as 43
major shift occurred in 1479
major sites involved in 47
major sites mentioned in 155
major slave rebellion in 78
major social activity in 57
major social activity is 47
major social activity of 53
major social cleavages in 79
major social concerns in 40
major social concerns of 121
major social divisions in 110
major social divisions of 133
major social functions in 53
major social functions of 242
major social movement in 180
major social movement of 115
major social movement to 47
major social problems as 321
major social problems at 52
major social problems by 82
major social problems in 799
major social problems is 126
major social problems of 1656
major social problems or 62
major social problems to 57
major social problems we 46
major social programs in 76
major social programs of 44
major social questions of 109
major social segments of 43
major social services in 43
major social upheavals in 58
major social upheavals of 98
major split occurred in 205
major steel producer in 119
major steps involved in 2551
major steps required in 67
major steps required to 271
major still remained in 41
major stock exchanges as 45
major stock exchanges in 438
major stock exchanges is 46
major stock exchanges of 181
major stock exchanges or 109
major stock exchanges to 55
major study designed to 56
major study reported in 128
major sugar producer in 72
major tasks assigned to 166
major tasks involved in 559
major tasks required to 177
major teaching affiliate of 65
major teaching hospital in 397
major teaching hospital is 63
major teaching hospital of 136
major themes concerning the 72
major themes dominate the 83
major themes explored in 120
major themes involved in 58
major themes outlined in 47
major themes relevant to 82
major themes underlie the 48
major themes underlying the 98
major thesis advanced by 53
major trade partners in 176
major trade partners of 238
major trading partners as 494
major trading partners by 107
major trading partners do 44
major trading partners in 1396
major trading partners is 265
major trading partners of 2173
major trading partners on 143
major trading partners or 81
major trading partners to 505
major unions involved in 57
major urban problems in 48
major urban problems of 87
major views concerning the 98
major waste products of 46
major water projects in 79
major water resource in 56
major works concerning the 54
major works included in 47
major works included the 125
major works produced by 72
