landowners interested 46 landscapes identified
50 landslides identified 50 legislation
considered 72 legislation enactments 111
legislation identified 54 legislation introduced
373 legislation categories 45 leukocytes
identified 46 liabilities discharged 268
liabilities identified 79 liabilities liquidated
76 liabilities subtracted 167 liberality
oppressors 262 lieutenant designedly 75
likelihood statistics 693 limitations considered
97 limitations determined 92 limitations
discovered 53 limitations eliminated 77
limitations identified 325 limitations introduced
105 limitations recognized 258 limitations
properties 51 limitations activities 68
literature university 56 literature university
189 literature attributed 48 literature
calculated 50 literature considered 84
literature criticized 47 literature determined
92 literature discovered 112 literature
elaborated 55 literature identified 164
literature influenced 49 literature introduced
67 literature stimulated 42 literature
summarized 123 literature translated 293
literature categories 68 literature categories
174 literature delightful 47 localities
determined 42 localities discovered 279
localities identified 225 loneliness oppressive
