babies born die before they 42
babies like them better than 42
babies there are always new 69
backed away and reached for 48
backed down and agreed that 74
ballet romeo and juliet and 62
barbed wire and dotted with 40
barely kept his family fed 90
barged into his office and 94
barges were got through this 42
barges were then filled with 74
barter away too cheaply our 42
batter down any cities with 43
batter into each muffin cup 298
batter into two greased and 108
battle lost and almost all 53
became angry and cursed him 47
became angry and cursed them 42
became angry and lashed out 82
became angry and raised his 50
became angry and stated that 54
became angry and struck her 98
became angry with myself for 104
became clear that almost all 147
became clear that austria was 43
became clear that canada was 42
became clear that castro was 51
became clear that england and 53
became clear that england was 73
became clear that europe was 50
became clear that france and 77
became clear that france had 71
became clear that france was 216
became clear that hitler had 131
became clear that hitler was 260
became clear that little had 41
became clear that moscow was 66
became clear that neither was 44
became clear that nobody had 42
became clear that nobody was 65
became clear that poland was 40
became clear that someone had 97
became clear that someone was 75
became clear that something had 365
became clear that something was 529
became clear that stalin had 63
became clear that stalin was 86
became clear that wilson had 45
became clear that wilson was 51
became dumb and opened not 70
became from that moment his 68
became from that moment one 40
became from this moment not 69
became more than obvious that 49
became only too obvious that 511
became rich and famous and 102
became rich and famous for 45
became rich and varied and 85
became sick with malaria and 49
became soft and pliable and 41
became what was called his 57
become clear that almost all 66
become clear that something was 53
become clear that thought has 51
become cold and clammy and 47
become food for plants and 44
become full big enough for 48
become good and useful men 65
become living and existing things 47
become more than double its 54
become more than obvious that 119
become only too obvious that 106
become part and parcel with 90
become rich and famous and 292
become rich and famous for 44
become rich and famous with 43
become rich and learned and 46
become ripe and joyous and 41
become soft and flabby and 89
become soft and pliable and 144
become their own bosses and 41
become what they already are 149
become what you already are 148
becoming rich and famous and 44
becoming those who fought for 54
befell during this bloody war 40
before adam and before eve 42
before dawn and waited for 54
before ending his career with 65
before ezra than before any 48
before half his course was 69
before iris had reached that 69
before laid her doubts and 61
before leaving for england and 87
before leaving for europe and 73
before leaving for france and 68
before leaving for london and 64
before leaving for school and 115
before leaving for school each 52
before leaving his office for 48
