ballet after 75 barred ended 55
became issue 54 became which 52
became party 63 became power 43
became court 88 became state 50
became woman 101 became party 41
became state 99 became black 54
became nation 129 became known 44
became party 79 became group 43
became white 206 became leader 51
became party 138 became after 42
became since 596 became under 111
became owned 85 became party 364
became force 90 became issue 151
became party 52 became feeling 46
become nation 77 become nation 63
become power 61 become after 47
become since 71 become under 51
become party 73 become force 71
become issue 72 become people 88
becoming since 74 before occur 72
before could 47 before thereof 87
before period 69 before washing 43
before began 45 before takes 140
before which 86 before period 253
before molar 87 before white 41
before meeting 49 before court 89
before shall 67 before which 152
before could 58 before field 45
before world 233 before meeting 246
before which 48 before again 40
beheld mount 65 behind scene 61
behind bench 134 belief within 54
bestow while 114 beyond setting 85
beyond level 45 beyond whose 48
beyond under 56 beyond limit 41
blocks about 50 branch which 494
burden rests 61 burden rests 72
burden rests 54 burden cause 73
burden cause 42 burden falls 67
