bear than 137 bed and 90
being his 96 being not 42
being any 48 being way 104
being with 41 being than 60
being than 70 being and 58
big with 42 both that 45
both day 67 both for 86
bud and 40 but has 46
but for 50 but and 42
but them 61 but that 112
but and 74 but was 43
but you 64 but that 240
but you 79 but then 48
but that 166 but not 117
but for 102 but not 66
but its 61 but was 51
but nor 92 but that 166
but that 152 but that 99
but them 95 but she 59
but they 123 but how 53
but for 64 but how 118
but why 129 but them 69
but that 60 but that 165
but are 62 but not 59
but him 51 but had 58
but than 43 but this 81
but him 60 but not 41
but him 62 but and 57
but has 61 but thee 98
but with 68 but why 47
but why 121 but her 46
