backs shaved 48 baker loaves 106
balls floating 41 balls amongst 47
balls should 69 bands around 59
banged behind 791 banged behind 58
banks rivers 91 banks rivers 108
banks broken 92 banks broken 89
banks freely 116 banks credit 71
bards strode 85 based earlier 85
based africa 41 based actual 117
based animal 201 based annual 47
based another 92 based census 89
based earlier 121 based existing 57
based figure 66 based office 52
based public 49 based recent 53
based sample 48 based tables 162
based twenty 87 based united 110
based various 411 based points 61
based weight 802 based points 61
based series 45 based values 75
based factor 132 based ground 161
based source 56 based simple 128
based should 46 based weight 108
based market 304 based values 365
based belief 43 based status 159
based degree 40 based school 175
based recent 169 based actions 49
based record 67 based scores 585
based should 205 based scores 46
based levels 45 based points 81
based scales 45 based points 201
based simple 50 based reasons 43
based before 65 based happen 105
based before 46 based called 86
based thought 56 based happen 72
based weight 81 based status 183
based recent 184 based habits 48
based record 73 basis market 47
basis various 99 basis weight 70
basis factor 74 basis simple 43
basis weight 60 basis market 191
basis values 125 basis status 85
basis school 390 basis recent 72
basis recent 89 basis record 311
basis scores 596 basis record 41
basis strength 56 basis freely 53
basis pleadings 40 basis whether 42
basis points 47 basis scores 101
basis points 91 basis become 46
basis happen 78 batch reactor 162
bathed monday 84 baulk moment 78
beasts places 65 beauty measure 53
beauty before 51 beauty neither 297
began eleven 83 began before 62
began slowly 127 began toward 122
began hoarse 44 began before 95
began almost 95 began around 63
began before 86 began through 66
began toward 50 began houses 49
began pieces 65 began winter 49
began through 52 began curses 210
began rivals 69 began evenings 42
began shadow 101 began throats 126
began harder 315 began heavily 116
began through 41 began abroad 48
began england 112 began europe 59
began france 41 began various 71
began circle 46 began clearer 43
began closer 162 began common 189
began effect 171 began england 41
began fashion 393 began greater 49
began notice 105 began public 86
began freely 63 began french 44
began heavily 57 began swords 45
began toward 77 began before 95
began memory 127 began public 155
began memory 44 began across 51
began before 303 began slowly 168
began through 44 began toward 284
began before 48 began harder 47
began arrears 128 began disuse 1261
began before 57 began heavily 464
began thickly 76 began heavily 230
began before 42 began itself 87
began better 120 began afraid 72
began anxious 163 began guilty 69
began lonely 63 began secure 83
began tedious 81 began myself 163
began someone 115 began something 140
began anxious 46 began deeply 102
began keenly 107 began kindly 125
began normal 168 began secure 1566
began better 2799 began enough 114
began without 43 began inside 131
began degree 64 began doubts 82
began little 111 began qualms 119
began relief 172 began slight 51
began strength 283 began afraid 44
began anxious 353 began curious 62
began drowsy 98 began guilty 179
began keenly 40 began lonely 386
began sleepy 242 began strange 261
began thirsty 225 began unwell 283
began inside 107 began enough 205
began plates 110 began lovely 48
began places 52 began voices 125
began little 41 began behind 52
began cannon 107 began rifles 128
began weapons 94 began before 93
began europe 42 began canada 53
began england 104 began europe 91
began mexico 54 began freely 622
began readily 41 began slaves 108
began ground 71 began strength 54
began weight 52 began kingdoms 55
began serious 144 began thought 150
began weight 62 began credit 41
began serious 51 began thought 531
began without 64 began toward 51
began before 43 began before 46
began faster 43 began cities 56
began something 136 began active 78
began copious 65 began serious 115
began slowly 128 began faster 100
began anxious 168 began scarce 43
began sickly 46 began slowly 103
began doubts 146 began notions 77
began effect 47 began energy 41
began serious 86 began doubts 787
began effect 711 began impact 218
began little 135 began qualms 75
began second 134 began serious 175
began slight 66 began strange 45
began doubts 515 began effect 1442
began impact 164 began little 40
began serious 90 began severe 51
began meetings 120 began annual 57
began meetings 175 began wolves 118
began toward 47 began voices 58
began writings 48 began houses 67
began island 45 began native 99
began places 111 began bloody 117
began wounds 170 began voices 71
began rifles 40 began longingly 55
began street 101 began likely 45
began secure 56 began another 151
began itself 44 began luxury 69
began someone 54 began something 290
began appealing 99 began deeply 194
began kindly 116 began likely 43
began normal 61 began serious 275
began toward 53 began better 252
began itself 108 began myself 356
began bright 50 began gloomy 71
began serious 544 began larger 74
began trucking 58 began ground 48
began charms 44 began credit 71
began earlier 129 began effect 180
began former 143 began initial 59
began luster 100 began powers 48
began special 43 began spirit 51
began status 83 began strength 208
began terror 100 began weight 56
began little 156 began headway 53
began headway 51 began grants 43
began noises 86 began serious 51
began answer 48 began amends 68
began changes 226 began effort 40
began figure 121 began headway 720
began impact 121 began little 75
began remark 61 began serious 50
began slight 51 began claims 43
began coffee 45 began effect 40
began escape 179 began impact 334
began retreat 41 began rounds 86
began voices 396 began weight 134
began serious 55 began severe 40
began violent 55 began before 245
began through 111 began freely 47
began slowly 102 began through 101
began toward 81 began across 55
began slowly 41 began through 44
began toward 450 began across 40
began toward 81 began faster 70
began before 190 began english 60
began kansas 41 began slowly 51
began freely 208 began slowly 504
began faster 52 began toward 48
began toward 67 began troops 40
began slowly 451 began plains 69
began slowly 65 began madame 51
began escape 93 began future 112
began return 59 began active 44
began dorothea 71 began rattling 69
began cannon 68 began softly 225
began across 58 began through 50
began boston 59 began canada 56
began england 126 began europe 222
began france 150 began kansas 68
began london 54 began itself 74
began toward 53 began claims 56
began brains 87 began around 47
began before 57 began heavily 76
began heavily 281 began widely 65
began heavily 733 began before 64
