bacteria have had a chance 67
bailiff cuts but a shabby 50
because here was a chance 137
because home was a little 71
because just for a moment 161
because more than a decade 58
because more than a million 177
because there are a couple 332
because there are a finite 218
because there are a greater 281
because there are a larger 75
because there are a million 205
because there are a number 6353
because there are a series 90
because there was a battle 44
because there was a belief 200
because there was a better 615
because there was a bigger 90
because there was a boyish 70
because there was a bridge 54
because there was a bright 81
because there was a broken 104
because there was a building 95
because there was a chance 1312
because there was a church 46
because there was a clause 203
because there was a common 358
because there was a crisis 185
because there was a curfew 231
because there was a curious 46
because there was a defect 89
because there was a degree 97
because there was a demand 742
because there was a desire 227
because there was a dinner 50
because there was a direct 171
because there was a divine 52
because there was a doctor 50
because there was a double 90
because there was a fairly 104
because there was a family 392
because there was a famine 255
because there was a famous 49
because there was a fellow 40
because there was a figure 57
because there was a french 42
because there was a german 68
because there was a greater 1894
because there was a hidden 56
because there was a higher 539
because there was a highly 47
because there was a jewish 85
because there was a ladder 48
because there was a larger 256
because there was a legend 67
because there was a letter 241
because there was a little 1120
because there was a marked 329
because there was a market 637
because there was a measure 51
because there was a moment 125
because there was a mutual 95
because there was a native 90
because there was a notice 52
because there was a number 78
because there was a passion 53
because there was a person 98
because there was a police 213
because there was a policy 44
because there was a pressing 137
because there was a pretty 170
because there was a priest 57
because there was a profit 152
because there was a public 549
because there was a record 43
because there was a remedy 64
because there was a report 242
because there was a reward 59
because there was a school 127
because there was a second 196
because there was a secret 156
because there was a section 54
because there was a series 72
because there was a serious 369
because there was a severe 181
because there was a shadow 48
because there was a slight 436
because there was a something 184
because there was a special 380
because there was a spirit 94
because there was a standing 140
because there was a strange 143
because there was a strict 72
because there was a strike 191
because there was a sudden 319
because there was a supply 47
because there was a system 71
because there was a temple 75
because there was a vacant 56
because there was a vacuum 123
