backseat of his car in 40
bacteria in that they do 67
bacteria is not due to 43
bacteria so they can be 46
baffled to say why he 88
baggage in and out of 53
baggage to get rid of 42
baggage we bring with us 52
baggage we had with us 100
balance if they are to 137
balance in all things is 41
balance in any one of 45
balance in its use of 51
balance in one way or 210
balance in this area is 60
balance in this area of 143
balance is all that is 90
balance is not easy to 433
balance is not going to 50
balance is not one of 50
balance it out with the 40
balance it with all my 726
balance of his being so 41
balance of pay due to 109
balance of tax due as 47
balance of tax due by 74
balance of tax due is 87
balance of tax due on 207
balance of this way of 60
balance so that they do 93
balance so that you do 135
balance the new with the 43
balance the old and the 225
balance the old with the 41
balance the one with the 62
balance to get him to 45
balance to pay for the 84
balance to pay off the 43
balance we can not be 51
balancing of one set of 114
balancing on one leg as 63
balancing the old and the 47
balancing the one with the 97
balcony at each end of 63
balcony at one end of 177
ballads be sung for by 63
ballads of that age on 114
balloon at its tip is 109
balloon on its tip is 45
balloon to each end of 54
balloon to one end of 71
bandage is all that is 86
bandage on his head to 79
bandied to and fro as 53
bandied to and fro by 173
bandied to and fro in 326
bandies to and fro the 44
banishing of you out of 55
bankers to pay for the 40
baptism by any act of 150
baptism is not for the 50
baptism is not one of 41
baptism no one can be 52
baptism of his son in 48
bargain by being put in 91
bargain he can with the 95
bargain so bad that it 111
bargain to get rid of 114
barrels of ale for the 50
barrels of his gun at 144
barrels of his gun in 66
barrels of oil and is 69
barrels of oil and the 204
barrels of oil can be 239
barrels of oil for the 250
barrels of oil may be 160
barrels of oil off the 49
barrels of oil out of 143
barrels of oil that the 74
barrier at one end of 48
barrier he had set up 43
barrier on his way to 60
barrier on its way to 41
barrier to all but the 142
barrier to its use in 65
baskets at each end of 95
baskets on each end of 51
bastard is not going to 195
bathroom at one end of 53
bathroom on her way to 56
bathroom on his way to 43
bathroom to get rid of 125
bathroom to put them on 51
batters me far out on 41
battery at each end of 122
battery at one end of 167
battery is all that is 125
battery is cut out of 46
battery is too low to 55
battery is too weak to 55
