backed a truck up to 164
barely a cloud in the 97
barely a dozen of the 50
barely a dozen or so 45
barely a fourth of the 178
barely a speck in the 60
barely a speck on the 78
barely a trace in the 64
barely a trace of an 130
barely a trace of it 61
barely a trace of the 388
barren a field to the 72
batter a breach in the 402
battle a tribe of the 46
became a badge of the 106
became a baron of the 684
became a basis of the 167
became a beacon in the 51
became a beacon to the 67
became a bearer of the 43
became a bible of the 81
became a blank to me 56
became a blend of the 112
became a brake on the 115
became a breach of the 42
became a bureau in the 96
became a bureau of the 209
became a cadet at the 331
became a cadet in the 625
became a canon at the 126
became a canon in the 262
became a canon of st 123
became a canon of the 967
became a cause of the 264
became a check on the 69
became a chief in the 77
became a chief of the 522
became a child in the 70
became a child of the 498
became a claim to the 48
became a clerk at the 470
became a clerk in an 268
became a clerk in the 6816
became a clerk of the 311
became a clerk on the 58
became a clerk to the 138
became a count of the 207
became a craze in the 193
became a crime in the 174
became a crime to be 105
became a curse in the 64
became a curse on the 53
became a curse to the 251
became a danger to the 905
became a darling of the 434
became a deacon at the 83
became a deacon in the 666
became a deacon of the 605
became a dealer in the 46
became a deity of the 58
became a demon of the 91
became a denial of the 54
became a dogma in the 116
became a dogma of the 304
became a drain on the 471
became a duchy in the 43
became a facet of the 90
became a father at the 155
became a father in my 47
became a father in the 60
became a father of the 124
became a father to me 234
became a father to the 160
became a fight to the 177
became a flood as the 81
became a flood by the 98
became a flood in the 369
became a focus in the 130
became a focus of my 64
became a focus of the 1240
became a force in the 1839
became a force on the 141
became a force to be 2685
became a fruit of the 69
became a ghost in the 57
became a greek to the 51
became a groom of the 137
became a group of the 47
became a guard at the 96
became a guard in the 42
became a guest at the 336
became a guest in the 219
became a guest of the 358
became a guide in the 46
became a guide to the 207
became a habit in the 124
became a habit of the 277
became a haunt of the 75
became a hearer of the 65
became a hobby of the 50
