bad debt deduction for any 63
bear more children than they 286
bear their trophies with them 415
bear upon physical things with 40
beg more questions than they 301
beg most earnestly that you 96
beg some victuals for them 227
being born blackens all our 60
being duly provided for and 44
being ever excepted who are 71
being from locations and not 72
being less almighty than that 131
being made prisoner was put 55
being more accurate than that 74
being more advanced than that 64
being more apparent than real 682
being more beautiful than any 75
being more beautiful than man 44
being more beautiful than she 40
being more commonly met with 46
being more complete than that 58
being more discreet than she 57
being more elevated than that 50
being more emotional than men 130
being more flexible than that 50
being more numerous than all 40
being more numerous than any 41
being more numerous than they 128
being more powerful than all 64
being more powerful than any 117
being more powerful than his 53
being more powerful than man 43
being more powerful than that 83
being more powerful than they 78
being more probable than not 64
being more probable than that 40
being more suitable for this 48
being more suitable for use 43
being more valuable than any 49
being more valuable than that 70
being most commonly met with 57
being most suitable for his 40
being most suitable for this 87
being much brighter than any 44
being much esteemed for his 43
being much narrower than that 57
being much renowned for his 141
being used properly and that 169
being very generous with his 46
being very intimate with him 46
being very sensible that they 42
being very suitable for this 95
being well prepared for all 62
being well provided for and 41
being well provided with all 107
being well rewarded for his 56
being well supplied with all 57
being well supplied with oak 41
bit more involved than for 40
bit more involved than that 140
bit more specific than that 72
both among catholics and non 49
both among officers and men 448
both among officials and non 90
both from officers and men 80
both high pressure and low 115
both miss catherine and her 64
both south australia and new 92
both their immediate and long 77
both these extremes and has 49
both these respects they are 126
both west pakistan and east 50
both what happened and how 109
both what happened and why 46
both what percival was and 65
both when compared one with 151
box grew shabbier each year 448
box will disappear and you 80
boy from brooklyn who had 42
boy only muttered that she 115
bring back memories for you 46
bring forth children who are 58
bring forth thousands and ten 413
bring some sardines with him 46
bring their children with them 1403
bring their cultures with them 62
bring their families with them 2664
bring their husbands with them 49
bring their moisture with them 41
bring their problems with them 112
bring their property with them 42
bring their servants with them 82
bring young children with them 63
bring your children with you 222
bring your daughter with you 154
bring your passport with you 82
bring your shackles out and 118
bring your slippers and cap 110
but also accounts for its 53
but also admitted that she 60
