baby mother 154 baby hands 41
back could 53 back tries 141
bake brown 135 baking cooking 254
bald loose 82 ball breast 42
ball right 201 band which 46
bank paper 173 barn coiling 59
bears which 82 beating usual 61
beating stiff 112 been drawing 48
been would 85 been could 42
been would 316 been river 52
been would 54 been where 98
been quite 56 been night 59
been hours 118 been money 56
been court 333 been fined 111
been given 55 been hanged 126
been would 45 been treating 73
been found 74 been creating 52
been never 51 been undue 65
been total 77 been world 153
been glass 54 been water 50
been often 70 been round 95
been night 40 been sobbing 59
been upset 51 been would 101
been morning 85 been night 56
been doubt 106 been doubt 106
been whole 62 been hours 49
been months 56 been books 53
been clothing 51 been would 58
been after 171 been voice 47
been would 180 been maybe 54
been found 156 been since 153
been hours 70 been night 43
been hours 55 been usual 66
been months 65 been short 41
beings place 88 beings still 53
belt waist 89 belt waist 59
best cable 70 best could 41
best money 51 best light 67
best money 140 best drove 120
bill house 72 bird every 171
birth rates 98 bleak paved 44
blue cheek 59 body pound 89
boil still 47 book black 89
book title 48 book unreal 48
book exist 135 born lover 44
born lived 48 bout wishing 48
boys girls 142 boys girls 40
boys girls 135 boys changing 100
breath longer 139 bringing wider 46
bringing would 69 bush talks 41
