be all mere imagination and 59
be and most frequently are 54
be any less mechanized than 46
be any less successful than 55
be any more acceptable than 102
be any more attractive than 51
be any more conclusive than 54
be any more democratic than 43
be any more efficacious than 54
be any more impossible than 52
be any more productive than 119
be any more profitable than 54
be any more reconciled with 63
be any more ridiculous than 70
be any more scientific than 43
be any more successful now 66
be any more successful than 2284
be any more successful with 102
be any more trustworthy than 62
be any more vulnerable than 44
be any other explanation for 282
be any other explanation than 68
be both more appropriate and 191
be both more consistent and 53
be both more convenient and 272
be both more democratic and 43
be both more economical and 143
be both more productive and 210
be both more profitable and 66
be both more successful and 43
be both their inclination and 43
be but just sufficient for 73
be doing those particular things 49
be far from improbable that 63
be far from sufficient for 171
be far less aggressive than 62
be far less attractive than 89
be far less burdensome than 40
be far less disastrous than 47
be far less disruptive than 69
be far less formidable than 186
be far less impressive than 86
be far less influential than 80
be far less productive than 166
be far less profitable than 123
be far less pronounced than 76
be far less substantial than 43
be far less successful than 210
be far less vulnerable than 58
be far more acceptable and 43
be far more acceptable than 301
be far more accessible and 43
be far more accessible than 57
be far more aggressive and 84
be far more aggressive than 196
be far more appreciated than 50
be far more appropriate and 77
be far more appropriate for 303
be far more appropriate than 237
be far more attractive and 71
be far more attractive than 401
be far more burdensome than 43
be far more compatible with 118
be far more consistent and 50
be far more consistent for 47
be far more consistent than 59
be far more consistent with 274
be far more contentious than 47
be far more convenient and 147
be far more convenient for 352
be far more convenient than 171
be far more democratic and 49
be far more democratic than 124
be far more dependable than 45
be far more disastrous for 41
be far more disastrous than 297
be far more disruptive than 68
be far more economical and 147
be far more economical for 84
be far more economical than 452
be far more efficacious than 345
be far more enlightening than 40
be far more entertaining than 116
be far more expeditious than 42
be far more expressive than 56
be far more formidable than 467
be far more homogeneous than 71
be far more illuminating than 76
be far more impressive than 209
be far more influential and 55
be far more influential than 558
be far more justifiable than 63
be far more oppressive than 81
be far more optimistic than 62
be far more persistent than 68
be far more persuasive than 308
be far more preferable than 98
be far more preoccupied with 76
be far more productive and 248
be far more productive for 126
