babe is also quite well 74
baby in your breast milk 49
back at full speed along 71
back at least fifty years 441
back at least forty years 212
back at least seven years 74
back at least sixty years 101
back at least thirty years 336
back at some later date 368
back at some later time 292
back at their hotel room 53
back at what could have 41
back at what might have 156
back at work within three 85
back by main force from 47
back by main force into 46
back in good order from 59
back in good order upon 266
back in their hearts unto 49
back in their hotel room 398
back in their lives were 110
back in those happy days 103
back in those times when 47
back in time fifty years 80
back in time thirty years 55
back in your hotel room 242
back my soul shall have 125
back of their house from 54
back of their minds some 82
back of their minds there 631
back of their minds when 381
back of their right hand 68
back of your chair when 48
back of your front teeth 182
back of your index finger 45
back of your lower legs 140
back of your right hand 1462
back of your right knee 134
back of your right thigh 304
back of your sound card 51
back of your throat like 47
back of your throat when 161
back of your upper arms 454
back of your upper legs 111
back of your upper teeth 121
back on their heels when 70
back on those first days 73
back on those first years 43
back on those happy days 83
back on those times when 66
back on what could have 58
back on what might have 289
back on your right foot 255
back on your right side 193
back so much light upon 43
back the body might spring 155
back the bolt which held 56
back the dark brown hair 85
back the dark curls from 41
back the hand which held 48
back the lost sheep into 54
back the next morning when 147
back the same forty mile 51
back the same grief draw 73
back the tears which came 87
back the tears which were 404
back the thick black hair 40
back the week after next 66
back the word which once 75
back to camp about dark 118
back to camp after dark 203
back to camp after their 46
back to camp right away 59
back to early times when 194
back to hand about some 95
back to home sweet home 41
back to keep watch over 67
back to last night when 78
back to life after four 69
back to life after having 167
back to life after their 95
back to life after three 163
back to life after years 133
back to life again when 89
back to life every time 52
back to look after some 40
back to look after their 138
back to look after your 70
back to look again upon 139
back to other times when 113
back to port royal when 40
back to some faded face 44
back to talk about their 43
back to talk about what 56
back to their daily life 88
back to their daily work 191
back to their first days 66
back to their first home 104
back to their first line 61
back to their first love 237
