bad to worse until finally 135
bag of solid shining british 56
ban on cross burning carried 70
bar of solid sleep between 133
beam of light passing between 44
beam of light which entered 44
beam of white light strikes 165
beat in sugar until mixture 127
beat the world chess champion 110
bed of ashes which covered 46
bed of smooth round pebbles 83
being an irish roman catholic 46
being in danger never crossed 85
being in every civil society 41
being no longer under control 75
being of child abuse victims 394
being the dirac delta function 69
being the feeling which prompts 50
being the first action between 70
being the first chief justice 46
being the first known example 46
being the first naval officer 64
being the first roman catholic 154
being the first steps towards 98
being the first white persons 44
being the first white settler 168
being the first woman elected 183
being the place where several 40
being the senior naval officer 44
bit of glass stuck against 69
bit of glass would magnify 41
bit of paper first offered 65
bit of white linen drapery 64
both of which could increase 46
both of which could provide 60
both of which first appeared 219
both of which large numbers 40
both of which still survive 52
both of which words signify 69
both of which would benefit 44
both of which would increase 285
both of which would involve 81
both of which would produce 79
both of which would provide 96
both of which would require 370
both of which would suggest 41
both the grand trunk pacific 137
both to works whose country 111
bring an action under article 180
bring it under human control 46
bring it under state control 83
bring the blaze under control 473
bring the chaos under control 44
bring the crowd under control 118
bring the fires under control 137
bring the horse under control 112
bring the press under control 43
bring the region under control 66
bring the right people together 352
bring the river under control 66
bring the vocal cords together 118
bring the vocal folds together 105
bring the warring sides together 52
bring the whole class together 166
bring the whole group together 183
bring the whole party together 43
bring the whole people together 73
bring the whole period vividly 49
bring the whole within official 50
bring the whole world against 99
bring the whole world together 81
bring the wound edges together 108
but an earthly mother rejoicing 58
but an ounce would produce 41
but he could easily imagine 100
but he could never believe 83
but he could never command 237
but he could never conquer 72
but he could never consent 209
but he could never explain 86
but he could never forgive 250
but he could never imagine 68
but he could never prevail 69
but he could never recover 106
but he could never succeed 112
but he could still function 41
but he could still picture 92
but he never again appeared 41
but he never again enjoyed 55
but he never could explain 40
but he never could forgive 48
but he never could prevail 95
but he never could succeed 76
but he never freed himself 70
but he never fully realized 49
but he never gives himself 46
but he never quite forgave 61
but he never quite managed 67
but he never really enjoyed 62
but he never shows himself 74
