bad people into good people 227
bear fruit many years later 126
bed which those days stood 53
being about five feet eight 100
being about five feet seven 48
being about four feet above 108
being about four feet apart 53
being about three feet above 127
being about three feet apart 46
being above five feet seven 55
being apart from other people 74
being blown away into space 57
being drawn from other parts 42
being drawn into other people 44
being moved from their homes 61
being mowed down like grass 70
being nearly free from trees 41
being nearly three years older 66
being right when other people 49
being shall have been found 45
being shall have full power 216
being split into three parts 53
being spread over four times 49
being spread over more units 64
being still very much alive 59
being swept away like chaff 51
being taken along these lines 40
being taken away from people 45
being taken away from under 65
being taken from their cells 43
being taken from their homes 456
being thrown into cold water 77
being thrown into deep water 135
being thrown into very close 83
big black pool down below 50
big miner from three miles 73
big round dining room table 42
big ships have been moved 44
big steps have been taken 46
big white silk bows under 99
both boats were swinging round 101
both cases there were strong 44
both could rest their claim 51
both drugs have been shown 46
both forms have been found 56
both kinds have been found 62
both knees into your chest 207
both might have been happy 46
both might have been saved 42
both nearly lost their lives 40
both races were made equal 92
both sexes have been found 171
both sexes have been shown 46
both shook their heads sadly 42
both sides come into action 57
both sides have been found 42
both sides have been fully 95
both sides have been given 83
both sides have been willing 51
both sides lost their lives 409
both sides there were about 47
both sides were well aware 212
both sides will best appear 52
both still very much alive 61
both towns have been ruled 46
both types have been found 133
both would break their necks 52
both would have been found 83
both would have been happy 66
both would have been saved 42
boy could have been saved 60
boy might have been saved 57
boy would have been about 43
boy would have been badly 85
bring about some other state 86
bring beauty into their lives 58
bring blood upon your house 52
bring books back into print 613
bring order into their lives 114
bring people into your store 56
bring shame upon your father 47
bring stone down from above 99
but about five years after 52
but about five years later 109
but about four years after 75
but about four years later 57
but about three days later 40
but about three years after 61
but about three years later 80
but adams knew nothing about 56
but after having gone about 51
but after only four months 57
but after only three months 110
but after only three weeks 63
but after some time spent 196
but after some years spent 49
but apart from some minor 41
but apart from such cases 77
but apart from these cases 79
but apart from these minor 46
