odd corners where a 83
off quickly after a 75
off rapidly after a 111
off rapidly within a 49
off several times a 829
off sharply after a 73
off shortly after i 85
off towards where i 93
oil brought about a 100
oil company makes a 52
oil several times a 246
old blanket which i 41
old college where i 41
old country after a 44
old country where i 40
old country which i 50
old familiar faces i 42
old friends after a 390
old friends sharing a 101
old friends since i 51
old friends spent a 48
old friends which i 125
old friends while i 82
old letters which i 99
old marquis calls a 54
old masters which i 48
old parable about a 55
old patient after a 67
old picture shows a 43
old promise about a 127
old proverb about a 131
old question under a 59
old records which i 50
old rubbish which i 40
old scandal gaining a 63
old soldier found a 114
old stories about a 76
old stories which i 78
old village where i 89
one account which i 66
one against getting a 40
one against which a 235
one against which i 867
one arrives after a 92
one article about a 135
one article which i 97
one bargain which a 68
one becomes either a 106
one brought about a 218
one capsule twice a 192
one carries about a 49
one centering about a 46
one chamber where a 56
one chapter which i 50
one comment which i 56
one company built a 43
one company holds a 74
one company makes a 245
one company sells a 52
one company takes a 41
one company under a 114
one company where a 84
one company where i 178
one company within a 117
one concept within a 48
one cottage which i 59
one country makes a 205
one country under a 134
one country where a 246
one country where i 95
one country which i 49
one country within a 79
one creature playing a 85
one crushed under a 52
one division within a 54
one element which i 89
one element within a 818
one episode where a 48
one episode which i 62
one episode within a 47
one example where a 820
one example where i 80
one example which i 241
one example within a 53
one expense which a 58
one faculty meeting a 62
one faculty which a 181
one finally finds a 51
one freight train a 51
one function within a 113
one general meeting a 51
one hundred acres a 110
one hundred balls a 45
one hundred books a 129
one hundred bucks a 105
one hundred calls a 96
one hundred cases a 242
one hundred fifty a 113
one hundred films a 63
one hundred games a 45
one hundred girls a 52
one hundred goats a 49
one hundred grand a 45
one hundred hairs a 44
one hundred hours a 791
one hundred lines a 162
one hundred marks a 1005
one hundred miles a 4345
one hundred miles i 70
one hundred paces a 40
one hundred pages a 133
one hundred people a 220
one hundred people i 58
one hundred pesos a 300
one hundred pound a 139
one hundred ships a 66
one hundred shots a 46
one hundred times a 3623
one hundred times i 93
one hundred units a 68
one hundred within a 61
one hundred women a 40
one hundred words a 837
one hundred yards a 417
one hundred yards i 101
one implied under a 48
one instant would i 41
one insured under a 47
one language makes a 73
one language within a 110
one library period a 45
one located within a 159
one location where a 129
one location within a 237
one lorenzo thomas a 152
one machine sends a 46
one mistake which i 90
one moonlit night a 44
one notices about a 85
one obtains after a 128
one obtains again a 107
one obtains where a 451
one obtains where c 109
one obtains where k 94
one obtains where n 116
one obtains where p 51
one obtains where v 259
one occasion about a 244
one occasion after a 923
one occasion after i 171
one occasion asked a 70
one occasion found a 149
one occasion given a 81
one occasion pleads a 66
one occasion quite a 67
one occasion sending a 79
one occasion shown a 50
one occasion taken a 83
one occasion under a 40
one occasion where a 414
one occasion where i 243
one occasion which i 216
one occasion while a 120
one occasion while i 540
one occasion within a 91
one occasion wrote a 144
one occurring after a 91
one occurring within a 75
one october morning i 45
one omission which i 84
one operating under a 315
one operating within a 123
one partner after a 57
one partner either a 43
one partner feels a 40
one partner gives a 62
one partner holds a 67
one partner makes a 286
one partner signs a 54
one partner takes a 77
one partner under a 52
one partner wants a 106
one partner within a 64
one passage where a 76
one passage which i 361
one patient after a 72
one patient within a 49
one picture showing a 81
one picture shows a 205
one picture which i 141
one position within a 313
one problem which i 139
one process sending a 49
one process sends a 95
one product forms a 40
one product within a 50
one program within a 73
one quality which a 45
one quality which i 323
one question about a 232
one question after i 57
one question which a 51
one question which i 2349
one realizes after a 45
one regarding which a 45
one regular meeting a 79
one remains under a 42
one remains within a 249
one request which i 116
one respect which i 41
one returning after a 43
one returns after a 60
one scholar calls a 103
one service which i 59
one several times a 133
one species under a 50
one species which i 75
one species within a 199
one student began a 45
one student found a 42
one student makes a 120
one student wrote a 145
one subject which i 418
one subject within a 49
one suffering under a 89
one swallow makes a 473
one thousand calls a 42
one thousand cases a 66
one thousand hours a 84
one thousand marks a 489
one thousand miles a 511
one thousand pages i 78
one thousand people a 541
one thousand pesos a 155
one thousand times a 1122
one thousand which i 47
one thousand words a 297
one thursday morning i 54
one towards which i 89
one usually calls a 229
one usually codes a 60
one usually feels a 45
one usually finds a 2784
one usually found a 102
