objected was invariably left 40
objection and determine what 52
objection had previously been 78
objection has sometimes been 372
obscured and suspended life 46
obscured his movements from 90
observed and collected data 135
observed and collected during 227
observed and collected from 193
observed and commented upon 3421
observed and described during 106
observed and described from 271
observed and described many 91
observed and described more 45
observed and described only 97
observed and described some 61
observed and described such 94
observed and described these 160
observed and described what 99
observed and estimated data 153
observed and predicted data 745
observed and predicted means 202
observed and predicted time 143
observed and quickened their 56
observed and reflected much 81
observed and reflected upon 695
observed and simulated data 547
observed and simulated time 135
observed and simulated wind 195
observed and theoretical data 180
observed are dependent upon 68
observed are different from 58
observed are precisely those 43
observed for inclusions from 59
observed his barometer many 40
observed one universal want 54
observed that americans have 119
observed that americans were 237
observed that christians were 73
observed that conditions were 88
observed that domestics were 74
observed that generally there 45
observed that occupancy gave 65
observed that sometimes there 103
observed that throughout these 60
observed this courtship paid 70
observed this principle when 79
observed was different from 40
observed with certainty only 72
observer has commented upon 46
observer was certainly ever 73
observes that americans have 53
obsessed with controlling their 146
obsessed with discovering what 102
obsessed with maintaining their 150
obsolete and forgotten ecus 94
obtained and converted into 151
obtained and preserved only 50
obtained any advantage from 64
obtained any advantage over 105
obtained any influence over 62
obtained are converted into 92
obtained are dependent upon 131
obtained are different from 174
obtained are generally very 40
obtained are precisely those 44
obtained are presented here 72
obtained for different flow 43
obtained for different sets 95
obtained for different time 76
obtained for different years 56
obtained for inventions made 49
obtained for themselves from 63
obtained for turbulent flow 56
obtained her doctorate from 286
obtained her knowledge from 42
obtained his commission from 104
obtained his discharge from 930
obtained his dismissal from 185
obtained his doctorate from 1402
obtained his doctorate there 191
obtained his influence over 82
obtained his knighthood from 81
obtained his knowledge from 496
obtained his liberation from 82
obtained his specimens from 126
obtained one advantage over 45
obtained that knowledge from 43
obtained them protection from 79
obtained this additional sail 44
obtained this character from 42
obtained this concession from 101
obtained this knowledge from 241
obtained this permission from 134
obtained this privilege from 136
obtained this substance from 42
obtained two victories over 67
obtained using different sets 57
obtained was converted into 118
obtained was different from 56
obtained with certainty from 45
obtained with certainty only 57
obtained with colloidal gold 86
obtained with different cell 56
obtained with different sets 102
obtained with different test 149
obtained with permission from 205
obtained with salicylic acid 91
obtained with specimens from 52
obviously and certainly been 110
obviously and undeniably true 69
obviously are different from 117
obviously far different from 128
obviously had different ideas 62
obviously not dependent upon 129
obviously not literally true 60
obviously was different from 50
occasions and situations when 79
occasions are extremely rare 117
occasions has generally been 278
occupied and converted into 187
occupied and frittered away 40
occupied and kuomintang areas 57
occupied and liberated areas 72
occupied for seventeen years 140
occupied that important post 106
occupied this important post 96
occupied this territory from 41
occupied was converted into 46
occupied with conquests over 57
occupied with household work 148
occupied with important work 50
occupied with inquiries into 67
occupied with maintaining their 190
occupied with missionary work 126
occupied with political work 141
occupied with practical work 58
occupied with researches into 42
occurred one afternoon when 356
occurred was impressed into 46
odorless and tasteless when 99
offended and alienated many 120
offended and disgusted when 42
offended our respected host 57
offender had previously been 68
offender has benefited from 66
offender has previously been 237
officers and adjutants were 48
officers and agitators were 108
officers and committee heads 183
