of acres 226 of cents
80 of hours 370 of
knots 69 of miles 2220
of months 3121 of pages
64 of pence 52 of
people 61 of sitting 59
of times 43 of weeks
71 of yards 67 of
acres 261 of hands 146
of hours 216 of knots
80 of lines 81 of
miles 2107 of months 509
of pages 62 of people
94 of stood 40 of
times 40 of weeks 105
of yards 63 of acres
58 of hours 70 of
miles 333 of months 71
of facts 59 of arose
51 of taken 53 of
which 91 of under 126
of would 61 of alien
100 of arose 55 of
binding 116 of above 372
of above 448 of which
93 of under 99 of
shape 140 of would 42
of aimed 49 of which
44 of proof 59 of
arose 61 of asthma 636
of anemia 79 of edema
206 of spine 1834 of
which 72 of ulcer 171
of which 79 of which
55 of which 49 of
after 283 of within 68
of lupus 148 of testing
307 of tests 287 of
power 67 of males 319
of women 383 of palsy
184 of whose 82 of
cases 54 of court 95
of adult 267 of after
53 of aimed 67 of
based 123 of began 84
of could 229 of known
59 of makes 45 of
might 174 of needs 274
of ought 45 of rather
93 of seems 71 of
shows 101 of since 164
of takes 45 of today
137 of under 314 of
where 126 of which 2040
of within 481 of would
445 of users 255 of
learning 368 of rates 87
of teaching 178 of which
51 of cells 42 of
brain 82 of after 96
of whose 54 of which
60 of would 73 of
rates 54 of title 66
of jones 183 of labor
91 of forms 78 of
which 69 of which 96
of under 140 of round
64 of blood 54 of
which 58 of about 53
of about 100 of human
55 of about 66 of
since 58 of which 127
of aorta 115 of which
87 of pests 46 of
would 40 of stock 58
of within 40 of after
44 of apply 105 of
arising 50 of breaking 51
of could 74 of might
75 of rather 55 of
shall 131 of since 171
of under 98 of where
117 of which 491 of
while 66 of within 205
of would 261 of under
41 of action 66 of
began 53 of ships 631
of force 46 of which
54 of about 43 of
stood 50 of would 42
of after 67 of began
42 of could 69 of
under 116 of waged 44
of which 301 of within
70 of would 155 of
helps 106 of which 54
of under 47 of though
91 of space 47 of
reaching 45 of gives 44
of group 61 of trees
107 of chips 75 of
group 1410 of under 73
of which 137 of would
41 of serve 55 of
which 41 of which 84
of within 43 of which
51 of which 68 of
cells 444 of units 70
of ideals 61 of legal
219 of steel 159 of
teaching 155 of truths 117
of about 163 of which
381 of within 46 of
goods 3111 of items 275
of needs 75 of about
56 of change 46 of
facts 105 of goals 46
of needs 199 of terms
41 of units 113 of
could 47 of which 509
of would 93 of which
280 of needs 165 of
which 42 of rocks 276
of which 89 of forms
260 of units 59 of
rocks 97 of which 157
of terms 454 of which
52 of needs 75 of
needs 520 of about 55
of which 56 of which
184 of goods 53 of
which 72 of which 50
of about 730 of which
213 of truths 49 of
within 59 of types 151
of could 63 of which
135 of within 55 of
would 65 of needs 578
of which 77 of rocks
1275 of where 67 of
which 396 of would 47
of unity 43 of region
343 of ceased 144 of
lewis 274 of which 59
of after 40 of after
41 of above 43 of
blues 50 of males 184
of music 2297 of poetry
471 of women 1900 of
writing 366 of rocks 93
of stone 86 of holding
65 of people 114 of
within 45 of could 69
of growing 193 of lived
545 of playing 93 of
reared 51 of still 111
of under 790 of which
82 of whose 88 of
within 59 of would 211
of women 314 of would
48 of pants 53 of
which 45 of forms 438
of pride 90 of people
216 of power 169 of
every 55 of below 135
of earned 149 of headed
1243 of lived 221 of
moved 45 of owned 70
of still 56 of under
78 of which 77 of
whose 49 of within 53
of would 94 of thinking
56 of writing 248 of
mares 105 of which 109
of within 65 of leather
83 of lined 46 of
texts 45 of oxide 230
of oxide 182 of moved
40 of units 78 of
netting 53 of where 48
of lines 40 of pours
63 of leather 49 of
stone 95 of power 64
of music 655 of after
57 of began 42 of
serving 71 of under 129
of would 186 of water
69 of began 62 of
