odd intervals throughout the 105
off continuum underlies the 60
off different overtones as 161
ohm resistors connected in 264
oil companies attempted to 148
oil companies challenged the 41
oil companies conspired to 66
oil companies continued to 856
oil companies dominated the 96
oil companies preferred to 71
oil companies prospecting in 45
oil companies responded by 66
oil companies responded to 66
oil companies succeeded in 73
oil companies supported the 46
oil companies throughout the 226
oil particles suspended in 50
oil producers continued to 87
oil production continued to 476
oil production continues to 165
oil production platforms in 258
oil production throughout the 125
oil prospecting operations in 84
old assistant professor at 74
old assistant professor in 43
old assistant professor of 312
old assistant secretary of 124
old cesspools glittered in 55
old chronicle expresses it 44
old chronicle published by 83
old civilized countries of 55
old classical conception of 55
old classical principle of 48
old customers continued to 74
old distemper perceived the 50
old documents preserved in 46
old executive committee of 78
old farmhouse overlooking the 49
old forgotten splendors of 69
old gentleman attempted to 61
old gentleman considers it 65
old gentleman continued to 266
old gentleman corrected the 64
old gentleman endeavored to 47
old gentleman explained to 47
old gentleman intimated to 52
old gentleman persisted in 74
old gentleman preserved the 51
old gentleman proceeded to 100
old gentleman purchased me 41
old gentleman undertook to 114
old gentlemen continued to 76
old gentlemen pensioners of 83
old hackneyed arguments he 54
old industrial countries in 54
old industrial countries of 144
old industrial countries to 47
old industrial districts of 72
old industrial heartlands of 78
old industrial structure of 47
old myocardial infarction in 130
old myocardial infarction is 42
old myocardial infarction or 109
old neglected grievance in 80
old parsonage terminating the 71
old political framework of 45
old political machinery to 134
old political principle of 51
old political structure in 53
old political structure of 139
old political traditions of 53
old preceptor nourished in 80
old provincial governors by 44
old ptolemaic conception of 41
old theological conception of 208
old traditions continued to 43
old vigilance committee at 48
one additional advantage in 55
one additional advantage of 133
one additional advantage to 55
one additional assumption is 148
one additional component in 40
one additional component of 98
one additional indication of 42
one additional limitation on 41
one additional parameter in 56
one additional parameter is 113
one additional parameter to 70
one additional reference to 45
one admirably qualified to 45
one advantage possessed by 493
one affiliated purchaser of 66
one algebraic expression by 43
one alternate appointed by 398
one ameliorating principle in 47
one anesthetic technique is 44
one assistant professor of 90
one assistant secretary in 46
one assistant secretary of 197
one biographer described as 116
one candidate nominated by 48
one carefully considers the 283
one certified statement of 117
one character describes as 75
one character describes the 58
one character dominates the 77
one character throughout the 88
one community concerned in 41
one conceited projector to 140
one connected component of 411
one considers carefully the 386
one continual succession of 197
one continued exhibition of 45
one continued opposition to 56
one continued revelation of 212
one continued sacrifice of 184
one continued succession of 1369
one countries throughout the 41
one courageous resolution we 44
one currently available in 58
one currently available is 86
one currently displayed in 49
one described previously in 111
one desperate expedient to 83
one dictionary definition is 54
one dictionary definition of 216
one different varieties of 119
one discourse community to 55
one discussed previously in 83
one distantly approaching or 63
one effective technique is 130
one effectual palliative in 53
one electrode connected to 89
one eminently addressed to 41
one eminently deficient in 41
one eminently qualified to 278
one episcopal clergyman in 68
one especially difficult to 77
one especially important in 56
one especially important to 159
one especially interesting to 63
one especially pertinent to 105
one especially qualified to 48
one especially sensitive to 57
one exceedingly difficult to 183
one executive described as 131
one executive described it 84
one executive described the 45
one executive expressed it 89
one expressly authorized by 49
one expressly committed to 127
one extremely difficult to 333
one extremely favorable to 41
one extremely important thing 71
one extremely sensitive to 48
one frequency component at 69
one frequency component in 69
one frequency component is 101
one frequency component of 125
one functional component of 58
one furnished apartment to 42
one generally considers the 125
one generally preferred by 163
one generation succeeded the 55
one generation transmits to 233
one gentleman describes as 45
one gentleman expressed it 50
one harmonious conception is 55
one immutable principle of 48
one important advantage in 381
one important advantage is 64
one important advantage of 923
one important advantage to 133
one important alteration in 72
one important assumption in 67
one important assumption is 51
one important assumption of 58
one important attribute in 79
one important attribute of 381
one important character in 145
one important character of 89
one important collection of 60
one important component in 328
one important component is 98
one important component of 5379
one important conception of 47
one important concession to 173
one important conclusion is 113
one important conclusion of 98
one important conclusion to 97
one important corollary of 70
one important criticism of 151
one important definition of 52
one important discovery in 53
one important discussion in 71
one important expression of 256
one important foundation of 52
one important indication of 343
one important indicator of 657
one important influence in 110
one important influence of 47
one important influence on 374
one important innovation in 120
one important limitation in 119
one important limitation is 59
one important limitation of 331
one important limitation on 283
one important limitation to 285
one important mechanism by 102
one important mechanism in 70
one important mechanism of 164
one important objective in 72
one important objective is 82
one important objective of 498
one important parameter in 72
one important parameter is 50
one important parameter of 77
one important political or 49
one important predictor of 53
one important principle in 167
one important principle is 126
one important principle of 447
one important principle to 139
one important reference to 80
one important requisite of 43
one important shortcoming of 60
one important statement of 65
one increasingly dependent on 163
one increasingly dominated by 424
one informant described as 165
one informant described it 107
one informant described the 73
one informant explained it 65
one informant explained to 82
one informant expressed it 264
one interesting innovation in 46
one interesting reference to 86
one interesting sidelight on 42
one interface connected to 205
one interview conducted by 46
one interview conducted in 48
one intricate arabesque of 54
one irrational hypothesis to 77
one marijuana cigarette in 43
one marijuana cigarette is 49
one maximally sensitive to 47
one mechanism available to 67
one memorable afternoon in 63
one memorable expression of 41
one molecular proportion of 455
one momentary concession to 68
one motivated primarily by 84
one naturally associates the 101
one naturally hesitates to 277
one naturally suggested by 279
one necessary component of 181
one negligent defendant as 50
one newspaper circulating in 610
one newspaper commented on 125
one newspaper described as 610
one newspaper described it 176
one newspaper described the 144
one newspaper expressed it 93
one newspaper published at 211
one newspaper published in 2020
one newspaper published or 76
one numerical advantage in 99
one officially sanctioned by 49
one outstanding advantage in 57
one outstanding advantage of 109
one parameter subgroups of 57
one peculiarly difficult to 62
one peculiarly distressing to 51
one peculiarly interesting to 74
one peculiarly qualified to 68
one perception surpasses the 42
one perpetual succession of 123
one plausible hypothesis is 150
one plausible suggestion is 70
one political candidate to 61
one political community is 59
one political community of 62
one political community to 75
one political expression of 59
one political generation to 75
one political persuasion or 64
one political scientist as 132
one political scientist in 57
one political scientist to 82
one possesses knowledge of 160
one practical advantage in 40
one practical advantage of 131
one practical appearance on 99
one practical expression of 84
one practical suggestion to 73
one presented throughout the 64
one previously convicted of 208
one previously described as 114
one previously described by 191
one previously described in 272
one previously described is 127
one previously developed by 64
one previously discussed in 89
one previously published by 70
one previously published in 73
one previously recognize it 41
one previously suggested by 47
one primarily dependent on 54
one primarily motivated by 45
one principal advantage of 283
one principal character of 54
one principal component is 62
one principal component of 60
one principal foundation of 103
one principal objective of 71
one principal residence at 145
one principle necessary to 62
one prominent supporter of 45
one published collection of 59
one published reference to 60
one qualified concession in 45
one reasonable conclusion as 250
one reasonable conclusion to 66
one reasonable definition of 44
one reasonable hypothesis is 44
one reasonable resolution of 50
one reference whatsoever is 158
one regulated proportion of 152
one researcher described the 57
one researcher describes it 43
one resonance structure to 59
one restraining influence on 45
one scattered throughout the 43
one scientist expressed it 42
one sentiment expressed by 63
one sentiment throughout the 101
one september afternoon in 144
one sometimes discovers in 41
one sometimes surprises in 199
one sometimes witnesses in 43
one substance dissolved in 121
one substance dissolves in 235
one supremely important thing 135
one suspected reasonably of 76
one syntactic structure to 60
one technique available to 56
one temporary residence to 84
one tentative conclusion is 52
one theoretical framework is 47
one theoretical framework or 80
one theoretical framework to 95
one thoroughly competent to 148
one thoroughly convinced of 47
one transmits knowledge to 49
one undoubted advantage of 46
one universal definition of 137
one universal expression of 167
one universal principle of 445
one universal sentiment of 220
one virtually identical to 106
one wednesday afternoon as 43
one wednesday afternoon at 50
one wednesday afternoon in 174
