of aaron shall sprinkle 42
of abiding human interest 58
of about eight children 160
of about eight hectares 50
of about eight officers 51
of about eight patients 40
of about eight students 184
of about equal activity 42
of about equal authority 55
of about equal capacity 171
of about equal distance 44
of about equal elevation 40
of about equal interest 53
of about equal prestige 47
of about equal severity 40
of about equal thickness 1501
of about fifty american 45
of about fifty articles 136
of about fifty children 217
of about fifty citizens 49
of about fifty cottages 47
of about fifty deputies 153
of about fifty diameters 103
of about fifty divisions 50
of about fifty europeans 43
of about fifty families 601
of about fifty ferocious 44
of about fifty hectares 40
of about fifty horsemen 200
of about fifty japanese 141
of about fifty officers 141
of about fifty patients 41
of about fifty presided 63
of about fifty questions 57
of about fifty scholars 134
of about fifty soldiers 310
of about fifty students 413
of about fifty vehicles 44
of about fifty villages 55
of about forty american 58
of about forty articles 119
of about forty children 271
of about forty cottages 61
of about forty families 581
of about forty horsemen 193
of about forty japanese 94
of about forty officers 87
of about forty recruits 69
of about forty scholars 77
of about forty separate 51
of about forty soldiers 174
of about forty students 311
of about forty villages 46
of about seven children 78
of about sixty articles 63
of about sixty children 129
of about sixty divisions 42
of about sixty dragoons 43
of about sixty families 263
of about sixty horsemen 98
of about sixty officers 94
of about sixty scholars 49
of about sixty soldiers 111
of about sixty students 179
of about thirty american 80
of about thirty articles 128
of about thirty children 311
of about thirty citizens 49
of about thirty cottages 49
of about thirty families 857
of about thirty galaxies 46
of about thirty hectares 43
of about thirty horsemen 213
of about thirty japanese 129
of about thirty languages 105
of about thirty musicians 62
of about thirty officers 158
of about thirty patients 41
of about thirty pictures 68
of about thirty scholars 142
of about thirty separate 67
of about thirty soldiers 304
of about thirty students 569
of about thirty vehicles 46
of about thirty villages 48
of above might exercise 49
of abuse which followed 50
of abuse within families 158
of acrid smoke billowed 64
of action arising directly 52
of action arising therefrom 162
of action based directly 44
of action could possibly 247
of action daily changeable 60
of action learning programs 65
of action makes possible 47
of action might possibly 47
of action plans designed 45
of action rests entirely 46
of action seeking recovery 71
of action seems unlikely 52
of action taken pursuant 220
of action under louisiana 46
of action under specific 52
of action under statutes 69
of action which abandons 43
of action which amounted 50
of action which combines 47
of action which commends 45
of action which commonly 53
of action which concerns 63
of action which conforms 41
of action which confront 42
of action which consists 157
of action which corrects 52
of action which entitles 47
of action which everyone 52
of action which excludes 41
of action which exhibits 42
of action which followed 102
of action which governed 105
of action which included 257
of action which includes 340
of action which increases 46
of action which indicate 57
of action which involved 240
of action which involves 555
of action which manifest 40
of action which normally 50
of action which occurred 47
of action which operates 55
of action which otherwise 108
of action which presents 40
of action which prevents 75
of action which proceeds 50
of action which produced 62
of action which produces 207
of action which promised 139
of action which promises 171
of action which provides 97
of action which reflects 67
of action which regulate 42
of action which remained 43
of action which rendered 63
of action which required 103
of action which requires 532
of action which resulted 304
of action which singleness 47
of action which suggests 45
of action which supplies 51
of action which survived 58
of action which survives 143
of action which threatened 103
of action which underlie 58
of action whose outcomes 43
of action whose ultimate 46
of action would diminish 50
of action would indicate 52
of action would maximize 40
of action would obviously 73
of action would otherwise 68
of action would probably 442
