obey a court injunction 63
omit a brief reference 106
omit a passing reference 47
once a close connection 49
once a dense population 87
once a farming community 60
once a genie contained 63
once a human habitation 51
once a large collection 52
once a large monastery 43
once a large population 73
once a large proportion 132
once a major attraction 49
once a major commercial 45
once a major component 72
once a major political 55
once a noble profession 45
once a pleasing impression 47
once a rapid publicity 52
once a royal residence 1244
once a small community 50
once a social discourse 50
once a solid foundation 90
once a strong impression 157
once a strong political 113
once a strong supporter 141
once a sugar plantation 113
once a thriving commercial 79
once a thriving community 715
once a thriving industrial 64
once a tipsy gentleman 47
once i could determine 95
ones i would recommend 64
only a basic foundation 44
only a basic framework 177
only a basic knowledge 980
only a basic principle 62
only a basic structure 60
only a blank cartridge 97
only a blank expression 55
only a blood sacrifice 43
only a brief additional 42
only a brief appearance 1230
only a brief association 75
only a brief collection 43
only a brief courtship 62
only a brief definition 153
only a brief discussion 3615
only a brief encounter 508
only a brief engagement 40
only a brief existence 1532
only a brief exposition 147
only a brief expression 53
only a brief flirtation 98
only a brief hesitation 410
only a brief honeymoon 83
only a brief hortatory 80
only a brief impression 124
only a brief indication 668
only a brief inspection 159
only a brief interlude 3457
only a brief interview 256
only a brief narrative 171
only a brief occupation 47
only a brief paragraph 927
only a brief reference 3182
only a brief reflection 54
only a brief residence 49
only a brief separation 62
only a brief statement 1776
only a brief suggestion 136
only a brief suspension 69
only a brief transition 134
only a broad consensus 53
only a broad definition 123
only a broad framework 253
only a broad guideline 42
only a broad indication 340
only a broad knowledge 134
only a broad statement 103
only a brown coloration 60
only a chief executive 110
only a close association 55
only a close connection 79
only a close inspection 140
only a comma separates 64
only a corps commander 67
only a crime committed 47
only a cross reference 63
only a crude estimation 114
only a crude evaluation 45
only a crude expression 52
only a crude indication 415
only a crude indicator 445
only a crude knowledge 80
only a crude reflection 74
only a crude statement 267
only a cruel grievance 53
only a cruel injustice 40
only a dimly perceived 49
only a dozen companies 45
only a dozen countries 107
only a dozen different 81
only a dozen employees 89
only a dozen followers 49
only a dozen outstanding 175
only a dozen passengers 124
only a dozen specimens 73
only a dozen survivors 48
only a faint awareness 40
only a faint conception 417
only a faint connection 75
only a faint expression 87
only a faint foretaste 85
only a faint fragrance 61
only a faint impression 712
only a faint indication 525
only a faint intimation 142
only a faint knowledge 113
only a faint perception 42
only a faint reference 40
only a faint reflection 723
only a faint semblance 244
only a faint suggestion 622
only a faint turbidity 242
only a faint yellowish 81
only a false appearance 297
only a false conception 169
only a false impression 120
only a false perception 62
only a false semblance 92
only a false statement 112
only a farming community 52
only a first appearance 82
only a first generation 82
only a first impression 502
only a first indication 161
only a first tentative 146
only a fitting conclusion 44
only a fixed commission 61
only a fixed proportion 322
only a fresh incentive 64
only a fully developed 500
only a fully qualified 105
only a given proportion 87
