of abbey lands granted 59
of about eight bushels 52
of about eight decades 53
of about eight degrees 304
of about eight dollars 255
of about eight furlongs 81
of about eight gallons 84
of about eight hundred 22457
of about eight members 220
of about eight millions 534
of about eight minutes 616
of about eight percent 283
of about eight persons 357
of about eight seconds 177
of about eight shillings 213
of about eight species 158
of about eight strands 42
of about eight thousand 11803
of about equal ability 390
of about equal amounts 646
of about equal density 102
of about equal diameter 189
of about equal duration 316
of about equal heights 41
of about equal numbers 1158
of about equal portions 150
of about equal potency 43
of about equal quality 164
of about equal volumes 152
of about equal weights 148
of about fifty animals 66
of about fifty appeared 96
of about fifty buildings 57
of about fifty charity 51
of about fifty chinese 121
of about fifty degrees 934
of about fifty dollars 603
of about fifty dressed 57
of about fifty dwellings 88
of about fifty entered 63
of about fifty gallons 85
of about fifty germans 44
of about fifty letters 169
of about fifty members 1059
of about fifty millions 549
of about fifty minutes 358
of about fifty mounted 100
of about fifty natives 93
of about fifty percent 417
of about fifty persons 1526
of about fifty players 51
of about fifty seconds 82
of about fifty sermons 54
of about fifty shillings 58
of about fifty species 407
of about fifty stepped 64
of about fifty summers 42
of about fifty teachers 45
of about fifty thousand 9605
of about fifty vessels 100
of about fifty volumes 251
of about fifty warriors 127
of about fifty workers 63
of about forty appeared 65
of about forty british 58
of about forty bushels 42
of about forty chinese 90
of about forty degrees 1186
of about forty dollars 411
of about forty dressed 63
of about forty dwellings 48
of about forty entered 66
of about forty figures 74
of about forty gallons 65
of about forty letters 74
of about forty members 1224
of about forty millions 358
of about forty minutes 952
of about forty natives 49
of about forty percent 228
of about forty persons 1228
of about forty players 112
of about forty ruffians 52
of about forty seconds 171
of about forty shillings 123
of about forty species 292
of about forty spenser 42
of about forty stepped 43
of about forty teachers 44
of about forty thousand 9256
of about forty vessels 110
of about forty volumes 140
of about forty warriors 118
of about forty wigwams 114
of about forty workers 40
of about seven bushels 65
of about seven decades 56
of about seven decimal 44
of about seven degrees 324
of about seven dollars 227
of about seven gallons 45
of about seven hundred 19800
of about seven members 203
of about seven millions 618
of about seven minutes 420
of about seven octaves 58
of about seven percent 273
of about seven persons 132
of about seven seconds 176
of about seven shillings 119
of about seven species 129
of about seven thousand 10957
of about sixty appeared 42
of about sixty degrees 1928
of about sixty dollars 319
of about sixty entered 47
of about sixty gallons 47
of about sixty members 575
of about sixty millions 310
of about sixty minutes 81
of about sixty mounted 57
of about sixty natives 51
of about sixty patents 45
of about sixty percent 158
of about sixty persons 1134
of about sixty players 46
of about sixty regular 49
of about sixty seconds 97
of about sixty species 271
of about sixty thousand 3176
of about sixty vessels 109
of about sixty volumes 44
of about sixty warriors 144
of about thirty animals 81
of about thirty appeared 77
of about thirty arrived 49
of about thirty barrels 46
of about thirty buildings 68
of about thirty bushels 65
of about thirty chinese 98
of about thirty couples 42
of about thirty degrees 2944
of about thirty dollars 369
of about thirty dressed 50
of about thirty entered 82
of about thirty figures 59
of about thirty foreign 137
of about thirty friends 57
of about thirty gallons 102
of about thirty germans 54
of about thirty islands 50
of about thirty knights 41
of about thirty letters 49
of about thirty members 1151
of about thirty millions 504
of about thirty minutes 1452
of about thirty mounted 51
of about thirty natives 101
of about thirty orderly 54
of about thirty paintings 41
of about thirty percent 213
of about thirty persons 1520
of about thirty savages 110
of about thirty seconds 1036
of about thirty shillings 336
of about thirty species 412
of about thirty strikes 173
of about thirty summers 47
of about thirty thousand 12096
of about thirty vessels 117
of about thirty visible 122
of about thirty volumes 112
