of abused children reported 54
of acidic oxidation products 49
of actions variously reported 60
of active acquired immunity 98
of active antibody synthesis 94
of active bacterial infection 60
of active business expansion 54
of active cerebral congestion 209
of active chloride secretion 203
of active chlorine radicals 60
of active ingredient required 92
of active manpower policies 89
of active military officers 77
of active muscular exercise 129
of active muscular response 72
of active nucleation cavities 57
of active physical exercise 181
of active systemic infection 50
of active treatment programs 150
of active volcanic activity 48
of actors directly involved 60
of actual business activity 47
of actual business practice 158
of actual business problems 90
of actual chemical analysis 67
of actual clinical practice 218
of actual consumer confusion 255
of actual criminal activity 107
of actual economic activity 116
of actual economic policies 46
of actual economic problems 44
of actual engineering problems 56
of actual expenses incurred 571
of actual linguistic practice 98
of actual military conflict 135
of actual payments received 55
of actual physical activity 74
of actual physical conflict 48
of actual physical delivery 44
of actual physical distance 53
of actual physical distress 55
of actual physical evidence 46
of actual physical movement 84
of actual physical presence 262
of actual physical problems 66
of actual physical property 44
of actual physical trespass 46
of actual religious practice 118
of actual services provided 148
of actual services rendered 135
of aerobic exercise programs 49
of aerobic microbial activity 52
of aerobic physical activity 100
of agents specially employed 44
of alarming cerebral symptoms 48
of alarming physical symptoms 52
of alaska northwest publishing 52
of aliens lawfully admitted 382
of aliens lawfully resident 41
of alkali chloride solutions 49
of allied military strategy 61
of alloying elements increases 61
of alloys containing chromium 60
of almost absolute authority 128
of almost absolute darkness 66
of almost absolute equality 43
of almost absolute seclusion 96
of almost absolute security 55
of almost barbaric splendor 45
of almost brotherly affection 41
of almost brotherly intimacy 95
of almost ceaseless activity 120
of almost ceaseless conflict 43
of almost childish laughter 45
of almost complete autonomy 127
of almost complete breakdown 46
of almost complete cessation 61
of almost complete collapse 254
of almost complete confusion 57
of almost complete darkness 165
of almost complete economic 147
of almost complete equality 135
of almost complete exclusion 50
of almost complete extension 45
of almost complete financial 50
of almost complete idleness 83
of almost complete immunity 103
of almost complete internal 60
of almost complete isolation 773
of almost complete physical 79
of almost complete recovery 59
of almost complete seclusion 167
of almost complete solitude 143
of almost constant activity 119
of almost constant agitation 57
of almost constant attention 68
of almost constant conflict 197
of almost constant disorder 45
of almost constant military 48
of almost constant movement 113
of almost constant struggle 135
of almost constant sunshine 60
of almost constant thickness 66
of almost dangerous elevation 228
of almost dramatic interest 78
of almost everyone involved 254
of almost fabulous richness 45
of almost feminine delicacy 476
of almost feminine softness 41
of almost feverish activity 162
of almost frenetic activity 63
of almost frenzied activity 50
of almost hopeless confusion 161
of almost hopeless darkness 40
of almost hopeless struggle 66
of almost infinite capacity 56
of almost infinite expansion 281
of almost infinite extension 194
of almost infinite mischief 54
of almost infinite patience 95
of almost infinite potential 96
of almost infinite variations 163
of almost metallic hardness 44
of almost military precision 71
of almost monastic seclusion 78
of almost monastic severity 42
of almost oriental seclusion 65
of almost paternal affection 104
of almost paternal interest 41
of almost paternal softness 69
of almost personal affection 97
of almost physical sickness 47
of almost religious admirers 89
of almost religious adoration 49
of almost religious sanctity 85
of almost romantic interest 156
of almost sisterly affection 40
of almost theatrical surprise 81
of almost tropical grandeur 48
of almost unbroken disaster 60
of almost unbroken military 40
of almost unbroken progress 44
of almost unbroken solitude 52
of almost unbroken sunshine 70
of already complete realities 61
of ammonia nitrogen oxidized 106
of angular momentum dictates 61
of angular momentum explains 45
of angular momentum operator 44
of angular momentum outwards 100
of angular momentum parallel 297
of angular momentum produced 89
of angular momentum relative 149
of angular momentum required 60
of angular momentum requires 725
of angular momentum therefore 57
of angular momentum transfer 844
of animal industry bulletin 414
of animal industry circular 387
of animal industry conducts 43
of animal industry contents 47
of animal industry inspects 48
of animal movement patterns 72
of animal nutrition consists 42
of animal products consumed 117
of animal products exported 57
of animal products increased 112
of animal products produced 62
of annual compound interest 43
of annual continuing education 54
of annual dividend increases 133
of annual dividend payments 52
of annual financial accounts 54
of annual interest payments 418
of annual payments required 112
of annual rainfall received 87
of another american invention 45
of another american republic 75
of another chemical compound 62
of another cultural tradition 110
of another dynamite campaign 70
of another economic collapse 41
of another economic downturn 59
of another economic recession 41
of another literary tradition 56
of another luckless dethroned 44
of another maritime republic 74
of another methodist minister 44
of another military campaign 56
of another military conflict 55
of another physical property 43
of another physical quantity 71
of another possible approach 44
of another possible judgment 72
of another randomly selected 53
of another religious movement 61
of another religious tradition 358
of another security interest 254
of another solitude resounding 132
of another underlying condition 41
of another underlying disorder 69
of another valuable resource 44
of anthony viscount montague 48
of anxious suspense followed 97
of aortic diastolic pressure 141
of aortic systolic pressure 66
of apical membrane proteins 78
of appeals affirmed judgment 176
of appeals directed judgment 46
of appeals initially affirmed 95
of appeals initially reversed 62
of appeals properly affirmed 42
of appeals properly rejected 60
of appeals properly reversed 66
of appeals reversed judgment 54
of appeals therefore affirmed 55
of appeals therefore approved 77
of appeals therefore remanded 61
of appearing entirely distinct 41
of applying constant pressure 42
of applying criminal sanctions 41
of applying economic analysis 125
of applying economic pressure 212
of applying economic sanctions 250
of applying external pressure 63
of applying military pressure 70
of applying negative feedback 123
of applying positive pressure 112
of aqueous alkaline solutions 74
of aqueous ammonium chloride 104
of aqueous hydrogen chloride 51
of aqueous hydrogen peroxide 565
of aqueous solutions containing 857
of aqueous solutions increases 41
of aqueous standard solutions 65
of arrows indicate relative 54
of assuring adequate supplies 136
of assuring internal security 45
of athenian citizens included 48
of athenian domestic politics 47
of atomic hydrogen produced 88
of atomic orbitals centered 81
of atomic orbitals combined 79
of atomic orbitals involved 58
of attack aircraft carriers 77
of autism spectrum disorder 812
of avoiding personal liability 117
of avoiding unwanted children 64
of barely concealed contempt 88
of barium chloride containing 129
of barium chloride crystals 122
of barium chloride required 54
of barium sulphate obtained 452
of battle remained unchanged 47
of becoming actively involved 244
of becoming american citizens 813
of becoming computer literate 138
of becoming directly involved 276
of becoming seriously involved 133
of becoming sexually intimate 40
of becoming sexually involved 194
of belief formerly mentioned 45
of benign cutaneous vascular 211
of bethany biblical seminary 265
of better economic policies 55
of better economic relations 58
of better physical condition 55
of better prepared students 43
of binary metallic mixtures 49
of binary mixtures containing 127
of bitter appetite despises 47
of bitter factional struggle 41
of bitter internal conflict 83
of bitter internal struggle 57
of bitter partisan conflict 43
of bitter religious conflict 83
of bitter struggle followed 57
of bodies containing nitrogen 80
of bodies mutually attracting 84
of bodily injuries effected 46
of bodily injuries suffered 69
of bodily movement required 47
of bottom sediment movement 92
of bovine pathology specially 369
of bovine tubercle bacillus 254
of boyish impulses combined 49
of branch circuits required 171
of bright graduate students 72
of bright metallic surfaces 52
of budget authority provided 196
of buffer overflow exploits 57
of buffer solutions containing 66
of building activity occurred 55
of building aircraft carriers 73
of building christian churches 98
of building computer programs 43
of building financial security 43
of building friendly relations 62
of building materials containing 73
of building materials employed 44
of building materials increased 97
of building materials industry 459
of building materials produced 127
of building materials required 144
of building services engineering 394
of building services engineers 2158
of butter curiously embossed 45
of campus security officers 134
of canada otherwise provides 1928
of canada provided financial 105
of cancer patients admitted 73
of cancer patients compared 59
of cancer patients diagnosed 64
of cancer patients referred 45
of cancer patients reported 81
of cancer patients requires 41
of cancer patients undergoing 409
of cancer treatment response 52
of canine coronary arteries 183
of canned computer programs 73
of canned pineapple products 48
of carbon emissions reduction 70
of carbon monoxide absorbed 426
of carbon monoxide adsorbed 805
of carbon monoxide combined 76
of carbon monoxide combines 58
of carbon monoxide containing 59
of carbon monoxide contains 102
of carbon monoxide decreased 42
of carbon monoxide decreases 69
of carbon monoxide diffusion 128
of carbon monoxide emissions 852
of carbon monoxide evolution 93
of carbon monoxide exposure 898
of carbon monoxide formation 227
of carbon monoxide increased 54
of carbon monoxide increases 528
of carbon monoxide obtained 146
of carbon monoxide oxidation 531
of carbon monoxide pollution 253
of carbon monoxide pressure 127
of carbon monoxide produced 1131
of carbon monoxide produces 104
of carbon monoxide relative 51
of carbon monoxide required 45
of carbon monoxide toxicity 565
of carbon monoxide transfer 79
of cardiac electric activity 53
of cardiac necrosis produced 54
of cardiac patients undergoing 93
of cardiac surgical patients 482
of career counseling programs 51
of career counseling services 156
of career education concepts 103
of career education materials 73
of career education programs 493
of career guidance programs 141
of career guidance services 155
of career military officers 175
of career mobility patterns 62
of carrying capacity analysis 64
of carrying electric currents 92
of causes otherwise provided 123
of cement hydration products 101
of changes inflicts sufferings 48
of charge carriers decreases 130
of charge carriers increases 329
of charge carriers injected 76
of charge carriers involved 49
of charge carriers produced 191
of charging compound interest 71
of cheaper imported products 45
of chilean military officers 64
of choice whenever possible 336
of choice wherever possible 89
of choosing clinical variables 57
of church cantatas intended 49
of church officers distinct 175
of church officers followed 42
of church property disputes 73
of church property occupied 44
of closed conducting circuits 49
of closed magnetic circuits 47
of closed membrane vesicles 44
of closed syllable shortening 83
of closer cultural relations 155
of closer economic relations 655
of closer personal relations 69
of coarse granular materials 79
of coated abrasive products 74
of cobalt ammonium sulphate 274
of common bacterial pathogens 202
of common business interest 55
of common business practice 84
of common business problems 58
of common business prudence 71
of common christian morality 66
of common clinical problems 275
of common consumer products 117
of common cultural elements 83
of common cultural heritage 242
of common cultural identity 216
of common cultural patterns 77
of common cultural tradition 45
of common domestic utensils 56
of common economic interest 522
of common economic policies 324
of common economic problems 158
of common effluent treatment 292
of common emotional problems 48
of common engineering materials 155
of common envelope evolution 91
of common insulating materials 87
of common interest concerning 309
of common interest pertaining 299
of common laborers employed 54
of common parental affection 135
of common pediatric problems 56
of common physical symptoms 139
of common property problems 179
of common property resource 914
of common religious practice 55
of common security concerns 73
of common security problems 40
of common silicate minerals 139
of common software packages 43
of copper ammonium chloride 91
of copper ammonium sulphate 124
of copper chromite catalyst 78
of copper corrosion products 134
of copper produced annually 50
of copper sulphate containing 367
of copper sulphate crystals 1389
of copper sulphate required 121
of copper sulphate solutions 234
of copper sulphate treatment 46
of copper sulphide minerals 65
of cordial personal relations 49
of corneal circular ligament 92
of cotton annually consumed 73
of cotton consumed annually 70
of cotton produced annually 52
of cotton spindles increased 106
of cotton textiles declined 69
of cotton textiles exported 61
of cotton textiles increased 160
of cotton textiles produced 87
of county business patterns 174
of county district councils 247
of county probation officers 41
of coupling electron transfer 99
of coupon interest payments 103
of course absolute nonsense 43
of course abundant evidence 50
of course benjamin franklin 54
of course bitterly resented 51
of course complete nonsense 51
of course directly affected 94
of course directly contrary 73
of course directly involved 45
of course directly relevant 95
of course entirely distinct 90
of course entirely erroneous 50
of course entirely ignorant 194
of course entirely innocent 66
of course entirely possible 534
of course joyfully accepted 59
of course neglecting business 72
of course numerous examples 87
of course numerous variations 49
of course obtained abundant 53
of course obtained admission 73
of course remained unchanged 51
of course rendered abortive 45
of course requires evidence 41
of course seriously affected 91
of course standard practice 97
of course suffered severely 41
of credit counseling agencies 89
of credit counseling services 102
of crimes intrudes uncalled 98
of crossing cultural barriers 44
of crossing yourself directly 46
of crucial questions concerning 91
of cruise missiles launched 67
of cruise oriented agencies 166
of cupric ammonium chloride 70
of cupric sulphate containing 84
of cyclic electron transfer 141
of cystic fibrosis carriers 47
of cystic fibrosis children 112
of cystic fibrosis includes 50
of cystic fibrosis mutations 261
of cystic fibrosis patients 2271
of damage actually suffered 96
of daniel augustus tompkins 136
of debating religious questions 46
of decent american citizens 74
of deciding concerning religious 90
of deciding disputed elections 218
of deciding disputed questions 63
of deciding doubtful questions 100
of deciding questions concerning 44
of deciding religious questions 76
of deeper emotional problems 92
of deeper historic interest 85
of deeper underlying problems 66
of deeply embedded cultural 133
of defect formation energies 71
of defining adjacent wetlands 40
of defining cultural identity 56
of defining personal identity 70
of demand deposits adjusted 145
of demand deposits increased 52
of demand deposits increases 105
of demand deposits relative 55
of dental calculus formation 80
of dental services provided 128
of dental services rendered 91
of dental treatment provided 79
of deputy district attorney 217
of design decisions concerning 46
of design variables increases 135
of detail produces heaviness 61
of deviant response patterns 178
of dilute alkaline solutions 86
of dilute hydrogen peroxide 701
of dilute solutions containing 100
of dilute standard solutions 53
of direct american military 403
of direct bacterial infection 43
of direct chemical analysis 139
of direct chemical interest 47
of direct clinical interest 56
of direct clinical practice 95
of direct clinical services 87
of direct economic activity 71
of direct economic benefits 203
of direct economic controls 120
of direct economic interest 157
of direct economic pressure 66
of direct economic relations 76
of direct electron transfer 374
of direct evidence concerning 140
of direct evidence connecting 140
of direct evidence indicating 45
of direct evidence supporting 85
of direct external evidence 50
of direct financial benefits 58
of direct financial interest 287
of direct gradient analysis 145
of direct materials consumed 122
of direct materials expected 74
of direct materials required 112
of direct military conflict 197
of direct military interest 262
of direct military pressure 91
of direct monetary controls 60
of direct monetary payments 71
of direct parental operation 40
of direct pecuniary interest 177
of direct personal authority 54
of direct personal communion 56
of direct personal contacts 260
of direct personal interest 905
of direct personal relations 140
of direct personal services 152
of direct physical controls 64
of direct physical evidence 109
of direct physical interest 151
of direct physical response 56
of direct positive evidence 58
of direct services provided 72
of direct steamship services 43
of direct sunlight exposure 50
of direct sunlight received 50
of direct supporting evidence 55
of direct surgical treatment 63
of direct transfer payments 147
of disease commonly ascribed 44
of disney consumer products 50
of distal perfusion pressure 42
of doctor benjamin franklin 431
of doctor franklin mentioned 45
of domain specific languages 132
of double elective affinity 87
of double precision variables 51
of doubly occupied orbitals 260
of doubly refracting crystals 539
of drinks containing caffeine 138
of driver education programs 135
of dually diagnosed patients 294
of dynamo electric machines 208
of earlier christian tradition 42
of earlier economic policies 54
of earlier volcanic activity 53
of eastern boundary currents 368
of eastern christian churches 69
of eastern mystical religions 48
of eastman chemical products 231
of eleven autistic children 272
of eleven infantry divisions 53
of enduring distress patterns 77
of enduring negative symptoms 88
of enduring terrible injuries 45
of energy absorbed increases 48
of energy actually absorbed 138
of energy actually consumed 68
of energy actually required 50
of energy commonly employed 81
of energy computer incident 92
of energy transfer decreases 118
of energy transfer increases 78
