obeying such commands as 63
oblong body attached to 83
occur among children in 184
occur among children of 186
occur among patients in 70
occur among students in 72
occur during anesthesia or 66
occur during attempts at 93
occur during attempts to 191
occur during delivery of 74
occur during delivery or 63
occur during episodes of 515
occur during execution of 525
occur during exercise in 194
occur during exercise is 48
occur during exercise or 196
occur during exposure of 110
occur during exposure to 467
occur during formation of 244
occur during gestation in 55
occur during gestation or 49
occur during induction of 284
occur during induction or 66
occur during initiation of 109
occur during injection of 41
occur during insertion of 266
occur during insertion or 61
occur during movement of 76
occur during operation of 255
occur during operation or 52
occur during oxidation of 48
occur during processing of 223
occur during processing or 79
occur during reduction of 47
occur during resection of 61
occur during synthesis of 59
occur during transfer of 48
occur during treatment of 319
occur during treatment or 177
occur from accident or 65
occur from attempts to 51
occur from blockage of 41
occur from december to 265
occur from exposure to 1070
occur from extension of 176
occur from february to 103
occur from infection of 114
occur from injection of 42
occur from injuries to 50
occur from november to 255
occur from occlusion of 109
occur from pressure of 224
occur from pressure on 254
occur from retention of 65
occur from variations in 62
occur just proximal to 107
occur less commonly in 640
occur less commonly on 49
occur many hundreds of 89
occur many thousands of 76
occur more commonly as 393
occur more commonly at 245
occur more commonly if 43
occur more commonly in 9202
occur more commonly on 442
occur more commonly to 41
occur more distally in 55
occur most commonly as 1140
occur most commonly at 1029
occur most commonly by 44
occur most commonly in 11725
occur most commonly on 2080
occur most commonly to 98
occur most markedly in 60
occur most obviously in 79
occur most strikingly in 43
occur must therefore be 50
occur only pursuant to 93
occur over hundreds of 126
occur over thousands of 128
occur such passages as 79
occur upon cessation of 96
occur upon exposure of 65
occur upon exposure to 326
occur upon formation of 50
occur upon initiation of 51
occur very commonly in 877
occur very commonly on 54
occur very sparsely in 61
occur very suddenly in 68
occur when attempting to 669
occur when attention is 205
occur when business is 52
occur when children do 76
occur when children or 43
occur when chlorine is 47
occur when compared to 105
occur when concrete is 72
occur when elements of 79
occur when everyone is 80
occur when evidence is 41
occur when exercise is 74
occur when exposure to 69
occur when followed by 54
occur when hydrogen is 120
occur when increases in 81
occur when industry is 42
occur when infection is 71
occur when inflation is 66
occur when mixtures of 48
occur when moisture is 72
occur when morphine is 62
occur when movement is 50
occur when officials of 60
occur when patients do 49
occur when performing the 53
occur when physical or 67
occur when preceded by 45
occur when pressure is 237
occur when property is 202
occur when rainfall is 61
occur when solutions of 136
occur when students do 73
occur when thousands of 40
occur when treatment is 332
occur will probably be 89
oceans were regarded as 104
oceans will continue to 174
offer been accepted by 84
offer cash payments to 43
offer clear benefits to 111
offer clear evidence of 1292
offer clear examples of 732
offer clear guidance on 262
offer clear guidance to 159
offer early examples of 43
offer fine examples of 416
offer firm evidence of 54
offer four examples of 148
offer free admission on 140
offer free admission to 214
offer free delivery to 42
offer free education to 193
offer free services in 91
offer free services to 502
offer free shuttles to 143
offer free treatment to 88
offer fringe benefits to 64
offer full coverage of 68
offer good accounts of 47
offer good coverage of 72
offer good evidence of 235
offer good examples of 3120
offer good practice in 47
offer good solutions to 52
offer great benefits in 101
offer great benefits to 446
offer great potential as 440
offer great potential in 543
offer great potential to 574
offer health benefits to 610
offer health coverage to 171
offer health services to 233
offer high salaries to 178
offer into evidence an 40
offer into evidence as 97
offer into evidence at 148
offer into evidence the 442
offer into evidence to 1094
offer less prospect of 99
offer live coverage of 58
offer living examples of 43
offer made directly at 69
offer made directly to 177
offer made pursuant to 518
offer many benefits in 159
offer many benefits to 1217
offer many examples in 124
offer many examples of 3962
offer many examples to 55
offer many problems in 108
offer many problems of 148
offer many problems to 138
offer many services to 591
offer many solutions to 65
offer many variations of 87
offer many variations on 134
offer more benefits to 311
offer more evidence of 260
offer more examples of 267
offer more guidance on 112
offer more guidance to 91
offer more interest to 49
offer more prospect of 58
offer more security to 184
offer more services at 138
offer more services in 149
offer more services to 875
offer much evidence of 371
offer much evidence to 165
offer much guidance as 172
offer much guidance in 384
offer much guidance on 325
offer much guidance to 202
offer much potential in 109
offer much prospect of 872
offer must therefore be 110
offer only glimpses of 124
offer other benefits as 178
offer other benefits in 53
offer other benefits to 117
offer other evidence of 156
offer other examples of 813
offer other services as 186
offer other services in 60
offer other services to 353
offer rare glimpses of 112
offer ready solutions to 95
offer rich accounts of 104
offer rich evidence of 43
offer rich examples of 131
offer rich presents to 101
offer side payments to 96
offer some analysis of 512
offer some approach to 46
offer some benefits in 106
offer some benefits to 511
offer some challenge to 223
offer some comments in 63
offer some comments of 81
offer some comments on 2738
offer some contrast to 71
offer some coverage of 83
offer some critique of 45
offer some direction to 79
offer some elements of 204
offer some estimate of 118
offer some evidence as 178
offer some evidence in 527
offer some evidence of 1968
offer some evidence on 394
offer some evidence to 652
offer some examples in 64
offer some examples of 3364
offer some examples to 276
offer some glimpses of 212
offer some guidance as 819
offer some guidance in 1059
offer some guidance on 1201
offer some guidance to 1407
offer some insights as 205
offer some insights in 101
offer some insights on 513
offer some insights to 185
offer some interest to 61
offer some objection to 53
offer some obstacle to 64
offer some pointers as 45
offer some pointers on 201
offer some pointers to 335
offer some potential as 109
offer some potential in 81
offer some potential to 76
offer some prospect of 1484
offer some recourse if 44
offer some reduction in 165
offer some response to 139
offer some security in 43
offer some security of 46
offer some security to 91
offer some services to 159
offer some solutions to 907
offer such benefits as 418
offer such benefits to 240
offer such comments as 78
offer such coverage to 52
offer such evidence as 579
offer such evidence in 148
offer such evidence or 49
offer such examples of 103
