obeying international laws 177
occur accidentally during 178
occur accidentally from 84
occur accidentally when 157
occur concurrently during 127
occur concurrently when 54
occur considerably less 338
occur considerably more 675
occur consistently among 55
occur consistently during 48
occur consistently only 41
occur consistently over 116
occur continuously along 93
occur continuously during 305
occur continuously from 136
occur continuously over 365
occur episodically during 49
occur episodically over 44
occur incidentally during 69
occur infrequently among 124
occur infrequently during 227
occur infrequently over 55
occur infrequently when 101
occur interspersed among 54
occur particularly along 82
occur particularly among 191
occur particularly during 405
occur particularly from 60
occur particularly over 59
occur particularly when 1133
occur repetitively over 49
occur specifically during 63
occur spontaneously also 44
occur spontaneously among 204
occur spontaneously during 1115
occur spontaneously even 190
occur spontaneously from 640
occur spontaneously once 113
occur spontaneously only 273
occur spontaneously over 229
occur spontaneously upon 61
occur spontaneously when 877
occur sporadically along 229
occur sporadically also 54
occur sporadically among 255
occur sporadically during 252
occur sporadically from 169
occur sporadically only 53
occur sporadically over 189
occur sporadically when 57
occur subsequently from 48
occur substantially more 149
occur successfully only 62
occur successively over 43
occur sufficiently early 276
occur sufficiently fast 67
occur sufficiently soon 42
occur superimposed upon 55
occur unexpectedly during 125
occur unexpectedly from 44
occur unexpectedly when 221
oddly disappointed when 77
oddly disconnected from 314
odious condescension when 60
offer alternatives from 45
offer alternatives such 186
offer alternatives when 171
offer capabilities such 41
offer compassionate care 125
offer compensatory time 165
offer considerable cost 265
offer considerable data 90
offer considerable food 56
offer considerable help 487
offer considerable hope 787
offer considerable room 128
offer considerable sums 78
offer considerably less 1444
offer considerably more 4608
offer consistently good 156
offer consistently high 57
offer constructive help 308
offer constructive ideas 185
offer constructive ways 87
offer exceptionally fine 100
offer exceptionally good 441
offer exceptionally high 270
offer illustrations from 159
offer improvements over 686
offer independence from 92
offer particularly clear 162
offer particularly fine 41
offer particularly good 1294
offer particularly high 145
offer particularly rich 327
offer perspectives from 267
offer postgraduate work 122
offer quantitative data 146
offer reproductive health 54
offer requirements will 46
offer satisfactory means 92
offer substantially less 496
offer substantially more 1462
offer sufficiently good 58
offer sufficiently high 319
offer unconditional love 1041
often accommodated less 70
often accommodates your 53
often accomplished during 102
often accomplished from 61
often accomplished less 40
often accomplished more 448
often accomplished much 88
often accomplished only 429
often accomplished over 88
often accomplished their 94
often accomplished what 151
often accomplished when 113
often accomplishes more 329
often accomplishes much 129
often accomplishes nothing 69
often accomplishes what 207
often acknowledged even 63
often acknowledged only 124
often acknowledged their 251
often administered along 61
often administered during 222
often administered from 86
often administered only 40
often administered prior 106
often administered their 44
often administered when 112
often agglomerated into 81
often animadverted upon 114
often antagonistic ways 43
often apprehensive when 62
often appropriately used 66
often asymptomatic when 59
often characterize life 41
often characterize such 191
often characterize their 407
often characterize these 333
often characterize those 91
often characterize what 55
often commentators have 115
often communicated from 174
often communicated more 142
often communicated their 94
often communicates more 250
often complemented their 42
often complimented upon 42
often concentrated along 445
often concentrated among 157
often concentrated into 315
often concentrated more 193
often concentrated over 100
often concentrated their 283
often concentrated upon 302
often concentrates upon 161
often congratulated upon 55
often considerable areas 61
