obdurate coldness awoke 52
obedient affection which 50
obedient children under 46
obedient companion would 49
obedient daughter would 52
obedient subjects heaved 87
obedient subjects ought 71
obedient subjects rather 59
objection commonly urged 208
objection formerly urged 64
objection likewise falls 64
objection mentioned above 1425
objection outlined above 107
objection probably would 46
objection provided under 84
objection received within 72
objection therefore fails 90
objection whatever could 70
objection whatever would 108
objector exemption under 44
obligate anaerobes which 390
obligate parasite which 95
obnoxious fugitive slave 120
obnoxious provision order 74
obscures questions about 42
observed absolute value 53
observed activity level 58
observed annually since 84
observed anywhere within 52
observed apparent motion 107
observed attitude change 167
observed behaviors rather 99
observed behaviors which 151
observed behaviors within 48
observed behaviors would 42
observed boundary layer 197
observed business cycle 266
observed chemical change 344
observed chemical facts 87
observed chemical shift 5003
observed children knows 42
observed children learning 154
observed children playing 469
observed children under 98
observed children working 124
observed climatic change 116
observed clinical cases 120
observed clinical facts 216
observed clinical signs 640
observed concerning moral 68
observed condition method 249
observed corrosion rates 125
observed detection rates 174
observed deviations could 41
observed diffusion rates 47
observed direction would 41
observed directly above 170
observed directly after 308
observed directly below 165
observed directly beneath 55
observed directly either 51
observed directly rather 60
observed directly since 95
observed directly under 555
observed directly while 65
observed directly within 65
observed downward trend 276
observed economic growth 296
observed electric field 1316
observed elevated blood 42
observed elevated serum 58
observed execution times 227
observed forecast error 135
observed frequent fasts 57
observed galactic stars 67
observed hydrogen bonding 44
observed hydrogen lines 108
observed increased blood 314
observed increased growth 131
observed increased rates 233
observed increased serum 226
observed induction period 114
observed inflation rates 308
observed infrared bands 194
observed initially after 41
observed interest rates 1036
observed internal waves 69
observed isolated cases 91
observed isotopic ratios 150
observed isotopic shift 48
observed magnetic bearings 252
observed magnetic field 4936
observed meteorite falls 893
observed migration rates 199
observed mobility rates 211
observed monsieur looking 58
observed multiple times 332
observed neutrino burst 304
observed nucleation rates 59
observed numerous cases 387
observed numerous large 76
observed numerous small 415
observed numerous times 294
observed occurred after 40
observed oxidation rates 74
observed particle sizes 126
observed patients whose 248
observed patterns could 214
observed patterns which 52
observed patterns within 53
observed patterns would 120
observed phillips curve 141
observed physical facts 498
observed physical signs 117
observed physical world 209
observed positions which 49
observed potential change 143
observed presents within 53
observed pressure change 411
observed pressure drops 224
observed pressure would 55
observed probable error 69
observed quantity which 51
observed recovery rates 84
observed relative motion 248
observed relative price 120
observed relative rates 146
observed relative risks 161
observed religious rites 209
observed respecting trees 55
observed respecting truths 57
observed response rates 379
observed response times 475
observed response value 186
observed retarded growth 43
observed retention times 295
observed scattering angles 97
observed scattering cross 481
observed scattering curve 114
observed selection rules 170
observed situation where 117
observed slightly above 120
observed slightly lower 51
observed somewhat later 345
observed specific binding 99
observed specific growth 67
observed spectral bands 109
observed spectral change 179
observed spectral index 555
observed spectral lines 2966
observed spectral region 195
observed spectral shape 432
observed spectral shift 106
observed spectral types 132
observed spectrum could 67
observed spectrum lines 253
observed spectrum shows 149
observed spectrum which 145
observed spectrum would 211
observed speedily driving 41
observed standard error 270
observed students working 137
observed stylized facts 145
observed survival curve 71
observed survival rates 469
observed survival times 731
observed symmetry ought 54
observed symptoms which 297
observed transfer rates 105
observed treatment short 730
observed variables could 102
observed variables under 50
observed variables which 371
observed variables would 142
observed variations could 196
observed variations within 95
observed velocity agree 53
observed velocity curve 205
observed velocity field 750
observed velocity would 104
observed vertical angles 433
observed vertical force 40
observed visually under 46
observed wavelength shift 59
observed westward drift 63
observer directly above 173
observer directly below 133
observer mentioned above 203
observer partially loses 47
observer probably would 300
observer receives light 46
observer recently noted 297
observer recently wrote 125
observer remarked about 108
observer situated above 41
observer situated within 317
observes children playing 40
