oaken settles beside 231
obese adipose tissue 68
obese diabetic adults 117
obese infants become 65
obese parents become 158
obese patient should 341
obese persons report 99
obese persons should 118
obese persons suffer 42
obese persons without 107
obeying illegal orders 49
obeying superior orders 277
obeying traffic lights 156
obeys certain simple 164
occur anytime before 45
occur because adults 49
occur because another 102
occur because changes 162
occur because demand 65
occur because energy 175
occur because existing 158
occur because family 156
occur because groups 70
occur because higher 249
occur because humans 91
occur because larger 45
occur because leaders 58
occur because market 144
occur because mothers 45
occur because neither 416
occur because normal 81
occur because oxygen 42
occur because prices 87
occur because proper 60
occur because someone 530
occur because something 212
occur because states 79
occur because various 65
occur becomes larger 42
occur between active 61
occur between actors 126
occur between actual 120
occur between adults 236
occur between agents 105
occur between almost 60
occur between animal 48
occur between annual 58
occur between atomic 57
occur between august 223
occur between blacks 63
occur between blocks 66
occur between bodies 142
occur between brother 62
occur between buyers 80
occur between carbon 111
occur between chains 70
occur between changes 108
occur between cities 68
occur between client 200
occur between clouds 80
occur between common 48
occur between cycles 62
occur between direct 60
occur between doctor 44
occur between energy 223
occur between england 98
occur between english 56
occur between enzyme 52
occur between equals 189
occur between events 151
occur between existing 60
occur between family 948
occur between fathers 70
occur between female 77
occur between fields 71
occur between frames 94
occur between france 118
occur between genera 40
occur between grades 49
occur between grains 60
occur between groups 1316
occur between higher 65
occur between highly 175
occur between humans 179
occur between images 43
occur between indians 44
occur between infant 86
occur between initial 107
occur between larger 59
occur between layers 208
occur between leaders 106
occur between levels 378
occur between liquid 56
occur between lovers 104
occur between masses 50
occur between matter 50
occur between meetings 91
occur between member 45
occur between mental 44
occur between metals 77
occur between middle 67
occur between mothers 156
occur between muscle 42
occur between nations 780
occur between native 45
occur between nearest 53
occur between normal 142
occur between nuclear 66
occur between nuclei 128
occur between nurses 62
occur between opposing 123
occur between oxygen 61
occur between parent 741
occur between peoples 70
occur between periods 297
occur between phases 153
occur between pieces 49
occur between places 56
occur between plants 303
occur between plasma 91
occur between points 346
occur between police 56
occur between policy 133
occur between public 111
occur between pulses 65
occur between readers 49
occur between regions 302
occur between sample 110
occur between sampling 228
occur between scenes 76
occur between school 118
occur between scores 41
occur between seasons 73
occur between second 46
occur between siblings 240
occur between simple 60
occur between sister 270
occur between solids 55
occur between solute 129
occur between sounds 48
occur between source 61
occur between stages 199
occur between states 1028
occur between strata 49
occur between summer 87
occur between sunset 77
occur between supply 60
occur between system 66
occur between teacher 261
occur between trains 42
occur between twelve 141
occur between twenty 305
occur between unlike 57
occur between values 76
occur between various 861
occur between visits 148
occur between vowels 318
occur between whites 55
occur between widely 83
occur between younger 41
occur certain changes 59
occur certain events 54
occur chiefly around 75
occur chiefly through 139
occur closely spaced 50
occur depends mainly 45
occur depends partly 58
occur despite normal 341
occur despite proper 68
occur despite severe 68
occur despite therapy 54
occur equally across 70
occur equally likely 58
occur equally readily 99
occur equally spaced 85
occur following abrupt 172
occur following cardiac 310
occur following changes 92
occur following closed 66
occur following damage 283
occur following dental 76
occur following direct 161
occur following ingestion 557
occur following initial 114
occur following injury 619
occur following lesions 146
occur following lumbar 47
occur following normal 57
occur following ocular 46
occur following partial 92
occur following pelvic 56
occur following periods 92
occur following release 51
occur following repair 76
occur following severe 432
occur following sexual 67
occur following simple 44
occur following spinal 130
occur following stress 170
occur following stroke 94
occur following sudden 101
occur following therapy 89
