objects completely enclosed 207
objects constantly multiply 218
objects essentially consists 52
objects originally intended 78
objects originally proposed 385
objects separately produces 66
oblique aggressive strategy 206
oblique orientation relative 48
obscure borderline questions 49
obscure historical allusions 44
obscure historical incident 49
obscure historical questions 44
obscure individual variations 40
obscure prophecies concerning 48
obscure scientific journals 214
obscure scriptural passages 54
observe consistent patterns 44
observe diffraction patterns 48
observe discipline strictly 40
observe individual children 200
observe individual students 141
observe procedural fairness 94
observe regulations concerning 66
observe traditional religious 128
observing individual children 189
observing individual students 97
obtaining admissible evidence 64
obtaining analytical solutions 383
obtaining appropriate cultures 146
obtaining appropriate materials 55
obtaining appropriate services 185
obtaining appropriate treatment 182
obtaining clinically relevant 65
obtaining collective bargaining 61
obtaining comparable treatment 62
obtaining conclusive evidence 193
obtaining definitive evidence 44
obtaining diffraction patterns 182
obtaining disability benefits 309
obtaining educational services 59
obtaining elementary education 44
obtaining employment anywhere 72
obtaining employment suitable 43
obtaining government approval 596
obtaining government benefits 118
obtaining government licenses 44
obtaining government positions 54
obtaining government services 87
obtaining immigration benefits 174
obtaining individual licenses 84
obtaining information concerning 3137
obtaining information directly 351
obtaining information essential 81
obtaining information pertaining 129
obtaining information relative 529
obtaining information relevant 441
obtaining information required 209
obtaining information respecting 1343
obtaining management approval 157
obtaining particular solutions 69
obtaining psychiatric treatment 71
obtaining regulatory approval 1673
obtaining scientific evidence 83
obtaining specialized services 40
obtaining subdivision approval 73
obtaining substantial benefits 54
obtaining substantial financial 78
obtaining substantial increases 43
obtaining substantial monetary 56
obtaining substitute domestic 79
obtaining sufficient accuracy 65
obtaining sufficient calories 61
obtaining sufficient contrast 69
obtaining sufficient evidence 526
obtaining sufficient financial 110
obtaining sufficient manpower 48
obtaining sufficient moisture 68
obtaining sufficient quantity 63
obtaining sufficient recruits 53
obtaining sufficient revenues 50
obtaining sufficient security 42
obtaining sufficient suitable 53
obtaining sufficient supplies 563
obtaining therapeutic abortions 70
obtaining trustworthy evidence 58
obtaining university education 55
obtaining utilization obtained 65
obtains government approval 41
obtains information concerning 412
obtains information directly 80
obtains information required 50
obtains sufficient evidence 153
obtains sufficient moisture 40
occasion absolutely demanded 60
occasion absolutely required 42
occasion absolutely requires 58
occasion imperiously demanded 155
occasion transacted business 66
occupying comparable positions 60
occupying entrenched positions 44
occupying equivalent positions 130
occupying government positions 198
