tab characters between 112
tag immediately following 123
tax advantages against 40
tax advantages allowed 56
tax advantages because 548
tax advantages derived 178
tax advantages enjoyed 1006
tax advantages granted 553
tax advantages include 222
tax advantages offered 908
tax advantages regarding 48
tax advantages related 150
tax advantages resulting 284
tax advantages similar 225
tax agreements between 426
tax allowances against 52
tax allowances granted 172
tax apportioned according 87
tax assessable against 396
tax assessment according 42
tax assessment against 882
tax assessment because 218
tax assessment figures 185
tax assessment imposed 95
tax assessment notices 238
tax assessment offices 87
tax assessment process 171
tax assessment program 129
tax assessment records 3290
tax assessment systems 56
tax assignment problem 79
tax assistance program 160
tax attributes between 86
tax attributes carried 117
tax attributes following 83
tax authorities according 183
tax authorities against 148
tax authorities allowed 110
tax authorities attempt 52
tax authorities because 624
tax authorities believe 91
tax authorities claimed 80
tax authorities collect 62
tax authorities decided 123
tax authorities provide 61
tax authorities refused 177
tax authorities regarding 391
tax authorities require 510
tax authorities reserve 62
tax authorities together 55
tax authorities usually 223
tax calculated according 558
tax calculation program 49
tax collections because 163
tax collections between 311
tax collections decline 96
tax collections decrease 51
tax collections dropped 256
tax collections increase 558
tax collections resulting 148
tax collections totaled 230
tax collectors appeared 110
tax collectors arrived 160
tax collectors because 660
tax collectors brought 46
tax collectors collect 59
tax collectors gathered 101
tax collectors receive 51
tax collectors refused 49
tax collectors usually 60
tax competition between 1972
tax competition results 144
tax computation applies 60
tax computation process 94
tax computation program 47
tax concessions allowed 161
tax concessions because 105
tax concessions enjoyed 170
tax concessions granted 1422
tax concessions including 43
tax concessions offered 718
tax consultant contact 45
tax conventions between 590
tax creditable against 49
tax deductible against 250
tax deductible amounts 166
tax deductible because 421
tax deductible dollars 344
tax deductible donation 557
tax deductible expense 2294
tax deductible medical 103
tax deficiency against 427
tax deficiency notices 153
tax deficiency related 60
tax deficiency resulting 229
tax depreciation allowed 69
tax depreciation exceeds 389
tax depreciation expense 290
tax depreciation records 42
tax determined according 73
tax determined against 92
tax difference between 1392
tax disposable incomes 41
tax distinction between 462
tax heretofore imposed 63
tax immediately imposed 156
tax incentives affecting 44
tax incentives applied 97
tax incentives because 316
tax incentives enacted 75
tax incentives enjoyed 41
tax incentives granted 1037
tax incentives include 446
tax incentives including 263
tax incentives offered 2193
tax incentives program 167
tax incentives provide 163
tax incentives related 149
tax incentives similar 134
tax individual incomes 152
tax information between 89
tax information exchange 1700
tax information include 127
tax information including 56
tax information regarding 62
tax information related 48
tax information returns 594
tax information service 92
tax information sources 66
tax information together 57
tax instruction booklet 348
tax interaction effects 79
tax investment credits 240
tax investment returns 477
tax legislation affecting 471
tax legislation against 106
tax legislation because 106
tax legislation between 88
tax legislation enacted 1151
tax legislation permits 108
tax legislation regarding 48
tax liabilities according 174
tax liabilities accrued 76
tax liabilities against 358
tax liabilities because 440
tax liabilities between 167
tax liabilities implied 59
tax liabilities imposed 183
tax liabilities including 42
tax liabilities increase 201
tax liabilities related 235
tax liabilities resulting 713
tax limitations imposed 272
tax neutrality between 421
tax obligations against 70
tax obligations because 133
tax obligations imposed 212
tax obligations resulting 45
tax originally imposed 208
tax preference related 48
tax preference subject 1078
tax preparation company 362
tax preparation offices 139
tax preparation package 205
tax preparation process 113
tax preparation program 1126
tax preparation service 1642
tax principles governing 161
tax principles require 45
tax privileges enjoyed 401
