t act iii 123
t add any 49
t all and 48
t all are 123
t all bad 129
t all but 138
t all for 118
t all his 362
t all its 95
t all men 183
t all our 149
t all that 3523
t all things 288
t all this 1586
t all was 94
t all who 114
t and add 774
t and age 458
t and all 7849
t and and 1759
t and any 1436
t and area 161
t and are 3895
t and ask 129
t and being 462
t and both 383
t and bring 43
t and but 60
t and can 2057
t and chi 678
t and cos 1168
t and day 178
t and did 390
t and does 620
t and don 198
t and dot 808
t and each 965
t and end 466
t and fig 148
t and for 14103
t and get 296
t and god 55
t and goes 42
t and going 43
t and got 41
t and had 982
t and has 2172
t and heat 114
t and her 559
t and his 3676
t and how 1684
t and its 5447
t and lead 47
t and let 3293
t and log 1002
t and long 380
t and low 184
t and may 1201
t and mean 401
t and new 175
t and nil 307
t and non 394
t and not 3924
t and now 1658
t and old 46
t and one 4579
t and our 379
t and out 54
t and pay 572
t and per 108
t and put 608
t and read 335
t and real 50
t and saw 43
t and say 284
t and see 640
t and set 908
t and she 696
t and sin 1037
t and sir 177
t and tan 164
t and ten 99
t and that 27405
t and then 15778
t and they 2695
t and this 5371
t and thou 254
t and thus 3185
t and try 105
t and two 2128
t and use 1735
t and using 1556
t and was 2706
t and who 1373
t and why 831
t and with 3403
t and won 140
t and year 1311
t and yet 4537
t and you 1143
t ant urn 407
t any idea 107
t any man 136
t any one 1179
t any real 118
t any use 51
t any way 158
t are all 1637
t are and 276
t are any 349
t are being 225
t are both 1414
t are due 197
t are each 290
t are for 281
t are its 116
t are non 227
t are not 5187
t are now 691
t are one 100
t are real 478
t are set 352
t are that 188
t are then 915
t are they 675
t are thus 338
t are too 99
t are two 1604
t are you 1140
t art thou 222
t ask any 231
t ask for 1662
t ask her 346
t ask him 478
t ask how 56
t ask that 131
t ask them 209
t ask why 177
t ask you 709
t bear that 327
t bear this 45
t beat them 126
t being any 152
t being now 47
t being one 111
t being that 49
t both are 236
t both for 95
t bring any 53
t bring her 160
t bring him 218
t bring them 133
t bring you 73
t but all 657
t but are 279
t but both 40
t but can 182
t but did 55
t but does 217
t but for 1145
t but had 128
t but has 99
t but her 92
t but his 990
t but how 479
t but its 186
t but let 309
t but may 169
t but not 2952
t but now 595
t but one 765
t but our 133
t but see 700
t but she 390
t but that 3416
t but then 302
t but they 1630
t but this 3942
t but was 379
t but who 169
t but why 243
t but with 836
t but yet 53
t but you 506
t buy any 116
t buy that 303
t buy them 129
t buy you 113
t can any 259
t can get 156
t can lead 103
t can mean 45
t can not 16387
t can now 676
t can say 140
t can see 183
t can then 1391
t can they 63
t can this 106
t can thus 220
t can use 82
t can you 848
t cry and 43
t cry for 188
t cry out 107
t cut off 168
t cut out 207
t day and 102
t deal with 1497
t dear sir 110
t did not 6687
t did they 212
t did you 712
t die for 42
t does not 24252
t does this 369
t doing any 45
t doing that 42
t each and 187
t each end 170
t each for 54
t each one 46
t each way 96
t each year 338
t easy for 291
t end end 55
t end sub 687
t end with 186
t ere are 148
t ere was 88
t far you 94
t fit for 77
t fit with 55
t for air 85
t for all 12533
t for and 391
t for any 3303
t for art 117
t for both 1074
t for each 8015
t for for 350
t for god 106
t for her 420
t for him 513
t for his 1406
t for its 674
t for long 174
t for low 222
t for men 45
t for non 298
t for not 48
t for one 3172
t for our 694
t for sin 44
t for six 90
t for tab 264
t for ten 56
t for that 2581
t for them 418
t for they 436
t for this 6305
t for top 50
t for two 2923
t for use 454
t for year 214
t for you 753
t fur die 1615
t get all 401
t get any 2662
t get far 145
t get her 498
t get him 565
t get his 474
t get hung 42
t get mad 397
t get near 93
t get off 818
t get one 580
t get our 113
t get out 4826
t get rid 1384
t get that 1464
t get them 774
t get this 428
t get too 1109
t get wet 44
t get you 781
t god and 62
t god had 89
t god has 197
t god hath 85
t goes with 44
t going out 112
t got all 62
t got any 781
t got long 364
t got one 286
t got that 356
t had all 190
t had any 743
t had for 52
t had got 52
t had had 148
t had his 101
t had its 159
t had long 294
t had not 1968
t had one 143
t had sex 66
t had that 421
t had they 119
t had this 103
t had thus 135
t had two 111
t hang out 81
t has all 366
t has any 284
t has both 41
t has for 133
t has got 48
t has had 176
t has its 832
t has led 43
t has long 2696
t has mean 201
t has not 2476
t has now 418
t has one 502
t has this 141
t has two 635
t has yet 123
t hat all 1462
t hat any 116
t hat are 511
t hat both 47
t hat can 284
t hat each 47
t hat for 138
t hat had 160
t hat has 268
t hat his 205
t hat its 48
t hat may 146
t hat one 353
t hat our 109
t hat she 219
t hat they 1199
t hat this 458
t hat was 387
t hat you 352
t hear any 270
t hear her 354
t hear him 347
t hear his 94
t hear that 372
t hear them 247
t hear you 850
t hem and 120
t hem are 108
t hem for 100
t hem with 69
t her and 78
t her own 225
t her with 46
t hey are 1733
t hey can 292
t hey did 128
t hey had 462
t hey may 270
t him and 133
t him for 114
t him that 163
t him with 121
t his act 239
t his and 83
t his day 64
t his death 469
t his head 119
t his new 58
t his own 1083
t his real 42
t his son 986
t his was 313
t his way 237
t his year 226
t hit her 56
t hit him 50
t hit you 47
t how are 770
t how can 1304
t how did 802
t how does 932
t how far 1295
t how has 57
t how long 1028
t how may 237
t how then 61
t how they 60
t how this 115
t how was 429
t how you 113
t ions and 708
t ions are 408
t ions for 438
t ions that 224
t ions with 375
t ism and 149
t its own 288
t law and 207
t let all 48
t let any 493
t let her 2894
t let him 5986
t let his 107
t let not 189
t let our 53
t let that 2411
t let them 3432
t let things 51
t let this 1472
t let you 2648
t lie air 87
t lie earth 85
t lie end 286
t lie head 98
t lie law 127
t lie new 103
t lie old 117
t lie one 41
t lie two 404
t lie use 258
t lie war 85
t lie year 241
t long ago 322
t long and 647
t man and 188
t man was 40
t man who 210
t may god 41
t may lead 134
t may mean 43
t may not 2858
t may now 321
t may say 114
t may then 508
t may thus 133
t may with 86
t mean any 191
t mean for 162
t mean she 215
t mean that 7638
t mean they 420
t mean this 61
t mean you 1375
t men and 291
t men are 95
t men who 236
t met with 204
t min fig 187
t mix with 158
t new and 99
t nor any 56
t nor are 200
t nor can 298
t nor did 418
t nor does 274
t nor was 795
t not all 704
t not being 322
t not far 161
t not for 822
t not long 603
t not one 516
t not that 1278
t not too 236
t not yet 333
t now all 41
t now and 193
t now for 115
t now has 51
t now let 312
t now sir 232
t now that 992
t now this 275
t now with 178
t now you 113
t off and 51
t off with 103
t oil and 42
t one and 309
t one can 5356
t one day 751
t one end 250
t one for 119
t one has 1051
t one man 140
t one may 882
t one that 191
t one was 200
t one way 245
t one who 559
t one with 47
t one year 314
t our own 298
t out all 40
t out and 245
t out for 186
t out that 146
t out with 173
t owe you 46
t pan out 48
t path for 256
t pay any 567
t pay for 1092
t pay him 142
t pay his 42
t pay off 78
t pay them 63
t pay you 203
t per bag 115
t per day 2646
t per head 62
t per kwh 157
t per ton 884
t per year 4063
t put all 198
t put any 119
t put her 149
t put him 140
t put his 161
t put off 154
t put out 282
t put that 70
t put them 295
t put this 50
t put too 48
t put you 157
t rat ions 345
t read and 313
t read any 128
t read his 45
t read that 48
t read them 179
t read this 222
t real and 141
t rue and 193
t rue that 202
t run and 52
t run for 113
t run off 68
t run out 618
t saw him 89
t say any 305
t say but 133
t say for 272
t say his 82
t say how 299
