tab order sequence 56
tag field contains 55
tag fusion proteins 326
tag still attached 1806
tag which contains 72
tag would indicate 41
tan after exposure 88
tan leather armchair 87
tan leather shoulder 101
tan leather suitcase 111
tap dance routines 166
tap every possible 172
tap every resource 59
tap human potential 254
tap water adjusted 97
tap water anywhere 193
tap water compared 106
tap water consumed 116
tap water containing 2532
tap water contains 1682
tap water directly 140
tap water facility 119
tap water followed 1382
tap water increased 92
tap water increases 116
tap water polluted 43
tap water pressure 114
tap water produced 107
tap water provided 158
tap water resulted 45
tap water solutions 62
tap water supplied 249
tap water supplies 422
tap water treatment 136
tap which supplies 151
tar color industry 226
tar paper barracks 408
tar paper shanties 117
tar paper underneath 42
tar pitch volatile 104
tar sands deposits 489
tar sands industry 47
tar sands processing 240
tar sands projects 580
tar sands reserves 282
tar under pressure 80
tar which contains 49
tax above mentioned 149
tax above provided 63
tax above referred 47
tax after december 48
tax after deduction 363
tax after reduction 143
tax alone amounted 48
tax alone produced 41
tax arising therefrom 65
tax asset deferred 84
tax asset valuation 463
tax audit purposes 67
tax basis accounting 89
tax basis financial 610
tax basis included 803
tax basis includes 46
tax basis purposes 83
tax bills increased 97
tax bills proposed 47
tax bills received 58
tax breaks accorded 65
tax breaks afforded 72
tax breaks amounted 41
tax breaks designed 380
tax breaks provided 224
tax breaks received 49
tax breaks targeted 109
tax cases concerning 43
tax costs incurred 157
tax costs involved 122
tax could actually 55
tax could generate 98
tax could possibly 87
tax could probably 83
tax could properly 52
tax could scarcely 51
tax could therefore 101
tax court decisions 749
tax court judgment 144
tax court proceeding 158
tax court properly 53
tax court rejected 129
tax earnings replaced 45
tax either directly 153
tax every possible 100
tax every resource 166
tax falling directly 101
tax falls directly 120
tax falls entirely 272
tax forms prepared 67
tax forms required 137
tax funds provided 328
tax goods imported 339
tax gross receipts 514
tax haven activity 181
tax haven affiliate 108
tax haven business 344
tax haven entities 202
tax issue involved 56
tax issue respecting 72
tax levying authority 166
tax liens attached 45
tax lists indicate 82
tax local property 495
tax makes possible 67
tax might actually 73
tax might otherwise 65
tax might possibly 83
tax might therefore 42
tax money directly 71
tax money expended 69
tax money invested 128
tax money involved 41
tax money provided 101
tax money received 262
tax money required 57
tax money supports 151
tax motor vehicles 290
tax payer affected 150
tax payer receives 58
tax people directly 44
tax period involved 133
tax point transfer 276
tax price received 267
tax raising capacity 65
tax rates actually 627
tax rates adjusted 76
tax rates affected 51
tax rates approach 56
tax rates assessed 132
tax rates averaged 57
tax rates combined 583
tax rates compared 458
tax rates computed 90
tax rates constant 729
tax rates continue 428
tax rates declined 521
tax rates decreased 133
tax rates decreases 109
tax rates designed 251
tax rates differed 181
tax rates diminish 90
tax rates directly 260
tax rates downward 135
tax rates embodied 55
tax rates employed 44
tax rates exceeded 123
tax rates expected 385
tax rates generate 84
tax rates implicit 97
tax rates included 200
tax rates increased 2023
tax rates increases 1148
tax rates indicate 112
tax rates initially 57
tax rates involved 208
tax rates involves 52
tax rates mentioned 509
tax rates normally 87
tax rates obtained 50
tax rates obviously 102
tax rates occurred 159
tax rates prevailing 670
tax rates probably 105
tax rates produced 93
tax rates produces 91
tax rates proposed 394
tax rates provided 891
tax rates provides 147
tax rates reflects 124
tax rates relative 530
tax rates remained 965
tax rates reported 163
tax rates required 1087
tax rates requires 199
tax rates resulted 89
tax rates slightly 76
tax rates somewhat 55
tax rates suggests 142
tax rates therefore 111
tax rates unchanged 525
tax rates whenever 58
tax risks involved 112
tax rolls entirely 184
tax rolls increased 89
tax rolls indicate 78
tax rules concerning 737
tax rules designed 214
tax rules involved 42
tax rules pertaining 400
tax sales proceeds 976
tax savings achieved 411
tax savings afforded 163
tax savings benefits 85
tax savings compared 88
tax savings effected 60
tax savings expected 42
tax savings inherent 51
tax savings involved 370
tax savings obtained 189
tax savings possible 154
tax savings potential 676
tax savings produced 148
tax savings provided 207
tax savings purposes 43
tax savings received 46
tax shall continue 204
tax shall hereafter 193
tax shall thereafter 50
tax shall thereupon 102
tax since taxpayer 55
tax social security 6356
tax sparing provision 222
tax state agencies 128
tax state property 140
tax still accounts 46
tax still provides 44
tax still remained 267
tax table provided 91
tax title acquired 181
tax total enclosed 59
tax treaty benefits 2902
tax treaty containing 63
tax treaty contains 182
tax treaty exemption 198
tax treaty includes 63
tax treaty networks 185
tax treaty partners 608
tax treaty provides 1469
tax treaty provision 806
tax treaty purposes 819
tax treaty treatment 87
tax under domestic 152
tax under internal 887
tax under schedule 20046
tax under subtitle 941
tax until december 179
tax until withdrawn 207
tax where property 143
tax where required 76
tax where taxpayer 191
tax which accounts 53
tax which actually 49
tax which affected 193
tax which affection 57
tax which amounted 565
tax which averages 44
tax which complies 51
tax which directly 136
tax which everyone 131
tax which exceeded 41
tax which exempted 84
tax which financed 85
tax which finances 117
tax which included 143
tax which includes 494
tax which increased 275
tax which increases 387
tax which involved 49
tax which involves 63
tax which narrowed 105
tax which operated 48
tax which operates 83
tax which otherwise 184
tax which partakes 54
tax which produced 246
tax which produces 80
tax which provided 146
tax which provides 162
tax which reflects 44
tax which remained 71
tax which remotely 52
tax which replaced 108
tax which required 110
tax which requires 329
tax which resulted 235
tax which supports 87
tax which threatened 40
tax whose proceeds 265
tax whose revenues 110
tax within eighteen 68
tax would actually 298
tax would continue 422
tax would diminish 122
tax would directly 68
tax would disappear 109
tax would equalize 51
tax would generate 497
tax would indicate 40
tax would initially 41
tax would likewise 65
tax would normally 189
tax would obviously 152
tax would otherwise 459
