tabs running across 48
tabu search methods 342
tack after another 158
tack close hauled 42
tack holding periods 116
tack under double 182
tack welds should 252
tact never failed 57
tact seems something 40
tact which always 79
tact which avoids 72
tact which belongs 133
tact which called 41
tact which caused 105
tact which marked 55
tact which rarely 68
tact which seemed 93
tact which served 45
tact which should 44
tact which taught 65
tact which teaches 93
tact would accept 60
tact would enable 40
tail about twelve 64
tail about twenty 62
tail black except 53
tail black tipped 530
tail could convey 59
tail could hardly 43
tail cross section 71
tail curling around 223
tail curls around 130
tail curls upward 219
tail curving upward 41
tail dangling behind 499
tail drags behind 43
tail eight inches 366
tail every minute 107
tail extra curled 66
tail first through 129
tail flick reflex 560
tail flowing behind 290
tail fully fanned 46
tail learns something 82
tail light behind 133
tail light lenses 129
tail moved slowly 134
tail nearly square 357
tail nearly touching 50
tail neatly around 97
tail neatly curled 74
tail newly curled 45
tail often cocked 48
tail passing through 192
tail plane should 115
tail rather darker 110
tail reaching almost 83
tail rotor blades 1624
tail rotor gearbox 638
tail rotor pedals 190
tail rotor spinning 138
tail rotor system 259
tail seven inches 453
tail still wagged 56
tail stock center 293
tail stood hovering 52
tail swaying gently 40
tail swept across 80
tail wagging behind 134
tail wagging eagerly 70
tail wagging faster 42
tail wagging gently 76
tail wagging slowly 286
tail wagging wildly 224
tail water levels 156
tail water should 103
tail waved gently 44
tail waved slowly 95
tail wheel instead 97
tail which almost 40
tail which always 161
tail which appears 396
tail which causes 63
tail which curves 116
tail which reached 206
tail which reaches 206
tail which seemed 141
tail which served 113
tail which serves 230
tail which should 62
tail which tapers 113
tail which wagged 113
tail while another 75
tail white barred 139
tail would almost 41
tail would become 69
tail would enable 40
tail would follow 45
tail would remain 75
tail would twitch 58
tail wound around 592
tail wraps around 416
take about another 584
take about double 182
take about eighty 846
take about eleven 449
take about france 49
take about ninety 300
take about twelve 3970
take about twenty 9258
take above twenty 61
take abuse without 78
take action abroad 46
take action across 113
take action almost 47
take action anyway 186
take action around 204
take action became 46
take action before 18640
take action behind 48
take action beyond 876
take action deemed 83
take action earlier 487
take action except 216
take action faster 47
take action inside 97
take action instead 651
take action itself 1101
take action likely 92
take action merely 67
take action myself 183
take action needed 63
take action openly 48
take action photos 54
take action relating 297
take action should 1151
take action simply 125
take action solely 200
take action sooner 377
take action through 3980
take action toward 4336
take action unless 1304
take action whether 130
take action without 11883
take adolf hitler 65
take after another 359
take after anyone 60
take after crossing 133
take after dinner 279
take after entering 44
take after nature 82
take after school 91
take after someone 176
take alarm before 40
take ample revenge 889
take anything across 50
take anything anyone 82
take anything before 333
take anything belonging 413
take anything better 123
take anything beyond 210
take anything cooked 41
take anything edible 52
take anything except 1128
take anything further 106
take anything larger 140
take anything myself 64
take anything orally 229
take anything serious 136
take anything special 128
take anything through 67
take anything unless 726
take anything without 1376
take apart another 43
take apart something 184
take apart without 47
take badly needed 58
take basal cuttings 103
take basic skills 93
take basic stains 109
take basic training 246
take black coffee 110
take blood counts 41
take blood revenge 226
take blood sample 187
take blood slides 52
take blood without 52
take blows without 92
take boats across 88
take boats through 50
take breaks without 55
take brief notice 351
take brine shrimp 146
take broad ground 62
take broad street 72
take burning brands 74
take cases before 283
take cases through 44
take cases unless 102
take cases without 81
take civil actions 47
take civil rights 266
take close notice 85
take coach sooner 43
take color photos 94
take color slides 398
take cover amongst 44
take cover around 87
take cover before 503
take cover behind 22403
take cover beside 46
take cover inside 1119
take cover without 195
take cruel revenge 166
take daily drives 58
take daily papers 57
take daily refuge 126
take deadly effect 49
take defeat without 155
take dirty clothes 43
take drink orders 790
take drugs anyway 48
take drugs before 210
take drugs called 68
take drugs orally 429
take drugs simply 88
take drugs unless 73
take drugs without 220
take eight grains 87
take eight horses 55
take eight million 59
take eight ounces 168
take eight pounds 92
take eight quarts 51
take eight slides 122
take eight tricks 147
take either before 99
take either branch 67
take either course 648
take either credit 51
take either direct 98
take either english 102
take either french 137
take either singular 615
take either tension 184
take equal credit 97
take equal rights 44
take equal shares 1795
take equal values 217
take evening clothes 50
take every animal 123
take every aspect 209
take every bottle 42
take every burden 67
take every caution 118
take every chance 2038
take every charge 44
take every corner 58
take every course 663
take every detail 182
take every disease 113
take every dollar 791
take every effort 331
take every excuse 50
take every factor 160
take every friday 141
take every honest 61
take every insect 54
take every insult 53
take every lawful 197
take every lesson 43
take every letter 70
take every little 731
take every measure 4571
take every member 97
take every minute 734
take every moment 290
take every nickel 67
take every object 78
take every person 421
take every proper 920
take every remark 44
