tact sometimes directing 56
tail decidedly shorter 49
tail gradually widened 44
tail recursive function 263
take abatement measures 44
take additional amounts 83
take additional calcium 48
take additional classes 261
take additional college 242
take additional comfort 41
take additional courses 1972
take additional factors 132
take additional insulin 47
take additional lessons 67
take additional measures 1861
take additional research 61
take additional samples 210
take additional science 60
take additional studies 73
take additional vitamin 133
take advantage against 1031
take advantage because 720
take advantage quickly 120
take advantage rapidly 69
take afternoon classes 42
take alcoholic liquors 64
take alternate courses 49
take alternate watches 47
take alternating current 125
take americans hostage 145
take analogous measures 57
take anecdotal records 71
take arbitrary measures 67
take austerity measures 181
take avoidance measures 61
take biological factors 47
take california highway 151
take captivity captive 267
take chemistry courses 43
take childbirth classes 189
take commercial courses 260
take commercial flights 168
take community college 225
take companies private 64
take composite samples 89
take concerted efforts 117
take concerted measures 496
take contagious diseases 51
take correction quietly 88
take criticism lightly 185
take deductions against 44
take defensive measures 5954
take desperate chances 998
take desperate measures 2053
take deterrent measures 87
take different amounts 2944
take different aspects 263
take different avenues 47
take different classes 151
take different courses 3835
take different degrees 117
take different factors 113
take different formats 115
take different measures 352
take different numbers 240
take different objects 86
take different pathways 212
take different samples 69
take different sections 58
take different stances 386
take difficult courses 100
take digestive enzymes 204
take discussion between 201
take divergent courses 106
take duplicate samples 126
take economics courses 99
take effective account 61
take effective command 160
take effective control 1373
take effective counter 904
take effective evasive 96
take effective measures 15933
take effective remedial 366
take effectual measures 4392
take efficient measures 788
take elaborate measures 242
take emergency measures 5458
take endangered species 218
take energetic measures 2922
take exceptions against 203
take excessive amounts 621
take excessive current 62
take excessive delight 52
take excessive measures 99
take excessive pleasure 66
take excessive profits 79
take exclusive control 398
take executive control 144
take executive measures 150
take exemplary vengeance 274
take exogenous insulin 53
take expedient measures 54
take expensive jewelry 47
take expensive measures 124
take exquisite delight 74
take exquisite pleasure 102
take exquisite vengeance 46
take extensive measures 211
take extensive research 96
take foolhardy chances 58
take foundation courses 59
take gradually increasing 52
take honorable members 65
take identical measures 57
take important matters 53
take important measures 155
take inanimate objects 70
take increasingly radical 40
take indicator diagrams 195
take infectious diseases 78
take initiative against 58
take initiative because 81
take initiative towards 58
take inorganic matters 78
take insurance against 77
take intensive courses 121
take intensive language 52
take judicially noticed 114
take leisurely strolls 261
take liberties because 126
take literally everything 221
take literally millions 44
take medication against 87
take medication because 706
take medication exactly 649
take medicines because 40
take mitigation measures 288
take molecular physics 70
take necessary counter 54
take necessary decision 48
take necessary measures 23558
take necessary remedial 316
take noncredit courses 153
take objective account 45
take offensive against 96
take offensive measures 297
take ourselves lightly 101
