waged war successfully with 62
wages and productivity and 210
wages and productivity are 301
wages and productivity can 53
wages and productivity for 115
wages and productivity has 65
wages and productivity may 54
wages and productivity was 79
wages and unemployment and 175
wages and unemployment are 255
wages and unemployment for 91
wages and unemployment that 114
wages and unemployment was 85
wages are commensurate with 41
wages are exceptionally low 314
wages are insufficient for 88
wages are particularly low 99
wages are ridiculously low 45
wages are sufficiently low 87
wages for agricultural and 99
wages with productivity and 65
waiting for appointments and 94
waiting for appointments with 107
waiting for communication with 75
waiting for developments and 51
waiting for intelligence that 42
waits for appointments and 42
waive any requirements that 40
walks and conversations with 201
walls are interspersed with 53
walls are sufficiently thin 90
wants and requirements are 53
wants and satisfactions are 254
wants and wretchedness was 59
wants with cheerfulness and 48
wares and merchandises for 97
wares and merchandises may 51
warmth and cheerfulness and 45
warmth and companionship and 128
warmth and companionship that 100
warmth and consideration for 56
warmth and friendliness and 387
warmth and friendliness are 91
warmth and friendliness for 68
warmth and friendliness that 944
warmth and friendliness with 119
warmth and intelligence and 62
washing with hydrochloric and 40
waste and embezzlement had 54
waste and extravagance and 952
waste and extravagance are 144
waste and extravagance has 40
waste and extravagance that 341
waste and extravagance was 44
waste and inefficiency and 1504
waste and inefficiency are 769
waste and inefficiency but 128
waste and inefficiency can 191
waste and inefficiency due 102
waste and inefficiency has 99
waste and inefficiency may 121
waste and inefficiency ran 70
waste and inefficiency that 796
waste and inefficiency was 54
waste oil contaminated with 167
watch for complications and 40
watch out particularly for 183
water and acidification with 48
water and administered with 41
water and consequently are 143
water and consequently can 48
water and consequently had 43
water and consequently may 89
water and consequently was 75
water and crystallizes out 42
water and demonstrated that 44
water and disinfectant and 83
water and electrolytes and 1097
water and electrolytes are 1612
water and electrolytes but 134
water and electrolytes can 262
water and electrolytes due 55
water and electrolytes for 128
water and electrolytes has 54
water and electrolytes may 358
water and electrolytes out 89
water and electrolytes than 62
water and electrolytes that 529
water and electrolytes was 70
water and electrolytes with 127
water and hydrocarbons and 61
water and hydrocarbons are 85
water and precipitated with 543
water and precipitates out 92
water and precipitation with 351
water and refreshments for 54
water and subsequently with 128
water and supplemented with 102
water are contaminated with 100
water are precipitated per 44
water being contaminated with 77
water being insufficient for 46
water for agricultural and 825
water for agricultural use 723
water for fertilization and 56
water for transpiration and 69
water use efficiencies and 68
water use efficiencies are 61
water use efficiencies for 54
water was contaminated and 193
water was contaminated with 507
water was exceptionally low 91
water was insufficient for 246
water was sufficiently low 58
water was supplemented with 93
waved her handkerchief and 370
waved her handkerchief for 56
waved her handkerchief with 99
waved his handkerchief and 312
waved his handkerchief with 66
waves his handkerchief and 54
wealthy and aristocratic men 47
wealthy and aristocratic new 50
wealthy and conservative men 48
weather being oppressively hot 103
weather was consistently bad 66
weather was exceptionally bad 182
weather was exceptionally dry 65
