war lasted england would 40
war passed through every 131
war toward rebels imply 83
war without battle lines 57
war without further delay 101
war without worrying about 75
was absent eleven times 40
was abused without mercy 74
was active before world 48
was afraid another would 56
was afraid atkins would 194
was afraid michael would 41
was afraid nobody would 209
was afraid robert would 48
was afraid someone might 1589
was afraid someone would 2733
was afraid something awful 74
was afraid something might 1207
was afraid something would 1130
was afraid without knowing 51
was almost always about 832
was almost always above 200
was almost always added 69
was almost always after 51
was almost always alone 1383
was almost always asked 67
was almost always based 224
was almost always below 367
was almost always black 48
was almost always bound 143
was almost always broke 76
was almost always built 92
was almost always cited 52
was almost always close 105
was almost always drawn 75
was almost always drunk 374
was almost always easier 105
was almost always either 552
was almost always empty 446
was almost always equal 48
was almost always fatal 1006
was almost always first 248
was almost always found 1066
was almost always given 518
was almost always happy 212
was almost always hungry 170
was almost always known 100
was almost always lacking 75
was almost always lower 152
was almost always missing 52
was almost always named 50
was almost always noted 47
was almost always playing 72
was almost always quiet 78
was almost always quite 78
was almost always right 2024
was almost always short 184
was almost always shown 92
was almost always sitting 52
was almost always small 56
was almost always smiling 239
was almost always sound 86
was almost always spent 51
was almost always still 51
was almost always taken 350
was almost always talking 43
was almost always thinking 54
was almost always tired 122
was almost always under 722
was almost always white 88
was almost always willing 130
was almost always within 223
was almost always women 85
was almost always working 146
was almost asleep again 347
was almost better known 156
was almost beyond doubt 81
was almost beyond feeling 127
was almost beyond human 427
was almost beyond price 71
was almost beyond reason 46
was almost beyond words 109
was almost buried alive 175
was almost buried beneath 398
was almost buried under 491
was almost burned alive 65
was almost casual about 42
was almost driven crazy 63
was almost eerily quiet 114
was almost eleven months 46
was almost eleven thirty 107
was almost evenly split 1079
was almost frozen stiff 85
was almost hidden beneath 332
was almost hidden under 734
was almost killed today 59
was almost killed while 54
was almost myself again 66
was almost normal again 481
was almost purely greek 46
was almost purely indian 40
was almost purely local 58
was almost reached again 49
was almost silent about 69
was almost snowed under 65
was almost standing still 121
was almost struck blind 126
