wafers spread with oil 549
wafted hither and yon 42
wagons could not get 196
wagons laden with all 60
wagons laden with hay 65
wagons where they had 80
wagons which are being 44
wagons which are not 61
wagons which had not 54
wagons which they had 159
wailed night and day 71
waited about all day 55
waited again and then 183
waited again for her 71
waited again for him 68
waited alone for her 94
waited alone for him 42
waited every day for 556
waited hours for her 81
waited hours for him 83
waited hours for his 49
waited longer for him 44
waited longer than any 144
waited longer than she 408
waited longer than that 183
waited longer than they 168
waited longer than thou 220
waited longer than was 142
waited longer than you 132
waited months for his 45
waited months for this 192
waited nearly all day 75
waited night and day 109
waited rather too long 105
waited until all but 51
waited until all had 437
waited until all her 61
waited until all his 174
waited until all sat 42
waited until all was 747
waited until both men 115
waited until her car 73
waited until her head 79
waited until her own 81
waited until her son 263
waited until his car 114
waited until his death 201
waited until his fit 45
waited until his head 174
waited until his men 144
waited until his own 129
waited until his son 454
waited until his two 93
waited until max had 41
waited until mom was 42
waited until new year 53
waited until now for 125
waited until old age 43
waited until one day 155
waited until one was 50
waited until sam had 62
waited until sam was 59
waited until she and 495
waited until she did 154
waited until she got 1185
waited until she had 9517
waited until she hung 65
waited until she let 53
waited until she met 164
waited until she put 140
waited until she ran 58
waited until she sat 442
waited until she saw 1171
waited until she set 62
waited until she was 14213
waited until that day 129
waited until that was 43
waited until then for 43
waited until they all 298
waited until they are 75
waited until they both 129
waited until they did 62
waited until they each 55
waited until they got 1121
waited until they had 8234
waited until they put 55
waited until they sat 48
waited until they saw 573
waited until things had 71
waited until this day 129
waited until this was 165
waited until this year 63
waited until tom had 50
waited until two men 43
waited until you and 47
waited until you are 63
waited until you did 47
waited until you got 454
waited until you had 479
waited until you saw 73
waited weeks for his 40
waited weeks for this 71
waited where she was 210
waited where they had 57
waited while his man 43
waited while she and 55
waited while she did 117
waited while she dug 41
waited while she got 286
waited while she had 79
waited while she lit 54
waited while she put 203
waited while she ran 85
waited while she read 173
waited while she sat 71
waited while she was 134
waited while they all 43
waited while they did 68
waited while they got 52
waited while this was 52
waiter asked for our 57
waiter bowed his head 54
waiter comes and goes 48
waiter comes out with 43
waiter could not say 42
waiter shook his head 786
waiter stuck his head 43
waiter tells him that 91
waiter under his arm 53
waiter would bring him 69
waiver stating that they 51
waiver stating that you 62
walked about all day 662
walked about and ate 56
walked about and did 49
walked about and had 64
walked about and sat 125
walked about and saw 226
walked about and then 81
walked about and was 49
walked about for two 280
walked about his own 53
walked about one and 66
walked about she had 46
walked about them with 78
walked about two and 75
walked about with her 575
walked about with him 807
walked about with his 1253
walked about with long 126
walked about with one 47
walked about with that 75
walked about with them 305
walked about with two 41
walked after her and 82
walked after him and 188
walked after him with 42
walked after his death 78
walked after them and 40
walked after things that 244
walked again with him 63
walked alone and was 44
walked alone with god 78
walked alone with her 87
walked alone with him 159
walked alone with his 117
walked apart and sat 59
walked aside with him 59
walked close with god 87
walked erect and had 113
walked erect and was 52
walked erect and with 110
walked erect with his 52
walked every day and 98
walked every day for 145
walked every day with 109
walked first one way 45
walked hither and yon 44
walked miles each day 147
walked miles that day 59
walked miles with him 42
walked nearly all day 175
walked night and day 197
walked rather near and 140
walked rather than ran 81
walked right out and 184
walked right out with 113
walked round and got 116
walked round and saw 140
walked round and then 52
walked round her and 80
walked round her with 53
walked round him and 212
walked round him with 48
walked round them and 71
walked round them with 42
walked round with her 50
walked round with him 96
walked round with his 51
walked under his arm 44
walked under his own 194
walked until she had 53
walked until she saw 53
walked until she was 336
walked until they got 55
walked until they met 43
walked until they saw 51
walled about with earth 74
walled cells that are 373
walled court with two 48
walled house with its 54
walled round with all 103
walled towns for his 65
walled towns they had 62
wallet after his death 52
wallet under his arm 193
walnut shading them with 53
walnut stick and beat 41
walnut table that had 47
walnut table that was 43
walnut table with its 42
walnut trees and dun 43
walnut trees are all 113
walnut trees that had 56
walrus hides and she 42
wander about all day 353
wander about all our 85
wander about and are 99
