wan eyes glitter for 41
war also brought new 108
war also brought out 61
war also brought with 101
war also ensured that 43
war also revealed that 99
war been delayed for 57
war bond rallies and 85
war diary records that 236
war drew towards its 202
war from britain and 88
war from germany and 108
war gave occasion for 69
war great britain and 567
war great britain had 1089
war great britain has 363
war great britain was 553
war grew crimson with 52
war have pointed out 43
war into cambodia and 270
war into cambodia but 108
war into germany and 91
war into harmony with 55
war just because they 65
war just beginning was 41
war left britain with 54
war made against them 86
war made against this 52
war more acutely than 45
war more closely than 55
war more general than 83
war more lightly than 79
war more quickly and 112
war more quickly than 249
war more rapidly than 70
war more strongly than 59
war more vividly than 87
war much lighter than 44
war much stronger than 66
war must support war 230
war only because she 44
war only because they 463
war over germany and 73
war over kashmir and 77
war over slavery and 143
war over slavery was 70
war over southeast asia 129
war their country had 61
war their numbers had 52
war torn country and 40
war turn against him 45
war upon britain and 77
war upon bulgaria and 81
war upon everything that 125
war upon germany and 409
war upon germany for 45
war upon germany was 88
war upon himself and 44
war upon infancy and 72
war upon jupiter and 55
war upon pirates may 56
war upon religion and 48
war upon slavery and 50
war upon society and 80
war very largely for 46
war went against him 135
war went against them 336
war went forward with 48
war were adopted and 40
war were advancing with 75
war were against him 141
war were against them 76
war were carried out 553
war were charged with 67
war were complex and 105
war were covered with 49
war were granted them 63
war were greeted with 41
war were halters for 48
war were kindled with 65
war were largely due 78
war were notable for 40
war were rebuilt and 59
war were released and 111
war were shipped off 40
war were stronger than 45
war west germany and 130
war west germany was 65
war when america was 47
war when belgium was 52
war when britain was 236
war when everything was 128
war when germany was 133
war when victory was 71
war will destroy all 66
war will finally end 47
war will provoke not 45
war work brought him 89
war years because they 125
war years britain was 44
war years brought him 46
war years brought new 154
war years brought with 122
war years coupled with 49
war years ensured that 43
war years together with 50
was able quickly and 71
was ably carried out 283
was ably planned and 88
was ably pointed out 220
was ably written and 65
was acting against all 46
was acting against god 45
was acting against her 222
was acting against him 220
was acting against his 585
was acting against its 119
was acting against them 71
was acting jointly with 70
was acting manager for 46
was acting nervous and 40
was acting outside his 201
was acting outside its 141
was acting rightly and 53
was acting stranger than 59
was acting together with 46
was acting totally out 42
was acting towards her 42
was acting towards him 84
was aged fifteen and 56
was aged sixteen and 56
was aged thirteen and 44
was also accused and 110
was also accused for 60
was also adamant that 1602
was also adapted and 70
was also adapted for 1079
was also adduced that 109
was also admired and 107
was also admired for 651
was also admitting that 155
was also adopted and 564
was also adopted for 1780
was also adopted that 409
was also adopted with 228
was also adorned with 1628
was also advancing with 55
was also advised for 42
was also advised not 227
was also advised that 3334
was also affecting her 63
was also affecting his 72
was also against all 189
was also against any 264
