we adapt various and 79
we admit freely that 197
we admit readily that 48
we adopt should not 43
we adopt toward our 45
we adopt toward them 53
we adore christ and 156
we again assert our 220
we again assert that 198
we again assume that 4350
we again behold her 276
we again changed our 187
we again direct our 50
we again dumped our 51
we again embark and 52
we again enfold her 239
we again extend our 53
we again follow our 69
we again halted and 77
we again halted for 100
we again hauled our 53
we again insist that 44
we again joined our 47
we again landed and 75
we again looked for 116
we again notice that 209
we again opened our 41
we again placed him 70
we again pulled out 161
we again pushed off 89
we again raised our 56
we again reached ash 46
we again reached our 123
we again realize that 146
we again recall that 158
we again remark that 41
we again remind you 84
we again resume our 71
we again sailed for 129
we again shoved off 123
we again stayed with 44
we again steamed out 45
we again stress that 300
we again strike them 52
we again struck our 96
we again taught how 46
we again turned off 41
we again turned our 341
we again waited for 84
we again walked out 187
we again wended our 42
we agree further that 116
we agree neither with 43
we allow something for 106
we anything better than 45
we appear before god 523
we appear before him 402
we appear before our 118
we appear before thee 254
we appear before them 68
we appear before you 286
we argue further that 203
we argue instead that 161
we argue simply that 40
we argue without any 51
we arose higher and 133
we asked around and 86
we asked around for 53
we asked whether any 117
we asked whether our 117
we asked whether she 139
we asked whether they 677
we asked whether this 199
we asked whether you 48
we avoid assuming that 103
we avoid imposing our 49
we avoid nuclear war 40
we began another day 99
we began building our 179
we began laughing and 57
we began planning for 269
we began planning our 198
we began planning this 64
we began searching for 544
we began spending our 48
we began training for 47
we began without him 44
we begin altering that 41
we begin another year 137
we begin building our 47
we begin gathering our 46
we begin instead with 123
we begin planning for 44
we begin searching for 181
we begin something new 63
we blame another for 83
we blame greatly that 68
we blame someone for 137
we brave enough and 148
we breathe deeply and 110
we breathe faster and 81
we breathe freely and 56
we breathe through our 146
we broke ground and 72
we broke ground for 199
we broke through all 47
we broke through and 194
we broke through our 69
we broke through that 174
we broke through them 81
we broke through this 47
we build altars and 167
we build another one 95
we build around our 101
we build around them 65
we build better than 40
we build bigger and 56
we build cities and 41
we build houses and 388
we build houses for 164
we build larger and 40
we build models that 43
we build something that 49
we built houses and 58
we built houses for 62
we cared enough for 72
we cared little for 507
we carry around all 59
we carry around and 77
we carry around our 70
we carry around with 1712
we carry inside our 117
we carry through our 178
we carry through this 75
we carry through with 87
we catch traces this 40
we change course and 79
we change places and 83
we change places for 49
we change places with 139
we check whether all 65
we check whether any 63
we check whether each 49
we check whether our 87
we check whether they 95
we check whether this 98
we chose another way 45
we claim credit for 97
we claim herein for 51
we climb aboard and 59
we climb higher and 284
we close debate and 63
we could absorb them 75
we could accept all 72
we could accept and 153
we could accept any 155
we could accept each 44
we could accept for 47
we could accept her 59
we could accept him 64
