wage rates brought about 134
waging since society began 59
wait thirty minutes after 46
wait until several weeks 101
wait until thursday morning 60
wait until thursday night 72
wait until trouble comes 56
wait until tuesday morning 77
walk about fifteen miles 56
walk within several yards 43
wall space against which 132
wall which extends above 101
wall which tragedy draws 49
want anything written about 52
want people gossiping about 59
warm human sympathy which 40
warm japan current which 57
warm water current which 45
warm water several times 939
warm weather brought trials 45
warm while preparing sauce 67
wars which brought about 153
wash hands between tasks 49
wave lengths between about 143
wave whose restoring force 142
ways since ancient times 43
wearing black stretch pants 77
week after classes began 42
week period between april 102
well above applied rates 66
well above average costs 41
well above average earnings 41
well above average growth 58
well above average rates 75
well above national norms 164
well after several months 48
well after several weeks 47
well armed searched every 112
well avoid familiar faces 85
well below average costs 97
well below average earnings 46
well below national norms 190
well below poverty level 62
well known congress leader 60
well known equation where 103
well known formula where 106
well known formula which 50
well known machine learning 49
well known nursery rhyme 117
well known outside china 235
well known outside italy 115
well known outside japan 159
well known outside latin 78
well known outside russia 117
well known outside spain 55
well known problem which 48
well known relation where 45
well known results about 103
well known species which 52
well might critics still 119
well mixed surface layer 83
well repay careful study 670
well though lightly armed 46
well under control again 57
well under control since 44
well under control until 155
well under control while 43
well until shortly after 54
well within himself springing 49
went about employing every 40
went about fifteen miles 260
went about sixteen miles 43
went again several times 56
went blind shortly after 48
went broke several times 59
went fifty thousand bucks 45
went quite smoothly until 56
went rather timidly about 54
went round several times 97
went thither several times 75
went under assumed names 73
went under several names 82
went under several times 75
went whole streets about 118
were about equally mingled 97
were about equally mixed 85
were about equally often 51
were about equally split 188
were about equally strong 148
were about fifteen girls 67
were about fifteen large 70
were about fifteen miles 791
were about fifteen months 67
were about fifteen people 637
were about fifteen times 65
were about fifteen women 90
were about fifteen yards 220
were about seventy miles 269
were about seventy people 205
were about seventy women 68
were about seventy yards 103
were about sixteen miles 132
were about sixteen people 57
were about thirteen miles 43
were added several large 46
were added several others 166
were added shortly after 208
were again brought under 830
were again measured after 63
were again reduced under 47
were again worried about 47
were alike brought under 53
were alike trodden under 63
were alone together about 73
were alone together after 262
were alone together again 293
were alone together later 70
were alone together loafing 48
were alone together under 50
were alone visible above 46
were arguing heatedly about 92
were asked several times 206
were badly damaged after 43
were badly knocked about 805
were banged against sharp 55
were begun shortly after 295
were below average costs 43
were below average total 245
were below national norms 86
were below poverty level 170
were biased against black 58
were biased against women 170
were black circles under 180
were black shadows under 87
were books written about 67
were bound tightly round 105
were bound together under 366
were bound together within 85
were built between about 154
were built exactly alike 91
were built several miles 50
were built shortly after 398
were causing trouble again 43
were chief justice chase 74
were chief justice taney 75
were cited several times 82
were close friends after 63
were close friends again 48
were close friends since 59
were close friends until 334
were close together again 100
were close together under 71
were daily increasing rather 52
were dimly visible above 174
were drawing steadily nearer 61
were drawing together again 56
were drawing together under 50
were drawn closely round 54
were drawn several times 68
were drawn tightly round 95
were drawn together about 54
were drawn together again 199
were drawn together under 245
were drawn together until 46
were drawn together within 49
were dutch vessels under 43
were easily brought under 154
were easily brushed aside 354
were easily visible under 44
were eight curtain calls 40
were eight hundred miles 211
were eight hundred people 189
were eight hundred strong 82
were eight hundred yards 73
were eight several kinds 44
were eight thousand miles 121
were eight thousand people 165
were eight totemic clans 53
were either brought under 93
were either brushed aside 44
were either married women 40
were either natural caves 47
were either totally lacking 74
were either totally negro 85
were either trodden under 40
were either wandering about 46
were ellen herself getting 69
were faint circles under 41
were faint shadows beneath 50
were faint shadows under 107
were fifty thousand people 203
were fifty thousand strong 71
were filed shortly after 44
were fired several times 106
were fired shortly after 91
were first brought about 72
were first brought hither 75
were first brought under 994
were first brought within 126
were first cousins rather 66
were first noticed about 169
were first noticed after 70
were first planted about 89
were first printed after 45
were first printed under 49
were first settled about 68
were first settled under 43
were first studied under 54
were first written about 212
were fixed exchange rates 83
were fixed several times 60
were flown against enemy 47
were forty thousand people 271
were forty thousand strong 158
were found between adult 56
were found between black 103
were found between cases 86
were found between cells 48
were found between child 56
were found between either 322
were found between ethnic 63
were found between father 44
were found between first 88
were found between girls 107
were found between group 193
were found between large 42
were found between level 76
were found between males 548
were found between older 70
were found between pairs 55
were found between people 41
were found between ratings 85
were found between rural 58
were found between serum 154
were found between sexes 121
were found between sites 56
were found between social 191
were found between total 364
were found between types 62
were found between urban 103
were found between users 51
were found between white 81
were found between women 199
were found drowned after 52
were found exactly where 111
were found letters which 99
were found loitering about 45
were found several human 142
were found several large 93
were found several miles 93
were found several roman 114
were found several small 208
were found several stone 86
were found several times 133
were found shortly after 184
