wagged a finger and 318
waited a full day 375
waited a full six 41
waited a full ten 333
waited a full two 242
waited a full year 1064
waited a good bit 44
waited a good deal 55
waited a good long 208
waited a good ten 180
waited a good two 61
waited a great deal 53
waited a month and 309
waited a month for 634
waited a poor man 44
waited a time and 49
waited a time for 62
waited a time that 142
waited a very few 63
waited a very long 1438
waited a week and 536
waited a week for 1013
waived a hearing and 105
waived a jury and 199
walked a free man 46
walked a girl with 54
walked a good bit 128
walked a good deal 1469
walked a good long 51
walked a good ten 60
walked a good two 127
walked a good way 528
walked a great deal 2466
walked a great way 325
walked a mile and 1798
walked a mile each 84
walked a mile for 156
walked a mile out 413
walked a mile with 651
walked a step and 51
walked a step for 118
walked a tall and 58
walked a tall man 210
walked a very long 373
walked a very thin 107
walked a ways and 109
walked a ways with 68
walked a weary way 90
walked a wide path 42
walked a young boy 41
walked a young man 549
walked i told her 51
walked i told him 53
walnut i ever saw 148
walrus a blow with 83
wander a good deal 221
wander a good way 51
wander a great deal 233
wanted a baby all 112
wanted a baby and 934
wanted a baby boy 162
wanted a baby but 280
wanted a baby for 482
wanted a baby that 116
wanted a baby too 58
wanted a baby with 140
wanted a back rub 165
wanted a band that 148
wanted a base for 75
wanted a beer and 245
wanted a beer but 70
wanted a bike and 42
wanted a bike for 53
wanted a bill that 429
wanted a blow job 165
wanted a blue one 97
wanted a boat and 74
wanted a boat for 68
wanted a boat that 296
wanted a body that 257
wanted a body with 40
wanted a bold and 74
wanted a book and 107
wanted a book for 150
wanted a book she 52
wanted a book that 2098
wanted a book with 92
wanted a break and 81
wanted a break for 57
wanted a break with 261
wanted a case that 93
wanted a chat with 200
wanted a cheap and 93
wanted a city that 158
wanted a clean and 75
wanted a clear and 229
wanted a clear head 390
wanted a clear path 114
wanted a coke and 60
wanted a cook and 47
wanted a copy and 55
wanted a copy for 200
wanted a cure for 197
wanted a date and 46
wanted a date for 97
wanted a date with 385
wanted a desk job 41
wanted a doll and 44
wanted a doll for 69
wanted a doll that 96
wanted a doll with 49
wanted a face that 155
wanted a fair and 140
wanted a fair deal 126
wanted a faith that 147
wanted a farm and 49
wanted a fast and 46
wanted a film that 328
wanted a fine day 87
