war demand men continually 49
war effort and appropriates 49
war effort and contributed 86
war effort was accompanied 42
war effort was intensified 43
war effort was significant 51
war exists and hostilities 101
war fought with conventional 246
war itself was responsible 56
war planning and development 184
war powers are ambiguously 104
war turned out differently 49
war without any consultation 73
was ablaze with candlelight 103
was ablaze with insurrection 50
was abrupt and precipitous 46
was absent and inattentive 49
was absurd and unnecessary 47
was absurd and unreasonable 52
was accord and satisfaction 129
was active and conspicuous 84
was active and independent 113
was active and intelligent 271
was active and progressive 65
was afraid and embarrassed 186
was afraid her washerwoman 54
was agreed and implemented 49
was agreed that arrangements 113
was agreed that chamberlain 49
was agreed that compensation 64
was agreed that development 46
was agreed that governments 60
was agreed that hostilities 343
was agreed that philadelphia 41
was agreed that preliminary 43
was agreed that preparations 45
was agreed that ratification 62
was alight with anticipation 82
was almost all prerogative 231
was almost too comfortable 75
was almost too complicated 50
was almost too embarrassed 235
was almost too magnificent 50
was almost too overwhelmed 43
was already being anticipated 61
was already being articulated 79
was already being constructed 147
was already being distributed 114
was already being established 643
was already being experienced 123
was already being extensively 80
was already being implemented 541
was already being interpreted 66
was already being interviewed 60
was already being overwhelmed 48
was already being recommended 44
was already being represented 54
was already being transferred 95
was already being transformed 413
was already being transmitted 42
was already being transported 48
was already long established 451
was already too complicated 310
was already too independent 48
was always and exclusively 108
was always and necessarily 298
was always being interrupted 395
was always being interviewed 57
was always being mercilessly 50
was always being reprimanded 48
was always being transferred 40
was always our understanding 43
was always that possibility 463
was always this possibility 51
was always this significant 48
was always too embarrassed 143
was always too independent 81
was amazed and disheartened 100
was amazed and dumbfounded 145
was amazed and embarrassed 227
was amazed and incredulous 63
was amazed and overwhelmed 208
was amazed and scandalized 48
was amiable and affectionate 228
was amiable and conciliatory 68
was amiable and gentlemanly 72
was amiable and intelligent 121
was amiable and respectable 99
was amused and entertained 83
was amused and incredulous 56
was angelic and sentimental 95
was angered and embarrassed 180
was another and independent 46
was another new development 132
was anxious that instructions 70
was argued that agriculture 50
was argued that development 155
was argued that differences 68
was argued that governments 79
was argued that individuals 151
was argued that professional 49
was argued that understanding 44
was awaiting her confinement 52
was awaiting her impatiently 47
was awaiting him impatiently 64
was awaiting his instructions 40
was awaiting his opportunity 181
was awaiting them impatiently 63
was balked and interrupted 50
was banned and confiscated 74
was barren and mountainous 104
was barren and uninhabited 143
was barren and uninteresting 80
was becoming her predominant 58
was becoming too comfortable 102
was becoming too complicated 622
was becoming too conspicuous 40
was becoming too independent 214
was before any constitution 40
was before dung accumulated 43
was before his appointment 133
was before his condemnation 41
was before she transformed 56
was before they encountered 72
was behind this development 44
was better for individuals 49
was better than anticipated 408
was better than christianity 62
