war political settlement in 47
was abandoned completely by 52
was abandoned completely in 101
was abolished completely by 75
was abolished completely in 99
was abolished everywhere in 42
was absorbingly interested in 128
was acclaimed everywhere as 215
was accordingly accustomed to 48
was accordingly acquainted by 47
was accordingly attributed to 113
was accordingly celebrated by 65
was accordingly celebrated in 80
was accordingly celebrated on 44
was accordingly classified as 44
was accordingly considered as 913
was accordingly considered by 106
was accordingly considered to 99
was accordingly designated as 131
was accordingly designated by 141
was accordingly determined by 113
was accordingly determined in 93
was accordingly determined on 400
was accordingly determined to 1260
was accordingly discharged in 51
was accordingly discharged on 73
was accordingly dispatched by 75
was accordingly dispatched in 97
was accordingly dispatched on 89
was accordingly dispatched to 898
was accordingly encouraged in 59
was accordingly encouraged to 107
was accordingly impossible to 91
was accordingly imprisoned in 71
was accordingly instituted by 48
was accordingly instituted in 109
was accordingly instructed by 134
was accordingly instructed in 64
was accordingly instructed to 2080
was accordingly interested in 55
was accordingly introduced as 46
was accordingly introduced at 66
was accordingly introduced by 380
was accordingly introduced in 351
was accordingly introduced on 78
was accordingly introduced to 561
was accordingly maintained by 134
was accordingly proclaimed at 64
was accordingly proclaimed by 43
was accordingly proclaimed in 102
was accordingly proclaimed king 249
was accordingly proclaimed on 60
was accordingly recognized as 126
was accordingly registered as 46
was accordingly reinstated in 99
was accordingly restricted to 112
was accordingly strengthened by 50
was accordingly subscribed by 43
was accordingly superseded by 73
was accordingly suppressed by 54
was accordingly surrounded by 64
was accordingly translated to 106
was accordingly undertaken at 46
was accordingly undertaken by 204
was accordingly undertaken in 73
was accordingly undertaken to 47
was accounted equivalent to 44
was accounted meritorious to 58
was accounted sufficient to 160
was adamantly determined to 64
was addressed explicitly in 47
was addressed explicitly to 73
was addressed immediately to 93
was addressed originally to 107
was addressed personally to 277
was admirably calculated to 2696
was admirably expressive of 40
was admirably maintained by 48
was admirably successful in 74
was admirably summarized by 196
was admirably translated by 63
was adversely criticized at 44
was adversely criticized by 270
was adversely criticized in 103
was adversely influenced by 302
was afterward accustomed to 66
was afterward archbishop of 41
was afterward attributed to 47
was afterward celebrated in 43
was afterward designated as 49
was afterward designated by 43
was afterward disallowed by 41
was afterward discovered by 81
was afterward discovered in 80
was afterward discovered to 322
was afterward identified as 47
was afterward introduced in 40
was afterward introduced to 81
was afterward maintained by 71
was afterward recognized as 133
was afterward recognized by 136
was afterward reconciled to 100
was afterward reenforced by 41
was afterward reinforced by 62
was afterward remembered as 104
was afterward strengthened by 88
was afterward superseded by 73
was afterward translated by 46
was afterward translated to 111
was allegedly approached by 40
was allegedly controlled by 66
was allegedly discovered by 56
was allegedly discovered in 96
was allegedly implicated in 110
was allegedly influenced by 74
was allegedly interested in 41
was allegedly introduced to 44
was altogether acceptable to 99
was altogether appropriate to 85
was altogether astonished at 83
was altogether behindhand in 40
was altogether calculated to 80
was altogether captivated by 124
was altogether chimerical to 78
was altogether creditable to 64
was altogether delightful to 100
was altogether exceptional in 154
was altogether frustrated in 58
was altogether impossible he 60
was altogether impossible in 46
was altogether impossible to 1076
was altogether inadequate in 49
was altogether inadequate to 1127
was altogether inexorable as 52
was altogether insensible to 154
was altogether irrelevant to 74
was altogether overlooked by 50
was altogether overlooked in 42
was altogether preferable to 60
was altogether prohibited by 54
was altogether prohibited in 51
was altogether prohibited to 45
was altogether regardless of 111
was altogether subversive of 86
was altogether successful in 157
was altogether sufficient to 47
was altogether suppressed by 48
was altogether surrounded by 52
was altogether unaffected by 101
was altogether unconscious of 563
was altogether unexpected by 210
was altogether unexpected to 127
was altogether unprepared to 109
was altogether unsuitable to 111
was anciently attributed to 47
was anciently considered as 510
was anciently considered to 52
was anciently cultivated in 45
was anciently sacrificed to 65
was anciently surrounded by 113
was announced beforehand by 104
was announced beforehand in 62
was appointed accountant in 45
was appointed accountant to 107
was appointed ambassador at 1208
was appointed ambassador by 86
was appointed ambassador in 962
was appointed ambassador of 455
was appointed ambassador on 49
was appointed ambassador to 13840
was appointed arbitrator by 54
was appointed arbitrator in 96
was appointed arbitrator to 55
was appointed archbishop by 136
was appointed archbishop in 218
was appointed archbishop of 6510
was appointed astronomer at 57
was appointed astronomer in 57
was appointed astronomer to 154
was appointed bandmaster of 89
was appointed bookseller to 41
was appointed chairwoman of 85
was appointed chancellor at 70
was appointed chancellor by 411
was appointed chancellor in 1011
was appointed chancellor of 6896
was appointed chancellor on 367
was appointed chancellor to 235
was appointed chronicler of 48
was appointed commandant at 332
was appointed commandant in 246
was appointed commandant of 3903
was appointed commissary in 54
was appointed commissary of 834
was appointed commissary to 193
was appointed consultant in 383
was appointed consultant on 55
was appointed consultant to 434
was appointed controller of 862
was appointed immediately to 171
was appointed inquisitor of 167
was appointed instructor at 549
was appointed instructor in 4183
was appointed instructor of 1110
was appointed instructor to 86
was appointed lieutenant in 1234
was appointed lieutenant of 2399
was appointed lieutenant on 96
was appointed lieutenant to 193
was appointed liquidator of 83
was appointed magistrate at 123
was appointed magistrate in 171
was appointed magistrate of 689
was appointed midshipman in 565
was appointed midshipman on 132
was appointed naturalist on 79
was appointed naturalist to 175
was appointed originally by 40
was appointed ostensibly to 40
was appointed pathologist at 45
was appointed pathologist to 90
was appointed personally by 95
was appointed postmaster at 2817
was appointed postmaster by 600
was appointed postmaster in 978
was appointed postmaster of 4656
was appointed postmaster on 229
was appointed postmaster to 65
was appointed prebendary of 414
was appointed procurator in 62
was appointed procurator of 685
was appointed prosecutor of 183
was appointed rapporteur of 44
was appointed representing the 47
was appointed supervisor in 62
was appointed supervisor of 1930
was appointed translator of 44
was appointed translator to 124
was appointed watchmaker to 46
was assistant astronomer at 44
was assistant commandant of 118
was assistant instructor in 238
was assistant instructor of 204
was assistant postmaster at 87
was assistant postmaster of 58
was assistant supervisor of 116
was assuredly influenced by 46
was attracted immediately by 73
was attracted immediately to 98
was available everywhere in 56
was available regardless of 111
was basically acceptable to 50
was basically attributed to 51
