wad tarry a bit 76
war about a few 72
war about a year 57
war added a new 184
war after a few 85
war after a long 504
war began a few 74
war began a long 41
war began a new 74
war began a year 78
war began i had 175
war began i was 325
war ended a few 330
war ended a long 78
war ended a new 57
war ended a year 177
war ended i had 185
war ended i was 349
war found a new 56
war lasting a few 108
war lasts a long 119
war lasts a year 94
war makes a man 62
war nearly a year 204
war opens a new 55
war period a few 105
war period a new 211
war quite a few 83
war seems a long 60
war since i was 102
war under a new 121
war until a few 110
war until a new 53
war until a year 54
war until i saw 49
war until i was 57
war where i was 48
war which a few 66
war which i can 199
war which i did 53
war which i had 330
war which i see 132
war which i was 123
war while i was 369
war within a few 946
war within a war 3203
war within a year 1213
was about a bad 122
was about a bear 72
was about a big 200
was about a boy 1449
was about a car 120
was about a cat 173
was about a cop 47
was about a cow 45
was about a cup 63
was about a day 2234
was about a dead 81
was about a dog 369
was about a fat 48
was about a few 337
was about a fox 48
was about a gang 80
was about a gay 41
was about a gun 138
was about a guy 572
was about a head 340
was about a jew 69
was about a job 180
was about a kid 156
was about a lion 221
was about a long 124
was about a lot 415
was about a mad 49
was about a man 9237
was about a mean 50
was about a new 1286
was about a nun 64
was about a one 694
was about a pig 48
was about a poet 50
was about a real 230
was about a red 43
was about a rod 102
was about a set 47
was about a six 906
was about a son 82
was about a team 102
was about a ten 1672
was about a ton 561
was about a two 2492
was about a war 121
was about a way 85
was about a year 37601
was about i can 107
was about i did 99
was about i had 150
was about i was 188
was above a day 52
was above a year 740
was acted a few 133
was added a bag 109
was added a far 42
was added a fear 143
was added a few 1319
was added a law 54
was added a long 315
was added a new 2800
was added a real 67
was added a set 133
was added a sum 199
was added a tax 55
was added a two 116
was added a war 69
was added a year 389
was added a yet 91
was after a bad 55
was after a big 231
was after a day 1260
was after a few 1587
was after a gang 63
was after a gap 56
was after a guy 41
was after a hot 156
was after a job 142
was after a long 2943
was after a lot 188
was after a man 273
was after a new 176
was after a run 124
was after a two 192
was after a war 64
was after a way 52
was after a year 877
was after i did 69
was after i got 669
was after i had 6198
was after i met 154
was after i read 129
was after i saw 280
was after i was 959
was again a bad 146
was again a big 237
was again a bit 64
was again a boy 215
was again a cry 139
was again a day 179
was again a dead 171
was again a few 196
was again a going 42
was again a hit 96
was again a hot 83
was again a key 471
was again a long 637
was again a lot 48
was again a man 379
was again a net 115
was again a new 337
was again a non 88
was again a one 129
was again a real 261
was again a two 183
was again a war 285
was again a way 45
was again a weak 61
was again a year 639
was again i that 44
was alive a few 235
was alive a year 65
was alive i did 285
was alive i had 321
was alive i was 439
was alone a few 40
was alone a lot 749
was alone i did 140
was alone i had 114
was alone i sat 50
was alone i was 242
was anything i can 67
was anything i did 404
was anything i had 409
was anything i was 275
was arising a new 138
was asked a few 1447
was asked a long 83
was asked a lot 407
was asked a set 117
was asked a year 131
was awake a few 58
was awake a long 324
was awake a lot 75
was awake i had 51
was awake i was 140
was aware i did 57
was aware i had 740
was aware i this 64
was aware i was 1129
was based a new 42
was beaten a few 77
was beaten a head 124
was beaten a lot 87
was begun a few 849
was begun a long 258
was begun a new 142
was begun a war 49
was begun a year 964
was begun i had 77
was beneath a man 429
was betting a lot 42
was bidding a long 69
was blazing a new 273
was blazing a path 70
was blind i now 42
was blowing a big 49
was blowing a bit 140
was blowing a few 54
was blowing a lot 43
was boiling a pot 122
was bored a lot 60
was borne a long 51
was bossing a gang 46
was bound i was 74
was breaking a law 204
was breaking a long 75
was breaking a lot 43
was breaking a new 81
was breaking a path 41
was breaking a vow 44
was breathing a bit 186
was breathing a lot 51
was breathing a new 106
was brewing a cup 54
was brewing a pot 130
was build a new 46
was built a bit 106
was built a few 3350
was built a log 56
was built a long 503
was built a lot 118
was built a low 119
was built a new 450
was built a two 121
was built a year 588
was built i had 59
was built i was 83
was burning a few 59
was burning a heap 54
was burning a lot 88
was burnt a few 153
was busting a gut 117
was calling a cab 64
was calling a dog 100
was calling a man 114
was calling a new 62
was carving a leg 51
was carving a new 80
was carving a path 52
was casting a die 42
was casting a dim 48
was casting a fly 42
was casting a long 241
was casting a net 171
was casting a new 171
was casting a red 49
was cause i was 73
was causing a big 59
was causing a bit 81
was causing a few 51
was causing a lot 1064
was causing a new 73
was causing a real 52
was change a few 45
was changing a lot 94
was chasing a big 82
was chasing a boy 50
was chasing a car 41
was chasing a cat 164
was chasing a cow 88
was chasing a dead 87
was chasing a dog 93
was chasing a fly 139
was chasing a fox 51
was chasing a hen 63
was chasing a man 218
was chasing a moth 92
was chasing a not 327
was chasing a pig 43
was chasing a rat 56
was cheating a bit 40
was chewing a big 76
was chewing a bit 53
was chewing a long 76
was chewing a wad 128
was cited a few 72
was cleaning a gun 226
was clearing a bit 64
was clearing a new 71
was clearing a path 301
was clearing a way 91
was close i saw 123
was closing a deal 150
was closing a long 40
was cooking a big 120
was cooking a meal 390
was cooking a pig 108
was cooking a pot 173
was copying a bad 49
was costing a lot 593
was create a new 175
was creating a bad 92
was creating a bit 47
was creating a far 45
was creating a lot 362
was creating a myth 64
was creating a new 5733
was creating a real 121
was creating a set 67
was creating a war 58
was cupid a boy 60
was cutting a big 74
was cutting a bit 44
was cutting a deal 107
was cutting a few 65
was cutting a man 57
was cutting a new 183
was cutting a path 183
was cutting a way 40
was dabbing a wet 67
was dancing a jig 790
was dancing a pas 51
was dancing i was 44
was dated a day 280
was dated a few 334
was dated a year 393
was digging a big 66
was digging a new 169
was digging a pit 238
was drawing a bead 524
was drawing a big 120
was drawing a bit 115
was drawing a bow 124
was drawing a few 68
was drawing a gun 114
was drawing a lion 41
was drawing a long 238
was drawing a lot 267
was drawing a man 115
was drawing a map 312
was drawing a net 172
was drawing a new 117
was drawing a red 54
was drawn a car 56
was drawn a few 183
was drawn a long 119
was drawn a map 64
was drawn a new 54
was dreaming a lot 44
was dreaming i had 82
was dreaming i was 570
was drive a car 78
was driving a beat 194
was driving a big 474
was driving a bit 76
was driving a bmw 112
was driving a bus 364
was driving a cab 577
was driving a car 3493
was driving a cow 204
was driving a dog 60
