wagoners mutinous for want 61
waitress reappeared with their 49
waitress returned and took 53
waitress returned with their 951
wantonly provoked all india 70
waterway connecting two open 142
wavelength interval per unit 105
wayfarer strained his eyes 43
weighted averages are used 177
welcomed everyone who came 64
welcomed wherever she went 103
welcomed wherever they went 349
welcomes children and pets 48
wellness programs and other 40
wellness programs for their 90
westerly direction and hoping 77
westerly direction for some 165
westerly direction for three 108
westward expansion but also 44
westward expansion had been 289
westward expansion has been 85
westward migration had been 42
westward migration has been 44
westward migration may have 50
westward movement had been 166
westward movement has been 200
westward movement was also 47
whatever activity they were 108
whatever advances are made 93
whatever advances had been 66
whatever advances may have 53
whatever approach you take 84
whatever articles had been 101
whatever articles they have 45
whatever attempts are made 260
whatever attempts may have 283
whatever attempts they made 41
whatever attention may have 41
whatever attention this book 43
whatever authority has been 529
whatever authority his rank 66
whatever authority they have 100
whatever benefits may have 177
whatever benefits they have 56
whatever benefits they were 41
whatever business had been 40
whatever business has been 45
whatever business they have 63
whatever business they were 122
whatever business you have 242
whatever capacity they have 73
whatever capacity they were 114
whatever capacity you wish 40
whatever category they fall 46
whatever censures may fall 78
whatever channels are open 67
whatever children they will 269
whatever commands you want 40
whatever comments are made 47
whatever concerns any other 45
whatever concerns you have 49
whatever condition they were 107
whatever condition you find 55
whatever condition you were 82
whatever confusion may have 55
whatever contacts you have 41
whatever decisions are made 801
whatever decisions men make 91
whatever decisions she made 44
whatever decisions they made 60
whatever decisions they make 153
whatever decisions they think 51
whatever decisions you make 229
whatever deviations they made 51
whatever direction his mind 41
whatever direction she took 150
whatever direction they came 105
whatever direction they come 88
whatever direction they have 54
whatever direction they like 43
whatever direction they move 104
whatever direction they take 93
whatever direction they took 44
whatever direction they turn 111
whatever direction they want 109
whatever direction they went 60
whatever direction they were 239
whatever direction they wish 103
whatever direction you feel 42
whatever direction you like 155
whatever direction you look 319
whatever direction you take 82
whatever direction you think 47
whatever direction you turn 302
whatever direction you view 45
whatever direction you want 203
whatever direction you will 75
whatever direction you wish 135
whatever dominions they have 61
whatever education they have 53
whatever education you give 47
whatever evidence had been 46
whatever evidence has been 121
whatever evidence they have 111
whatever evidence you have 133
whatever expenses may have 51
whatever fragrant things there 164
whatever happened out there 132
whatever happened she must 176
whatever happened they must 127
whatever happened they were 106
whatever hindered was evil 85
whatever interest had been 41
whatever interest may have 117
whatever interest they have 145
whatever interest you think 84
whatever languages they speak 40
whatever leverage they have 61
whatever materials are used 126
whatever materials they have 118
whatever materials they need 49
whatever materials they were 48
whatever materials you have 198
whatever materials you need 81
whatever metaphor you want 43
