wafted gently from its 72
wagons carrying food and 44
wagons creaked their way 47
wagons loaded down with 315
wagons loaded high with 131
wagons passed over his 70
wagons wended their way 44
waited another hour and 230
waited another hour for 130
waited another month and 70
waited another week and 75
waited another week for 97
waited before filing his 53
waited before making his 40
waited eleven days for 61
waited eleven years for 125
waited little more than 44
waited through four rings 62
waited through three rings 78
waited twelve days for 70
waited twelve years for 284
waited twenty days for 74
waited twenty years and 57
waited twenty years for 1019
waited without hope for 44
waited without moving for 66
waiter cleared away our 42
waiter rushed over and 44
waiter rushed over with 61
waiter walked over and 53
walked across from his 94
walked across town and 99
walked always more and 131
walked another mile and 72
walked around among them 175
walked around back and 287
walked around from one 66
walked around here and 53
walked around like she 55
walked around like that 255
walked around like they 92
walked around like this 59
walked around there and 77
walked around there for 75
walked around town all 43
walked around town and 285
walked around town for 234
walked around town with 222
walked around what was 47
walked around when she 41
walked boldly into his 48
walked calmly past him 49
walked direct from his 54
walked faster when she 144
walked feebly from his 75
walked slowly along and 104
walked slowly along its 53
walked slowly along one 89
walked slowly along this 50
walked slowly along with 231
walked slowly among them 73
walked slowly away and 281
walked slowly away with 315
walked slowly back and 1147
walked slowly back out 149
walked slowly back with 107
walked slowly down and 73
walked slowly down her 42
walked slowly down his 40
walked slowly down one 143
walked slowly down this 83
walked slowly from end 48
walked slowly from her 93
walked slowly from his 140
walked slowly from one 287
walked slowly home and 90
walked slowly home with 99
walked slowly into her 310
walked slowly into his 277
walked slowly over and 374
walked slowly past each 46
walked slowly past her 203
walked slowly past him 220
walked slowly past his 65
walked slowly past our 43
walked slowly past them 246
walked through dark and 41
walked through fire and 169
walked through fire for 244
walked through into her 56
walked through into his 75
walked through life with 542
walked through more than 46
walked through rain and 82
walked through snow and 82
walked through their own 50
walked through town and 175
walked through town with 114
walked through what had 106
walked through what was 163
walked toward home with 74
walked toward their car 235
walked toward their own 52
walked toward what was 64
walked wearily into his 51
walked without till she 43
walled garden laid out 40
walled rubber tube with 90
walled rubber tubing and 96
walled rubber tubing with 171
walled silver tube for 44
wallet upside down and 40
wander around from one 81
wander around here and 98
wander around here for 53
wander around like that 138
wander around like this 101
wander around poor and 40
wander around town and 95
wander around town for 48
wander around town with 40
wander beyond their own 41
wander freely from one 106
wander freely over his 163
wander through life and 41
wander through life with 119
wander through their own 51
wander through time and 47
wander through wood and 71
wanted advice from his 72
wanted almost more than 51
wanted another baby and 81
wanted anyone else but 50
wanted anyone like this 89
wanted better bread than 260
wanted closer ties with 233
wanted closer union with 71
wanted hurrying into his 40
wanted little more than 1006
wanted neither beef nor 142
wanted neither food nor 552
wanted neither help nor 46
wanted neither means nor 139
wanted neither more nor 72
wanted neither peace nor 85
wanted neither pity nor 43
wanted neither whig nor 109
wanted relief from her 69
wanted relief from his 72
wanted revenge more than 116
wanted someone else for 51
wanted someone like him 67
wanted someone like that 105
wanted someone like you 119
wanted someone other than 181
wanted someone there who 56
wanted someone there with 43
wanted someone young and 93
wanted something done and 228
wanted something done for 243
wanted something done now 42
wanted something done that 55
wanted something done with 40
wanted something done you 46
wanted something else and 176
wanted something else for 151
wanted something else out 52
wanted something else than 66
wanted something else that 150
wanted something else too 43
wanted something from each 52
wanted something from god 49
wanted something from her 4202
wanted something from him 5795
wanted something from his 158
wanted something from one 61
wanted something from that 55
wanted something from them 460
wanted something from this 88
wanted something from you 578
wanted something good for 49
wanted something less than 56
wanted something like that 789
wanted something like this 370
wanted something more and 176
wanted something more for 373
wanted something more out 542
wanted something more real 140
wanted something more than 8655
wanted something nice for 51
wanted something other than 727
wanted something soft and 42
wanted without asking for 88
wanted without making any 46
wanted without paying for 199
wanton attack upon him 100
wanton attack upon one 129
wanton ringlets down his 104
warden should have two 58
warned twenty years ago 43
washed ashore along with 81
washed ashore from her 54
washed ashore here and 41
washed ashore more than 61
washed ashore next day 66
washed before meals and 73
