wading bird populations in 51
wage earning employment in 98
wage just sufficient to 111
wage laws applicable to 96
wage paid employment in 62
wage rate applicable to 695
wage rate determined by 437
wage rate determined in 123
wage rate determines the 113
wage rate elasticity of 149
wage rate equivalent to 116
wage rate influences the 56
wage rate multiplied by 891
wage rate prescribed by 136
wage rate prescribed in 136
wage rate regardless of 74
wage rate represents the 86
wage rate sufficient to 140
wait upon providence in 109
walk along piccadilly at 59
walk away cheerfully if 106
walk down piccadilly in 147
walk five kilometers to 85
walk from canterbury to 54
walk into courtrooms to 41
walk many kilometers to 60
walk three kilometers to 66
wall also influences the 44
wall plug efficiency of 173
wall were discovered in 45
want from government is 133
want full disclosure of 66
want full information on 50
want great quantities of 87
want less government in 65
want more background on 62
want more excitement in 47
want more information as 98
want more information in 127
want more information on 6380
want more information or 473
want more information to 186
want some affidavits of 42
want some assistance in 95
want some assistance to 63
want some background on 61
want some combination of 79
want some excitement in 54
want some explanation of 169
want some information on 316
want some information to 71
want some particular thing 45
want some recognition of 48
want some volunteers to 42
want such information to 72
want their activities to 82
want their assistance in 66
want their assistance to 110
want their businesses to 211
want their candidates to 74
want their characters to 141
want their classmates to 54
want their classrooms to 85
want their competition to 55
want their cooperation in 41
want their currencies to 73
want their executives to 56
want their experience to 89
want their friendship to 58
want their government to 1131
want their identities to 47
want their information in 61
want their information to 95
want their institution to 46
want their investment to 88
want their newspapers to 43
want their politicians to 102
want their presidents to 74
want their salespeople to 95
want their supervisor to 45
want there supervenes the 41
want these activities to 59
want these characters to 59
want these negotiations to 47
want these statements to 45
want will eventually be 150
want your accountant to 88
want your adolescent to 44
want your application to 3590
want your assessment of 61
want your assistance in 507
want your assistance to 171
want your background to 65
want your characters to 293
want your classmates to 79
want your competition to 60
want your competitor to 55
want your components to 42
want your composition to 49
want your congregation to 51
want your conscience to 46
want your cooperation in 89
want your corporation to 79
want your department to 111
want your description to 68
want your excellency to 43
want your experience to 86
want your fingerprints on 64
want your girlfriend to 84
want your government to 127
want your grandfather to 90
want your grandmother to 169
want your information to 155
want your instructor to 45
want your investment to 139
want your manuscript to 88
want your newsletter to 104
want your paragraphs to 42
want your photograph to 76
want your publication to 95
want your recipients to 59
want your references to 45
want your researchers to 47
want your resignation on 56
want your salespeople to 97
want your spreadsheet to 50
want your supervisor to 118
warn their countrymen of 168
warn those interested in 59
wars have devastated the 63
wars have originated in 45
wars were discussions of 59
wars were essentially the 47
wars were inevitable as 47
wars were instigated by 64
wars were prosecuted in 64
wars were terminated by 107
wars were undertaken by 49
wars were undertaken in 55
wars were undertaken to 119
wash great quantities of 88
wave drag coefficient is 56
wave drag coefficient of 85
wave form represents the 87
wave length dependence of 262
wave length determined by 151
wave length determines the 43
wave length difference of 137
wave length multiplied by 126
wave making resistance of 146
wave radio broadcasts to 99
wave will correspond to 66
wavy line representing the 99
wavy line represents the 417
ways been influenced by 85
ways best calculated to 194
ways from individual to 51
ways have influenced the 42
ways more acceptable to 184
ways more accessible to 75
ways more appropriate to 400
ways more attractive to 62
ways more comparable to 124
ways more convenient to 80
ways more responsive to 67
ways more suggestive of 51
ways more vulnerable to 78
ways most appropriate to 234
ways most convenient to 56
