wafers were first cleaned 118
waffle iron until golden 63
wafted upon every breeze 59
wagons were drawn through 51
wagons were easily passed 98
wagons were taken across 71
wagons were toiling across 59
waited even longer before 142
waited five hours before 58
waited five months before 165
waited five weeks before 96
waited four hours before 98
waited four months before 235
waited four weeks before 50
waited many months before 127
waited much longer before 193
waited nine months before 94
waited some months before 209
waited some weeks before 58
waited three hours before 177
waited three months before 437
waited three weeks before 371
waited till after dinner 135
waited till after eleven 42
waited till after sunset 67
waited till evening before 75
waited till morning before 69
waited what would befall 72
waiver from gross income 87
waiver only where stated 69
walked along beacon street 96
walked along broad street 64
walked along canal street 74
walked along eighth street 41
walked along every street 53
walked along fleet street 75
walked along fourth street 43
walked along front street 69
walked along queen street 46
walked along state street 52
walked along thames street 57
walked along water street 47
walked away empty handed 49
walked back again across 42
walked back again through 156
walked back alone through 63
walked down alone sunday 75
walked down baker street 70
walked down beacon street 111
walked down broad street 144
walked down canal street 91
walked down eighth avenue 128
walked down eighth street 67
walked down essex street 40
walked down first avenue 95
walked down first street 158
walked down fleet street 294
walked down fourth avenue 46
walked down fourth street 143
walked down front street 137
walked down gaunt square 56
walked down george street 81
walked down gorky street 40
walked down queen street 86
walked down river street 57
walked down state street 215
walked down water street 71
walked five miles before 74
walked five miles through 145
walked five miles without 57
walked four miles through 112
walked four times around 208
walked from downing street 79
walked home after church 63
walked home after dinner 44
walked home after school 264
walked home alone through 171
walked into adolf hitler 47
walked many miles before 55
walked many miles through 192
walked many paces before 79
walked many times before 99
walked many yards before 56
walked many yards further 169
walked some miles before 62
walked some paces before 46
walked three miles across 50
walked three miles before 64
walked three miles farther 67
walked three miles through 226
walked three paces behind 68
walked three steps behind 71
walked three times around 1336
walled open cross section 195
walled town about twenty 44
wampum belt which girded 49
wander into blind alleys 45
wander like sheep without 74
wander over large tracts 42
wander these quiet haunts 90
wanted back badly before 40
wanted good poetry without 44
wanted only minor changes 42
wanted only thirty voices 69
wanted some legal advice 44
wanted very badly indeed 85
wanted your phone number 95
wanton whir still pulses 47
warmed their hands around 113
warmed their hands before 64
warmed their indian feelings 125
warned many times before 41
warned what might happen 69
warned what would happen 282
