wan cheek drinks in 41
wan light through the 423
wan looks coldly on 70
war added greatly to 144
war after another in 87
war after another to 44
war again became the 124
war again befall us 266
war began already to 50
war began before he 44
war began before the 182
war began should be 96
war began slowly to 69
war bonds instead of 113
war bonds issued by 130
war bonds should be 148
war bonds through the 45
war broke through the 51
war canoes belonging to 40
war canoes manned by 53
war cloud seemed to 40
war comes closer to 43
war comes through the 52
war costs should be 163
war could affect the 81
war could afford to 80
war could almost be 40
war could already be 49
war could always be 106
war could become an 60
war could become the 67
war could decide the 53
war could enable us 40
war could expect no 51
war could expect to 60
war could happen in 41
war could hardly be 902
war could indeed be 82
war could justly be 50
war could neither be 66
war could reduce the 41
war could result in 379
war could safely be 45
war could settle the 136
war cries filled the 246
war dance around it 100
war dance around the 549
war dance before the 105
war dance called the 42
war dance instead of 49
war danger created by 52
war debts should be 719
war drawn through the 47
war either actual or 67
war either before or 49
war ended almost as 41
war ended before he 1013
war ended before it 484
war ended before the 1687
war ended before we 74
war ended without the 123
war fever seized me 50
war first showed the 68
war footing before the 42
war games played at 42
war games played by 108
war games played in 50
war games played on 103
war guilt clause in 125
war guilt clause of 244
war large bodies of 52
war large enough to 99
war leaves behind it 226
war lends itself to 163
war loans should be 54
war might affect the 87
war might almost be 73
war might amount to 44
war might become the 67
war might depend on 128
war might enable the 42
war might extend to 55
war might indeed be 90
war might justly be 84
war might result if 87
war might result in 485
war might thereby be 73
war months before the 43
war moved closer to 201
war never failed to 56
war never reached the 75
war never seemed to 68
war ought always to 178
war party across the 50
war party already in 44
war party gained the 235
war party intent on 48
war party raided the 57
war party reached the 114
war party should be 171
war party struck the 46
war party through the 43
war party wished to 59
war passing through the 51
war penal policy in 133
war people escape the 59
war period appears to 143
war period became the 105
war period before the 203
war period failed to 102
war period helped to 122
war period marked by 47
war period marked the 204
war period proved to 138
war period seemed to 230
war period served to 137
war period should be 602
war period showed the 47
war period sought to 90
war period tended to 374
war period through the 516
war period through to 186
war period without the 43
war plans should be 284
war power vested in 72
war raged across the 179
war raged around the 120
war raged around us 42
war raged through the 165
war rages through the 69
war right through to 65
war saved greece by 46
war savings stamps in 57
war savings stamps to 68
war scare caused by 40
war seems likely to 281
war shall always be 178
war shall effect an 91
war shall remain in 54
war shall retain the 106
war shall suffer no 93
war ships belonging to 79
war ships should be 50
war spread across the 253
war spread around the 42
war spread beyond the 79
war spread through the 250
war still dragging on 173
war still exists in 79
war still failed to 97
war still lingered in 65
war still lingered on 178
war still seemed to 150
