wan stars danced between 386
war after another against 45
war after another between 42
war cases before jurymen 51
war costs through taxation 64
war could obtain redress 50
war could remain limited 87
war either through infancy 41
war still exists between 145
war under andrew jackson 87
war which ensued between 464
war which exists between 189
war which hitler started 52
war which lasted several 118
war which struck charles 62
war within french society 70
war would become general 110
war would greatly increase 88
war would remain limited 171
war would result between 51
war would threaten national 40
was about almost everything 163
was about eighty degrees 117
was about eighty dollars 70
was about eighty millions 69
was about eighty percent 190
was about eighty thousand 290
was about eleven dollars 69
was about eleven hundred 985
was about eleven millions 87
was about eleven minutes 70
was about eleven thousand 314
was about evenly divided 2552
was about evenly matched 41
was about midway between 2061
was about ninety degrees 202
was about ninety dollars 55
was about ninety millions 62
was about ninety minutes 96
was about ninety percent 240
was about ninety thousand 124
was about settling himself 63
was about something anybody 54
was about sunset wandering 54
was about twelve degrees 58
was about twelve dollars 143
was about twelve hundred 2587
was about twelve millions 176
was about twelve minutes 131
was about twelve percent 41
was about twelve shillings 60
was about twelve thousand 620
was about twenty degrees 305
was about twenty dollars 239
was about twenty millions 125
was about twenty minutes 2711
was about twenty percent 228
was about twenty seconds 119
was about twenty shillings 54
was about twenty thousand 1747
was above eighty thousand 48
was above middle stature 53
was above ninety degrees 61
was above twelve thousand 65
was above twenty thousand 149
was acted before charles 65
was acute tension between 65
was added another element 115
was adolf hitler himself 86
was again almost totally 56
was again becoming nervous 45
was again becoming popular 40
was again before congress 128
was again called forward 75
was again called together 366
was again caught between 86
was again chosen senator 58
was again clearly evident 51
was again clearly visible 42
was again drifting towards 41
was again driven towards 51
was again existing between 47
was again greatly alarmed 62
was again greatly injured 43
was again greatly reduced 57
was again heavily shelled 44
was again loudly cheered 69
was again opened between 90
was again pitted against 81
was again placed between 68
was again planning schemes 52
was again plotting against 60
was again pressing forward 45
was again pushed forward 226
was again raised against 124
was again roused against 48
was again safely covered 118
was again turned against 40
was again turned towards 242
was aimed mainly against 112
was aimed solely against 88
was anything serious between 139
was asked another question 118
was asked whether article 63
was asked whether certain 78
was asked whether congress 43
was awake before daybreak 40
was awake before sunrise 110
was awoke before sunrise 92
