wages through minimum wage 44
wagon trains traveling west 49
walking across central park 148
walking across harvard yard 52
walking around central park 95
walking around dressed like 150
walking around hunched over 87
walking around outside your 227
walking slowly towards these 40
walking through central park 605
walking through harvard yard 73
walking toward central park 50
walks through central park 506
walls fierce battles rage 42
wanting joyous holiday boys 49
wants become rapidly more 112
wants beyond everything else 55
wants greater control over 59
warming itself against mind 41
warmth merely floated upon 41
warning english traders from 57
waste matter resulting from 207
waste places blossom like 54
waste streams resulting from 56
water before beginning work 58
water before preparing food 120
water bottle against your 55
water bottom samples from 53
water column extending from 51
water column resulting from 54
water column samples were 60
water cooled machine guns 46
water damage resulting from 288
water dashed against their 88
water demand resulting from 52
water drains rapidly from 44
water dripping steadily from 91
water enters largely into 81
water flowed steadily past 106
water lapped against their 40
water levels resulting from 333
water losses resulting from 134
water passes rapidly into 42
water seldom exceeds half 41
water should contain less 222
water should contain very 41
water should proceed from 45
water stress resulting from 123
water supply becomes more 133
water supply brought from 247
water supply depends upon 268
water supply derived from 771
water supply resulting from 98
water supply schemes during 47
water supply schemes have 514
water supply schemes were 250
water supply schemes will 66
water supply systems from 85
water supply systems have 807
water supply systems must 102
water supply systems were 1141
water supply systems will 346
water tables resulting from 63
water thereby becomes more 83
water through seepage from 44
water through seepage into 42
water twelve thousand feet 67
water volume resulting from 61
waves dashed against their 82
waves radiate outward from 149
waves radiating outward from 78
waves spreading outward from 56
waves travel outward from 293
waves travel visibly over 47
weaken soviet control over 81
wealthy seldom reverse their 46
weapon should quickly have 90
weaves strange figures into 59
weeks before beginning work 62
weeks before classes were 84
weeks before election time 51
weeks before harvest time 104
weeks before receiving your 50
weeks before returning home 213
weeks hovering between life 98
weeks passed rapidly away 54
weigh heavily against such 184
weigh heavily against their 78
wench retire together among 138
where actual damages were 50
where almost everything else 604
where annual election ends 74
where another national diet 132
where ardent spirits were 72
where arises chiefly from 68
where asylum seekers were 52
where before existed only 286
where better results were 52
where bloody battles were 47
where broods radiance vast 86
where brooks descend from 42
where chance entered into 128
where church members were 46
where damage results from 175
where donors receive free 42
where eastern european jews 48
where edward everett hale 42
where expert systems have 125
where family incomes were 55
where family matters were 42
where family members feel 48
where family members have 358
where family members live 126
where family members were 413
where family members will 100
where family members work 69
where family prayers were 79
where female workers were 50
where feudal tenures were 47
where fierce battles were 73
where formal service will 59
where foster parents have 41
where further details will 72
where further research will 91
where future research will 56
where greater control over 55
where greater numbers were 49
where greater spenser fail 60
where hardly anybody ever 53
where injury results from 369
where italian doctors were 51
where market reforms have 69
where mission stations were 47
where modern editors have 41
where modern medical care 60
where molten material from 49
where mothers brought their 76
where native species have 46
where nature brought forth 41
where nature conceals gold 41
where nature invites more 70
where nubile virgins went 48
where nuclear reactions take 92
where peasant farmers have 49
where printing presses were 73
where profit margins have 44
where profit margins were 270
where proper medical care 63
where public affairs were 329
where public buildings were 81
where public debates were 93
where public matters were 65
where public notices were 54
where public schools have 129
where public schools were 370
where recent studies have 90
where reform efforts have 41
where sacred objects were 62
where samuel johnson took 148
where school buildings were 52
where school systems have 46
where serious efforts were 41
where serious matters were 41
where serious official work 132
where sexual matters were 96
where shared decision making 49
where silver poplars grow 45
where special classes have 55
where special efforts have 137
where special efforts were 121
where special measures have 88
where special measures need 442
where special measures were 69
where special prayers were 48
where special studies have 54
where strange shadows came 48
where streams descend from 92
where street vendors sell 40
where summer breezes break 44
where through freight from 51
where various objects were 55
where velvet flowers grow 49
where votive offerings were 73
where wicked wizards keep 65
where worlds material roll 58
which absorb certain rays 59
which affect decision making 236
which affect everything from 43
which affect patient care 52
which afford insight into 57
which afford shelter from 114
which allows control over 131
which allows insight into 45
which almost brought down 100
which almost brought tears 133
which almost doubled during 52
which almost doubled from 111
which almost doubled their 53
which almost everything else 486
which almost exactly half 95
which almost sounded like 62
which already benefit from 74
which already contain eggs 42
which already contain some 91
which already differs much 55
which already existed among 448
which already existed during 207
which already existed from 59
which already existed prior 107
which already existed there 576
which already existed were 278
which already existed when 259
which already extends over 137
which already follows from 65
which already possess their 43
which already pressed hard 47
