wage employment accounts for 121
warm imagination commands all 73
wave propagation direction and 560
wave propagation problems and 52
wave propagation problems are 136
wave propagation velocity and 295
wave propagation velocity for 91
wearing camouflage fatigues and 145
wearing camouflage uniforms and 111
wearing traditional costumes and 70
well documented evidence for 61
well documented evidence that 368
well documented problems with 84
well individual students are 59
well understand therefore why 44
well understood compared with 48
well understood nowadays that 75
went handsomely equipped with 62
were absolutely accurate and 50
were absolutely beautiful and 70
were absolutely critical for 63
were absolutely demanded for 56
were absolutely distinct and 47
were absolutely essential and 129
were absolutely essential for 1147
were absolutely helpless and 83
were absolutely ignorant that 85
were absolutely innocent and 50
were absolutely obsessed with 52
were absolutely positive that 300
were absolutely required for 256
were absolutely straight and 93
were absolutely worthless and 57
were absolutely worthless for 43
were abundantly animated with 51
were abundantly equipped with 64
were abundantly provided for 204
were abundantly provided with 414
were abundantly supplied and 114
were abundantly supplied for 54
were abundantly supplied with 2382
were acceptable provided that 103
were acceptable provided they 41
were accurately foreseen and 95
were accurately observed and 89
were accurately recorded and 114
were accurately reported and 44
were adequately equipped and 102
were adequately equipped for 113
were adequately equipped with 179
were adequately financed and 67
were adequately informed and 182
were adequately prepared and 79
were adequately prepared for 562
were adequately provided for 541
were adequately provided with 232
were adequately rewarded for 64
were adequately supplied with 604
were apparently composed for 46
were apparently designed for 201
were apparently destined for 124
were apparently eligible for 47
were apparently equipped with 51
were apparently infected with 45
were apparently intended for 536
were apparently mistaken for 52
were apparently obsessed with 43
were apparently prepared for 106
were apparently provided for 49
were apparently provided with 74
were apparently received with 99
were apparently regarded not 75
were apparently regarded with 55
were apparently required for 65
were apparently reserved for 202
were apparently selected for 102
were appropriate subjects for 258
were appropriate vehicles for 65
were beautifully designed and 255
were beautifully executed and 75
were beautifully finished and 89
were beautifully polished and 49
were blissfully ignorant that 55
were calculated directly for 57
were cheerfully complied with 101
were cheerfully received and 52
were chemically analyzed and 94
were chemically analyzed for 115
were chemically combined with 79
were chemically modified with 55
were chemically polished and 42
were circulated concerning her 79
were circulated concerning him 339
were circulated concerning his 88
were circulated respecting him 84
were circulated respecting his 85
were circulated respecting this 51
were clinically diagnosed with 97
were clinically examined and 78
were collective bargaining and 51
were completely absorbed and 101
were completely absorbed with 132
were completely accurate and 63
were completely adequate for 66
were completely carpeted with 48
were completely confused and 93
were completely congruent with 68
were completely consumed with 48
were completely deceived and 94
were completely deserted and 160
were completely digested with 60
were completely disarmed and 78
were completely distinct and 46
were completely drenched and 40
were completely drenched with 171
were completely enclosed and 94
were completely enclosed with 41
were completely equipped and 76
were completely equipped for 58
were completely equipped with 237
were completely excluded and 63
were completely finished and 120
were completely finished with 66
were completely flexible and 63
were completely harmless and 46
were completely helpless and 133
were completely hollowed out 43
were completely ignorant and 82
were completely innocent and 147
were completely involved with 109
were completely isolated and 428
were completely isolated for 71
were completely negative and 55
were completely negative for 140
were completely obsessed with 79
were completely occupied with 301
were completely original and 42
were completely overcome and 76
were completely overcome with 127
were completely permeated with 48
were completely prepared and 42
were completely prepared for 117
were completely rejected and 43
were completely relieved and 100
were completely replaced with 66
were completely restored and 103
were completely reversed and 49
were completely separate and 262
were completely silenced and 74
were completely stripped and 65
were completely supplied with 45
were completely uncalled for 45
were completely unsuited for 149
were completely uprooted and 68
were completely withdrawn and 63
were conclusive evidence that 443
were confronted directly with 100
were confronted suddenly with 43
were consciously designed for 59
were considered abnormal and 85
were considered absolute and 42
were considered adequate and 122
were considered adequate for 953
were considered arrogant and 43
were considered backward and 124
were considered barbaric and 44
were considered beautiful and 72
were considered bourgeois and 49
were considered citizens and 85
were considered critical for 121
were considered dangerous and 665
were considered dangerous for 182
were considered decadent and 45
were considered disloyal and 69
were considered doubtful and 46
were considered eligible for 1422
were considered essential and 227
were considered essential for 1992
were considered evidence for 56
were considered evidence that 149
were considered failures and 61
were considered feminine and 55
were considered harmless and 65
were considered heretics and 131
were considered ignorant and 68
were considered improper and 70
were considered improper for 59
were considered indecent and 44
were considered luxuries and 73
were considered marginal and 63
were considered mentally ill 124
were considered moderate and 44
were considered negative and 52
were considered negative for 65
were considered obsolete and 100
were considered ordinary and 46
were considered outcasts and 87
were considered outdated and 44
were considered outliers and 102
were considered polluted and 59
were considered positive and 101
were considered positive for 356
were considered possible for 45
were considered powerful and 74
were considered property and 219
were considered relevant and 121
were considered relevant for 222
were considered seditious and 67
were considered separate and 172
were considered shameful and 53
were considered specific for 68
were considered subhuman and 64
were considered subjects for 55
were considered suitable and 100
were considered suitable for 3125
were considered traitors and 154
were considered unsuited for 96
were considered valuable and 145
were considered valuable for 135
were considered worthless and 126
were considered worthless for 42
were constantly arrested for 51
were constantly assailed with 66
were constantly asserted and 43
were constantly attacked and 178
were constantly attended with 41
were constantly besieged with 55
were constantly bestowed and 102
were constantly compared and 48
were constantly compared with 149
were constantly confused with 55
were constantly contending for 72
were constantly contending with 46
were constantly developing and 79
were constantly developing new 91
were constantly drenched with 91
were constantly employed and 58
were constantly employed for 194
were constantly harassed and 322
were constantly harassed with 85
were constantly improved and 106
were constantly increased and 41
were constantly insulted and 72
were constantly intriguing with 115
were constantly involved with 154
were constantly mistaken for 114
were constantly modified and 77
were constantly negotiating with 49
were constantly observed and 51
were constantly obsessed with 40
were constantly occupied and 42
were constantly occupied with 804
were constantly outrunning his 63
were constantly prepared for 79
were constantly provided with 77
were constantly quarreling and 141
were constantly quarreling with 185
were constantly reassured that 95
were constantly reminded how 62
were constantly reminded not 51
were constantly reminded that 3940
were constantly repulsed with 128
were constantly required for 69
were constantly reviewed and 67
were constantly scrawled with 44
were constantly squabbling with 42
were constantly struggling for 219
were constantly struggling with 209
were constantly supplied with 545
were constantly tampered with 72
were constantly threatened and 138
were constantly threatened with 651
were convenient vehicles for 46
were correlated directly with 105
were courteously informed that 60
were courteously received and 421
were critically analyzed and 45
were critically compared with 61
were critically examined and 325
were critically examined for 52
were critically reviewed and 122
were criticized severely for 55
were culturally backward and 74
were culturally deprived and 50
were culturally distinct and 50
were culturally specific and 44
were definitely informed that 128
were definitely intended for 98
were definitely provided for 60
were delicately entwined with 102
were deservedly punished for 42
were determined directly using 44
