waged stubborn fight with 148
wages actually earned and 51
wages remained lower than 79
wages slightly lower than 51
wages somewhat lower than 64
waist confined shall now 120
waist quivered under his 45
waiting eighteen months for 171
walking exercise every day 198
walks swaggering about his 65
walls connecting athens with 128
walls entirely lined with 79
walls surround green and 80
wanting infinite evils and 46
wanting scarcely anything but 62
wants security above all 2136
warring elements within him 111
washing machines rather than 116
washing machines which are 145
waste disposal costs and 596
waste disposal costs are 400
waste disposal costs can 57
waste disposal costs for 192
waste disposal plans and 145
waste disposal plans for 43
waste disposal plant and 97
waste disposal rather than 213
waste disposal sites and 2786
waste disposal sites are 1322
waste disposal sites can 197
waste disposal sites for 337
waste disposal sites has 158
waste disposal sites may 124
waste disposal sites that 463
waste disposal sites was 109
waste disposal sites with 108
waste disposal units and 45
waste disposal which are 52
waste disposal would not 41
waste materials given off 42
waste materials rather than 87
waste materials which are 674
waste materials which can 187
waste materials which may 54
waste products could not 42
waste products given off 333
waste products thrown off 151
waste products until they 97
waste products which are 2250
waste products which can 158
waste products which may 214
waste products which they 49
waste treatment costs and 162
waste treatment costs are 53
waste treatment plant and 797
waste treatment plant for 284
waste treatment plant has 118
waste treatment plant may 45
waste treatment plant that 128
waste treatment plant was 126
waste treatment works and 121
waste valuable space and 85
watch american films and 45
watch baseball games and 99
watch children playing with 58
watch football games and 83
watch football games with 96
watch yourself while you 60
water carriers which are 123
water channels which are 116
water containing about one 482
water containing about two 64
water containing acids and 43
water containing salts and 114
water containing sugar and 56
water contains about one 308
water contains salts and 47
water contents lower than 234
water currents which are 101
water deposits which are 43
water detention basin and 101
water dissolving about one 57
water droplets rather than 66
water droplets which are 396
water droplets which can 46
water droplets which may 156
water equations shows that 276
water followed close and 176
water fourteen miles long 40
water hydrogen bonds and 49
water hydrogen bonds are 74
water injection wells and 101
water injection wells are 117
water meanwhile pouring out 40
water molecule rather than 68
water molecule reacts with 78
water molecule which has 60
water movement rather than 95
water pollution rather than 80
water pollution which are 125
water pollution which has 42
water pollution which may 40
water pollution would not 54
water potential lower than 62
water potential rather than 134
water pressure could not 119
water pressure drops and 47
water pressure rather than 185
water pressure which can 44
water pressure which may 109
water pressure would not 125
water probably would not 72
water projects which are 60
water quenches thirst and 60
water required daily for 67
water retention curve and 320
water retention curve for 199
water retention rather than 187
water retention which may 55
water solutions which are 102
water sparkled beneath his 48
water splashed beneath his 61
water supplied under this 70
water supplies could not 186
water supplies rather than 254
water supplies which are 899
water supplies which can 88
water supplies which had 41
water supplies which may 101
water supplies would not 158
water treatment costs and 178
water treatment costs are 147
water treatment costs for 84
water treatment plant and 2787
water treatment plant are 316
water treatment plant can 243
water treatment plant for 1092
water treatment plant had 136
water treatment plant has 527
water treatment plant may 285
water treatment plant near 117
water treatment plant that 613
water treatment plant using 149
water treatment plant was 1185
water treatment plant with 520
water treatment works and 358
water treatment works are 43
waved american flags and 154
waved solemnly above them 98
waved suddenly above his 52
waves mentioned above are 40
waxed eloquent about all 72
waxed eloquent about her 51
waxed eloquent about his 203
waxed eloquent about how 111
waxed eloquent about its 70
waxes eloquent about his 68
weaker bargaining power and 56
weaker hydrogen bonds than 52
weaker magnetic field and 60
weaker magnetic field than 80
weaker magnetic force than 44
weakly children faint and 99
wealthy american woman who 130
wealthy american women who 51
wealthy business people and 112
wealthy business people who 81
wealthy citizens could not 47
wealthy families could not 57
wealthy families which had 58
wealthy merchant class and 190
wealthy merchant class had 51
wealthy merchant class that 122
wealthy merchant class was 65
wealthy merchant class who 43
wealthy property owner and 58
weapon concealed about his 60
weapon concealed under his 52
weather forecast calls for 372
weather problems cause you 76
weather remained sunny and 53
weather suddenly broke and 46
weather suddenly turns bad 40
wedding ceremony could not 47
wedding ceremony rather than 46
wedding ceremony which was 96
wedding garments which had 41
wedding presents which had 40
weigh evidence which has 40
weigh potential risks and 54
weigh yourself every day 687
wells provided water for 59
whaling industry which was 100
wheel attached which was 44
where accident rates are 103
where accuracy rather than 46
where adequate funds are 59
where adequate space and 62
where adjacent cells are 86
where adjacent pages are 45
where africans could own 53
where alvarado plied them 59
where american bases are 43
where american blood had 190
where american blood was 123
where american films are 61
where american firms are 40
where american goods are 51
where american lives and 41
