wafted a prayer to 45
waited a chance to 220
waited a couple of 5639
waited a decade or 68
waited a decade to 91
waited a little as 41
waited a little at 62
waited a little by 82
waited a little he 48
waited a little in 287
waited a little on 45
waited a little so 53
waited a little to 784
waited a minute as 71
waited a minute in 228
waited a minute or 2579
waited a minute to 1019
waited a moment as 1557
waited a moment at 232
waited a moment in 942
waited a moment on 213
waited a moment or 1814
waited a moment so 97
waited a moment to 4892
waited a number of 246
waited a second or 942
waited a second to 398
waited i thought of 178
waiter a couple of 86
waived a portion of 103
waives a number of 48
walked a couple of 4588
walked a figure up 62
walked a little in 2449
walked a little of 78
walked a little on 299
walked a little to 411
walked a little up 140
walked a matter of 151
walked a moment in 87
walked a number of 410
walked a portion of 47
walked a priest in 71
walked i looked at 53
walked i seemed to 41
walked i thought of 130
wallet a couple of 66
wallet a number of 40
wallow a little in 43
wampum i dispel the 54
wander a little at 53
wander a little in 350
wander a little on 64
wander a little to 51
wangled a couple of 59
wanted a barrel of 70
wanted a basket of 62
wanted a basket or 225
wanted a battle of 41
wanted a bishop in 44
wanted a bottle of 788
wanted a branch of 41
wanted a breeze to 105
wanted a bridge at 59
wanted a bridge to 72
wanted a briefing on 89
wanted a brother or 433
wanted a brother to 56
wanted a bucket of 50
wanted a building in 76
wanted a building of 86
wanted a building to 95
wanted a bundle of 40
wanted a career as 793
wanted a career at 57
wanted a career in 2307
wanted a career of 137
wanted a career on 62
wanted a career or 58
wanted a chance at 591
wanted a chance in 41
wanted a chance of 115
wanted a chance to 11495
wanted a choice of 89
wanted a church in 92
wanted a church of 226
wanted a church to 109
wanted a clause in 104
wanted a colony in 50
wanted a colony of 67
wanted a couple of 1952
wanted a course in 146
wanted a course of 69
wanted a debate on 69
wanted a degree in 143
wanted a degree of 338
wanted a diamond ring 67
wanted a doctor in 94
wanted a doctor or 50
wanted a doctor to 328
wanted a dollar to 44
wanted a family as 58
wanted a family of 646
wanted a family so 301
wanted a family to 152
wanted a female to 48
wanted a figure to 41
wanted a friend at 65
wanted a friend in 214
wanted a friend of 120
wanted a friend so 81
wanted a friend to 658
wanted a future in 95
wanted a future of 50
wanted a gallon of 83
wanted a garden in 42
wanted a garden of 76
wanted a genius to 353
wanted a handle to 128
