wages previously earned by 52
waiting passengers slept in 91
waiting passively until the 42
waiting patiently under the 160
waiting patiently until he 269
waiting patiently until it 104
waiting patiently until the 840
waiting patiently while he 115
waiting patiently while the 238
waiting somewhere close by 108
waits patiently until he 165
waits patiently until it 177
waits patiently until the 726
waits patiently while the 108
waive discourse which is 51
walking aimlessly about in 49
walking aimlessly about the 273
walking backwards until he 43
walking distances within the 45
walking excitedly about the 47
walking leisurely about the 70
walking nervously about the 133
walking pensively about the 78
walls continued rocking to 51
walls themselves began to 41
walls themselves could be 98
walls throughout egypt as 50
wanting instances where the 156
wanting instances which do 46
warming themselves round the 50
warming themselves under the 65
warning americans about the 239
warning consumers about the 88
warning vibrations began to 59
washing continued until the 198
washing different parts of 68
washing ourselves might be 75
waste anesthetic gases in 187
waste committed after the 154
waste generated within the 766
waste generation rates in 50
waste generation rates of 111
watch carefully until the 50
watch carefully where he 40
watch carefully where the 40
watch carefully while the 55
watch different kinds of 195
watch different types of 52
watch ourselves while we 90
watch passively while the 92
watch television alone or 96
watch television shows on 41
watch television shows or 106
watch television until he 148
watch television until it 127
watch television until the 252
watch television while he 220
watch television while the 215
watch television while we 161
water absorption bands at 90
water absorption bands in 113
water absorption value of 52
water absorption which is 42
water allocation based on 63
water allocation within the 133
water allocation would be 58
water available after the 46
water available under the 65
water available within the 255
water available would be 74
water barometer would be 106
water carefully until the 101
water chemistry within the 131
water circulating below the 42
water circulating pipes or 65
water circulating round the 199
water circulating within the 183
water collected after the 85
water collected below the 127
water collected under the 77
water collected within the 91
water companies under the 57
water companies would be 86
water condensed within the 85
water conditions where the 41
water conditions within the 280
water conditions would be 47
water conducted under the 85
water contained within it 214
water contained within the 2658
water continues until the 120
water contracts until it 265
water conversion plant at 44
water displaced would be 64
water filtration plant at 82
water filtration plant in 148
water filtration plant to 56
water gradually added to 49
water gradually began to 66
water gradually fills the 49
water gradually heated to 59
water gradually rises in 113
water gradually rises to 71
water gradually until it 59
water gradually until the 199
water interface could be 172
water interface where it 110
water interface where the 276
water interface which is 112
water interface within the 202
water interface would be 133
water molecules about the 144
water molecules above the 89
water molecules appear to 136
water molecules begin to 446
water molecules bound by 177
water molecules bound in 323
water molecules bound to 1902
water molecules close to 493
water molecules could be 441
water molecules cross the 87
water molecules enter the 633
water molecules exist in 134
water molecules forming the 121
water molecules found in 103
water molecules might be 208
water molecules occur in 42
water molecules round the 69
water molecules seems to 40
water molecules serve as 100
water molecules shown in 46
water molecules start to 46
water molecules stick to 92
water molecules tends to 67
water molecules under the 101
water molecules which do 45
water molecules which is 97
water molecules while the 196
water molecules within the 2018
water molecules would be 832
water movements within the 231
water musically falling in 93
water naturally flowing in 210
water naturally flows in 44
water naturally tends to 255
water particles below the 95
water particles beneath the 72
water particles under the 54
water particles within the 251
water percolating below the 75
water percolating beneath the 161
water percolating under the 203
water pressures below the 119
water pressures within the 487
water previously heated to 568
water production plant at 185
water production would be 90
water regularly until the 104
water repeatedly until the 46
water reservoir could be 88
water reservoir under the 127
water reservoir which is 203
water reservoir within the 43
water reservoir would be 48
water residence times in 210
water residence times of 127
water resources appear to 40
water resources based on 406
water resources belong to 118
water resources could be 909
water resources field is 50
water resources might be 164
water resources needs to 75
water resources seems to 42
water resources shall be 253
water resources since the 52
water resources under the 467
water resources which is 194
water resources within the 1487
water resources would be 919
water saturation within the 126
water shimmered under the 64
water shortages could be 122
water shortages occur in 117
water shortages within the 150
water sometimes flows in 40
water sometimes rises to 47
water standards based on 114
water standards under the 97
water structure within the 48
water suppliers unite to 71
water transfers within the 91
water transport could be 292
water transport plays an 56
water transport which is 57
water transport within the 479
water transport would be 308
waves generated within the 182
waves propagate within the 46
waves propagating within the 160
waves shimmered above the 100
waxed indignant about the 204
waxed nostalgic about the 669
waxed rhapsodic about the 370
waxed sarcastic about the 83
waxes indignant about the 125
waxes nostalgic about the 229
waxes rhapsodic about the 138
weaker neighbors began to 40
weaker obligation after he 45
weakly developed sense of 386
wealthy americans began to 65
wealthy countries where the 41
wealthy merchants began to 133
wealthy merchants lived in 116
wealthy plantation owner in 127
wealthy plantation owner of 43
weather commences about the 67
weather conditions above the 99
weather conditions after the 192
weather conditions allow the 40
weather conditions appear to 187
weather conditions based on 148
weather conditions began to 153
weather conditions below the 237
weather conditions cause the 207
weather conditions could be 530
weather conditions equal to 280
weather conditions favor the 256
weather conditions found in 172
weather conditions limit the 42
weather conditions might be 366
weather conditions occur in 140
weather conditions since the 294
weather conditions where the 172
weather conditions which do 42
weather conditions which the 132
weather conditions while the 84
weather conditions within the 355
weather conditions would be 1089
weather continued nearly the 101
weather continued until the 283
weather continued until we 62
weather forecasting based on 251
weather forecasting could be 48
weather forecasting would be 303
weather forecasts based on 377
weather forecasts could be 159
weather forecasts would be 136
weather phenomena occur in 105
weather prediction based on 237
weather prediction model of 59
weather prediction would be 83
weeks certainly would do 64
weigh different kinds of 79
weigh different types of 52
welding operations shown in 61
wells scattered about the 46
where additional power is 61
where additional space is 88
where additional study is 67
where additional units of 79
where additional water is 120
where advantage could be 213
where advantage might be 48
where afterward stood the 60
where aggression might be 44
where agreement could be 182
where agreement might be 79
where agreement would be 54
where airfields could be 56
where alexander would be 45
where americans would be 85
where anciently stood the 187
where anxieties about the 52
where arbitrary power is 69
where arguments about the 80
where arguments based on 53
where arguments could be 44
where aristotle makes the 50
where aristotle seems to 242
where aristotle speaks of 380
where aristotle tells us 65
where aristotle tries to 58
where artificial feeding is 145
where artificial light is 251
where artillery could be 142
where audiences could be 44
where augustine speaks of 180
where available space is 121
where available water is 71
where batteries could be 74
where batteries might be 50
where behavioral change is 41
where binocular vision is 96
where centuries later the 50
where certainty would be 70
where christians could be 51
where christians gather to 50
where christians ought to 64
where cigarette smoking is 135
where circulating water is 48
where classical music is 131
where coleridge speaks of 54
where commercial farming is 63
where commercial fishing is 171
where commercial paper is 94
where commercial power is 86
where community action is 52
where compliance would be 236
where computers could be 75
where computers would be 51
where concerted action is 148
where conditions allow it 70
where conditions appear to 164
where conditions could be 209
where conditions favor it 90
where conditions favor the 197
where conditions might be 223
where conditions would be 482
where conflicts could be 68
where conflicts within the 40
where connection could be 120
where connection would be 152
where consensus could be 61
where consumers would be 51
where contracts could be 55
where cornelius could be 46
where corporate power is 55
where corporate stock is 58
where countless herds of 138
where criminals could be 116
where criminals would be 50
where criticism could be 40
where customers could be 84
where customers would be 104
where defendant fails to 163
where defendant moved to 42
where defendant seeks to 52
where delegates would be 57
where democracy could be 45
where democracy seems to 53
where democracy would be 41
where descartes seems to 49
where descartes speaks of 72
where different forms of 1083
where different kinds of 3120
where different lengths of 52
where different lines of 82
where different meanings of 53
where different modes of 295
where different pairs of 48
where different parts of 1584
where different races or 61
where different rates of 161
where different rules of 83
where different sizes of 77
where different sorts of 305
where different types of 3970
where different units of 68
where different views of 78
where dinosaurs lived in 87
where distilled water is 126
where documents could be 104
where drinkable water is 62
where earthquakes appear to 45
where economies could be 196
where economies might be 65
where effective action is 47
where electrons enter the 61
where emergency action is 55
where employees could be 104
where employees engage in 55
where employees might be 65
where employees would be 107
where employers would be 47
where equipment could be 144
where everybody comes to 107
where everybody could be 183
where everybody could do 54
where everybody could go 49
where everybody feels at 51
where everybody knows me 142
where everybody knows my 47
where everybody knows the 239
where everybody knows us 160
where everybody likes to 47
where everybody lived in 88
where everybody lives in 108
where everybody seems to 655
where everybody speaks the 41
where everybody talks at 96
where everybody talks to 47
where everybody tried to 56
where everybody tries to 172
where everybody wants to 502
where everybody would be 513
where excessive force is 105
where excessive noise is 64
where executive action is 79
where executive power is 172
where exhaustion would be 85
where extensive farming is 74
where extensive ruins of 52
where factories could be 49
where ferdinand swore to 57
where flammable gases or 174
where frederick knelt in 68
where furniture could be 49
where generally speaking the 88
where gradients within the 58
where happiness could be 62
where happiness might be 68
where happiness shall be 49
where hazardous waste is 336
where heidegger speaks of 134
where herodotus tells us 40
where hydraulic power is 69
where hypotheses about the 50
where hypothesis testing is 48
where immigrant labor is 42
where important parts of 97
where inclement weather is 43
where industrial action is 121
where industrial growth is 161
where influence could be 62
where injustice shall be 46
where injustice would be 85
where innovation would be 41
where inspection under the 106
where intensive farming is 201
where intensive study of 46
where intrinsic value is 60
where irrigated farming is 48
where irrigation could be 219
where irrigation farming is 62
where irrigation water is 1489
where irrigation would be 107
where jefferson stood on 43
where jefferson wrote the 75
where judgments about the 44
where justified under the 81
where knowledge about the 383
where knowledge could be 188
where knowledge might be 80
where knowledge needs to 63
where knowledge shall be 97
where knowledge sharing is 74
where knowledge would be 108
where limestone forms the 70
where livestock could be 87
where livestock farming is 92
where livestock grazing is 67
where livestock raising is 61
where machinery could be 119
where medicines could be 54
where menstrual blood is 68
where merchants could be 45
where molecular motion is 354
where montaigne speaks of 53
where mosquitoes breed in 52
where nantucket feels the 55
where necessary based on 54
where necessary shall be 104
where necessary under the 169
where necessary until the 85
where necessary within the 65
where necessary would be 56
where negotiable paper is 74
where nietzsche speaks of 131
where obedience ought to 331
where offenders could be 72
where offenders might be 44
where operations began in 67
where operations could be 155
where operations would be 68
where opposition could be 66
where opposition might be 50
where opposition would be 44
where oppression could be 47
where organized crime is 174
where organized labor is 369
where panoramic views of 46
where passengers board the 55
where passengers could be 99
where passengers would be 42
where patriotism ceases to 46
where permanent water is 135
where permission could be 41
where permitted under the 107
where personnel could be 44
where plaintiff fails to 144
where plaintiff seeks to 119
where plaintiff would be 58
where polarized light is 50
where political action is 231
where political change is 107
where political feeling is 67
where political power in 42
where political power is 1933
where population growth in 66
where population growth is 1651
where population tends to 45
where practical action is 48
where preferred stock is 195
where pregnancy would be 50
where previously stood the 45
where primitive forms of 54
where principal place of 173
where prisoners could be 289
where prisoners might be 56
where prisoners stand to 40
where prisoners would be 128
where proceedings under the 50
where production began in 278
where production could be 244
where production tends to 53
where production would be 210
where protection could be 129
where protection might be 54
where protection would be 108
where provisions began to 43
where provisions could be 544
where provisions might be 166
where provisions would be 114
where pseudonym leaves no 64
where publicity would be 82
where purchases could be 108
where reasonable cause is 59
where reclaimed water is 133
where reductions could be 109
where reductions might be 45
