wagons and costly assortments 42
waited for another opportunity 428
waited for fuller instructions 51
waited for further confirmation 42
waited for further explanations 66
waited for further instructions 1060
waited for further particulars 51
waited his report impatiently 40
waited his return impatiently 44
waited with anxious anticipation 42
walked and talked continually 46
wanted any further confirmation 159
warned his fellow legislators 52
warned his fellow republicans 76
washed with sodium bicarbonate 778
wasted and keenly susceptible 54
watching for another opportunity 79
watching her owlish countenance 40
waters are highly recommended 56
waters with cooler groundwater 58
weapons and nuclear disarmament 170
weapons for refuting absurdities 42
weapons with greater destructive 55
weathering and erosion customarily 59
weddings and family celebrations 103
weekly and monthly assessments 123
weekly and monthly fluctuations 78
weekly and monthly newsletters 87
weekly and monthly publications 3167
weighing and measuring instruments 818
weight and energy expenditure 248
weight and greater flexibility 43
weight and height measurements 1351
weight and height percentiles 146
weight and height restrictions 46
weight and volume conservation 43
weight and volume constraints 223
weight and volume measurements 503
weight and volume restrictions 116
weight and weight distribution 491
weight for height measurements 125
weight was evenly distributed 218
weight was highly significant 62
whales are highly intelligent 43
whales are widely distributed 108
wheels are almost universally 48
whereas for higher frequencies 59
whereas its english counterpart 42
whereof they hereby acknowledge 65
whether any causal relationship 88
whether any further development 45
whether any further improvement 61
whether any special arrangements 83
whether his mental reproduction 42
whether one should concentrate 66
whether she should acknowledge 42
whether they behave differently 67
whether they merely represented 50
whether they should acknowledge 52
whether they should communicate 52
whether they should concentrate 219
whether they should incorporate 66
whether they should participate 429
whether they walked conspicuous 49
whether this sweeping condemnation 47
whether you should concentrate 40
whether you should incorporate 48
whether you should participate 44
whites and blacks differently 64
whites had already established 44
whither that always accompanies 81
whither they repair occasionally 61
whoever had greatly distinguished 42
whoever has sexual intercourse 67
wholly and solely concentrate 188
wholly and solely responsible 382
wholly and without compensation 64
widely and almost capriciously 49
widely and almost exclusively 45
widely and almost universally 82
widely and cheaply distributed 56
widely and deeply experienced 75
widely and evenly distributed 1083
widely and fairly distributed 104
widely and firmly established 256
widely and freely distributed 96
window and looked thoughtfully 43
