we abandoned years ago 42
we abstained from all 53
we abstained from any 63
we abstained from eating 40
we abstained from this 51
we accordingly find him 407
we accordingly find that 5538
we accordingly find them 196
we accordingly find this 121
we accordingly have for 41
we accordingly hold that 173
we accordingly made our 138
we accordingly meet with 54
we accordingly took our 121
we afterward find him 47
we afterward heard that 46
we aggregate over all 94
we altogether deny that 170
we americans have all 50
we americans have for 69
we americans have got 103
we americans have had 212
we americans have long 128
we americans have not 525
we americans have one 42
we americans have our 135
we americans have yet 57
we americans hold dear 263
we americans know and 51
we americans know how 53
we americans know that 367
we americans love our 128
we americans take for 114
we americans take our 62
we americans think that 51
we americans were not 271
we americans will not 98
we americans wish not 68
we appreciate also that 71
we appreciate just how 84
we appreciate more and 89
we appreciate more than 156
we appreciate these things 52
we appreciate those who 53
we appreciate what they 253
we appreciate what you 660
we appreciate your being 82
we apprehend there are 76
we apprehend there can 167
we ascertain what are 96
we ascertain what was 50
we associated only with 41
we assuredly have not 47
we assuredly know that 144
we attribute life and 272
we attribute these things 177
we attribute unto him 47
we bachelors make out 45
we basically have two 119
we benefited from his 67
we benefited from our 61
we benefited from that 91
we benefited from this 43
we calculate from our 114
we calculate from this 153
we carefully felt our 43
we carefully keep out 40
we carefully made our 172
we carefully pick our 52
we carefully plan our 45
we carefully tied them 57
we cautiously felt our 44
we cautiously made our 254
we celebrate life and 60
we celebrate these dead 95
we celebrate those who 83
we certainly dare not 53
we certainly feel that 714
we certainly felt that 206
we certainly find him 65
we certainly find that 762
we certainly find them 76
we certainly find this 42
we certainly gave them 44
we certainly have all 73
we certainly have got 86
we certainly have had 385
we certainly have not 3007
we certainly have one 90
we certainly have our 276
we certainly have that 216
we certainly have them 65
we certainly have too 43
we certainly have two 94
we certainly hold that 131
we certainly hope for 88
we certainly hope not 61
we certainly hope that 1151
we certainly hope they 57
we certainly hope this 42
we certainly hope you 173
we certainly knew that 198
we certainly know and 82
we certainly know are 62
we certainly know how 497
we certainly know that 4174
we certainly know they 77
we certainly know this 104
we certainly learn that 44
we certainly look for 58
we certainly meet with 193
we certainly must not 664
we certainly must say 41
we certainly must try 42
we certainly need not 803
we certainly need them 98
we certainly thank you 46
we certainly think that 980
we certainly want our 44
we certainly want them 48
we certainly want you 58
we certainly were going 42
we certainly were not 2632
we certainly will not 2675
we certainly will see 88
we certainly wish that 95
we certainly wish you 56
we cherished till his 85
we christians call god 102
we christians have had 49
we christians have not 232
we christians have our 78
we christians hold that 40
we christians know and 60
we christians know that 369
we christians must not 76
we christians need not 57
we christians were not 51
we christians will not 56
we clambered down and 97
we clambered into our 134
we clambered were not 41
we collapsed into bed 217
we collapsed into each 60
we collapsed into our 69
we collected data and 41
we collected data for 231
we collected data that 45
we collected during our 106
we collected from our 129
