we abrogate or cause 68
we abstract the notion 65
we accepted an offer 119
we accepted the basic 47
we accepted the first 135
we accepted the issue 55
we accepted the notion 116
we accepted the offer 844
we accepted the terms 113
we accepted the torah 121
we achieved the first 94
we achieved the goals 40
we acquaint the reader 126
we acquired by treaty 90
we acquired the first 56
we acquired the habit 174
we acquired the house 41
we acquired the power 54
we acquired the right 317
we actually do about 148
we actually do anything 61
we actually go about 454
we addicted to either 41
we addressing the issue 108
we adjusted the value 67
we admirers of faust 223
we admitted the sharp 88
we admonish the reader 59
we advanced at evening 106
we advanced the cause 64
we advanced the enemy 74
we advanced the noise 50
we advanced the river 52
we advanced the thesis 45
we advanced the worse 49
we advanced to within 219
we advanced we could 136
we advanced we found 308
we advocate is based 134
we advocate the cause 73
we affected the first 88
we affirmed the denial 70
we alighted in front 129
we allocate an array 69
we allocate the costs 56
we allocate the fixed 87
we allocate the total 129
we ambitious of power 47
we analyzed the basic 54
we analyzed the change 42
we analyzed the first 82
we analyzed the major 42
we analyzed the model 41
we analyzed the motion 69
we analyzed the social 52
we analyzed the total 156
we analyzed the types 44
we anchored at about 104
we anchored at eight 49
we anchored at night 398
we anchored at porto 118
we anchored in about 46
we anchored in eight 271
we anchored in forty 68
we anchored in front 227
we anchored in seven 184
we anchored in simon 74
we anchored in smooth 70
we anchored in table 156
we anchored in thirty 77
we anchored to await 69
we announce the passing 236
we answered the first 51
we answered the phone 94
we appraise an event 104
we appraise the exact 67
we appraise the value 53
we approach an author 61
we approach as nearly 47
we approach it nearer 93
we approach no nearer 238
we approach the above 43
we approach the altar 670
we approach the banks 46
we approach the basic 54
we approach the bench 1145
we approach the bible 501
we approach the black 140
we approach the brink 73
we approach the child 130
we approach the close 1842
we approach the closing 245
we approach the coast 360
we approach the cross 96
we approach the danger 62
we approach the deity 55
we approach the edges 101
we approach the enemy 132
we approach the epoch 85
we approach the event 115
we approach the facts 152
we approach the fatal 42
we approach the father 152
we approach the field 218
we approach the final 911
we approach the first 508
we approach the fourth 218
we approach the front 266
we approach the gates 98
we approach the grand 61
we approach the grave 120
we approach the group 70
we approach the hills 74
we approach the hotel 41
we approach the house 375
we approach the human 257
we approach the indian 270
we approach the inner 145
we approach the issue 956
we approach the landing 55
we approach the large 84
we approach the later 138
we approach the level 175
we approach the light 99
we approach the limit 483
we approach the lofty 49
we approach the lower 369
we approach the major 42
we approach the meeting 64
we approach the mercy 66
we approach the milky 147
we approach the moral 66
we approach the music 55
we approach the notion 74
we approach the novel 150
we approach the opening 114
