we accelerated down the 91
we accomplishing what we 57
we acknowledge also the 74
we acknowledge from the 75
we acknowledge here the 74
we acknowledge only the 67
we acknowledge some of 92
we acknowledge there is 207
we acknowledge what is 165
we acknowledge what we 217
we acknowledge when we 182
we additionally have to 126
we additionally need to 84
we anticipated from the 171
we anticipated having to 48
we anticipated when we 316
we apprehended from the 58
we arbitrarily call the 191
we arbitrarily take as 110
we arbitrarily take the 149
we ascertained from the 119
we ascertained those of 64
we colloquially call the 51
we communicate what is 51
we communicate what we 351
we communicate when we 163
we concentrate here on 4377
we concentrate just on 97
we concentrate less on 120
we concentrate more on 683
we concentrate most of 130
we concentrate only on 2320
we concentrate upon it 70
we concentrate upon the 1291
we confidently hope to 186
we confidently leave it 70
we confidently look to 158
we confidently rely on 316
we confiscated from the 82
we constituted over us 80
we constructed from the 146
we contemplate acts of 44
we contemplate from the 43
we contemplate only the 223
we contemplate some of 146
we contemplate such an 101
we contemplate these as 72
we contemplate those of 45
we contemplate upon the 46
we contemplate what is 143
we contemplate what it 51
we contemplate what the 111
we contemplate what we 117
we contemplate when we 191
we contentedly rely on 59
we continually come up 52
we continually face the 55
we continually fail to 186
we continually feel the 53
we continually find in 134
we continually find it 59
we continually find the 271
we continually have the 76
we continually have to 478
we continually heard the 81
we continually keep in 43
we continually live in 40
we continually look to 40
we continually make the 82
we continually meet in 57
we continually need to 277
we continually seek the 51
we continually seek to 275
we continually seem to 51
we continually speak of 133
we continually talk as 53
we continually talk of 165
we continually think of 80
we continually work to 53
we customarily call the 122
we customarily find in 58
we customarily speak of 259
we customarily think of 689
we deliberated over the 42
we demonstrate here the 40
we demonstrate some of 205
we demonstrate what we 78
we desperately hold on 87
we desperately need an 134
we desperately need as 90
we desperately need if 49
we desperately need in 278
we desperately need is 393
we desperately need it 212
we desperately need the 488
we desperately need to 2299
we desperately seek to 58
we desperately want to 810
we desperately wish to 89
we disembarked from the 877
we disembarked upon the 68
we distinguished among the 46
we distinguished from the 123
we distributed among the 273
we effectively have an 55
we effectively have the 49
we effectively have to 47
we empirically test the 93
we encountered along the 511
we encountered among the 157
we encountered back in 45
we encountered during the 676
we encountered early in 61
we encountered early on 41
we encountered five or 58
we encountered from the 130
we encountered many of 63
we encountered none of 57
we encountered over the 51
we encountered some of 339
we encountered such an 59
we encountered were in 74
we encountered were of 65
we encountered were the 145
we encountered what we 52
we encountered when we 666
we entertained some of 65
we entertained when we 99
we established during the 57
we established early on 104
we established from the 72
we established what we 95
we established when we 50
we exclusively think of 75
we experienced along the 43
we experienced during the 1343
we experienced from the 465
we experienced here in 47
we experienced many of 77
we experienced much of 46
we experienced none of 113
we experienced nothing of 51
we experienced over the 93
we experienced some of 198
we experienced such an 60
we experienced what it 54
we experienced what we 64
we experienced when the 145
we experienced when we 929
we extrapolate back to 64
we extrapolate from the 840
we extrapolate into the 68
we fortunately came to 58
we fortunately fell in 107
we fortunately have an 79
we fortunately have in 81
we fortunately have the 133
we highlighted some of 134
we illustrated some of 114
we implemented some of 51
we incorporate into it 57
we incorporate into the 406
we incorporate many of 45
we incorporate some of 147
we incorporate what we 60
we incorrectly call the 61
we internalize what we 45
we interpolate from the 50
we interpreted what we 40
we interviewed came to 79
we interviewed during the 147
we interviewed from the 246
we interviewed gave us 45
we interviewed grew up 44
we interviewed made it 53
we interviewed made the 51
we interviewed many of 95
we interviewed only the 42
we interviewed over the 41
we interviewed said he 46
we interviewed said it 51
we interviewed said the 82
we interviewed seem to 100
we interviewed some of 137
we interviewed told of 46
we interviewed told us 1197
we interviewed used the 73
we interviewed were in 149
we interviewed were of 53
we intuitively feel is 57
we intuitively feel the 67
we intuitively feel to 126
we intuitively give to 72
we intuitively know is 57
we intuitively know it 62
we intuitively know the 162
we intuitively know to 123
we intuitively take to 101
we intuitively tend to 62
we intuitively think of 318
we intuitively want to 95
we investigate here is 87
we investigate here the 101
we investigate into the 130
we investigate only the 157
we investigate some of 616
we investigate those of 66
we investigate ways of 65
we investigate ways to 50
we investigate what is 101
we investigate what it 87
we investigate what the 113
we investigate what we 75
we journalists like to 47
we momentarily drop the 57
we necessarily come to 265
we necessarily deny in 115
we necessarily deny the 48
we necessarily fail to 93
we necessarily find the 57
we necessarily have an 82
we necessarily have as 129
we necessarily have in 52
we necessarily have is 62
we necessarily have the 207
we necessarily have to 1187
we necessarily know the 92
we necessarily live in 125
we necessarily look at 43
we necessarily lose the 58
we necessarily make the 51
we necessarily must be 53
we necessarily must do 47
we necessarily need to 248
we necessarily reach the 54
we necessarily rely on 210
we necessarily seek to 47
we necessarily speak of 104
we necessarily think in 45
we necessarily think it 44
we necessarily think of 281
we necessarily turn to 80
we necessarily want to 265
we necessarily wish to 46
we nevertheless come to 73
we nevertheless deem it 52
we nevertheless fail to 85
we nevertheless feel it 103
we nevertheless feel the 81
we nevertheless felt the 57
we nevertheless find in 115
we nevertheless find it 170
we nevertheless find no 47
we nevertheless find the 212
we nevertheless have an 225
we nevertheless have no 87
we nevertheless have the 296
we nevertheless have to 562
we nevertheless held in 59
we nevertheless know to 102
we nevertheless learn to 43
we nevertheless live in 97
we nevertheless must be 49
we nevertheless need to 378
we nevertheless seek to 58
we nevertheless seem to 69
we nevertheless speak of 168
we nevertheless take it 45
we nevertheless take the 56
we nevertheless tend to 111
we nevertheless think it 209
we nevertheless think of 57
we nevertheless want to 318
we nevertheless wish to 318
we occasionally fail to 54
we occasionally fell in 81
we occasionally find an 272
we occasionally find in 562
we occasionally find it 307
we occasionally find on 91
we occasionally find the 826
we occasionally have an 48
we occasionally have in 73
we occasionally have of 53
we occasionally have the 105
we occasionally have to 321
we occasionally heard of 61
we occasionally heard the 185
we occasionally like to 42
we occasionally meet in 161
we occasionally meet the 48
we occasionally need to 232
we occasionally speak of 77
we occasionally think of 51
we occasionally used to 66
we occasionally went to 151
we participate when we 61
we perpetually seek to 44
we perpetually seem to 45
we practically grew up 89
we practically have no 92
we practically have the 157
we practically have to 183
we practically live in 395
we practically take up 72
we prevaricate just at 48
we principally want is 44
we principally wish to 68
we protestants have no 66
we reconstruct from the 156
we recursively call the 57
we regretfully left the 49
we reluctantly came to 74
we reluctantly gave it 69
we reluctantly gave up 675
we reluctantly have to 42
we reluctantly leave the 40
we reluctantly left the 200
we reluctantly turn the 62
we reluctantly went on 41
we republicans hold the 88
we straightway make the 55
we superimpose upon the 72
we technically call the 157
we technically term it 57
we temporarily drop the 53
we temporarily leave the 71
we transferred back to 49
we transferred from the 156
we transferred some of 57
we transported when we 46
we unanimously came to 81
we unavoidably come to 59
we unavoidably feel on 319
we unavoidably think of 50
we undoubtedly find in 87
we undoubtedly find the 94
we undoubtedly have an 107
we undoubtedly have in 118
we undoubtedly have the 371
we undoubtedly have to 185
we undoubtedly need to 64
we undoubtedly will be 66
we universally have of 86
we voluntarily gave up 50
we voluntarily give up 157
we voluntarily leave the 55
we voluntarily take up 63
wing articulation from the 68
wing governments such as 110
wing governments tend to 165
wing nationalists such as 127
wing publications such as 258
wing republicans such as 102
