wan declining green to 216
war against athens in 155
war against athens to 52
war against chile in 74
war against china as 181
war against china by 120
war against china if 51
war against china in 1397
war against china is 82
war against china of 50
war against china on 114
war against china or 122
war against china to 149
war against crime in 144
war against crime is 177
war against drugs as 88
war against drugs by 144
war against drugs in 222
war against drugs is 289
war against drugs to 44
war against egypt in 249
war against egypt to 78
war against either of 113
war against either the 151
war against ethiopia in 210
war against every thing 70
war against first the 43
war against henry ii 111
war against henry iv 110
war against henry of 132
war against henry the 70
war against hunger is 41
war against islam in 140
war against islam is 50
war against islam or 59
war against israel as 258
war against israel at 72
war against israel by 217
war against israel if 63
war against israel in 1058
war against israel is 198
war against israel on 136
war against israel or 58
war against israel the 51
war against israel to 144
war against italy as 52
war against italy in 287
war against italy to 68
war against japan as 2722
war against japan at 639
war against japan be 48
war against japan by 585
war against japan he 122
war against japan if 175
war against japan in 3461
war against japan is 479
war against japan it 129
war against japan of 62
war against japan on 1897
war against japan or 235
war against japan so 56
war against japan the 517
war against japan to 913
war against lewis ix 226
war against louis ix 49
war against louis the 91
war against louis xi 193
war against milan in 49
war against nepal in 52
war against people of 205
war against persia as 103
war against persia by 56
war against persia in 313
war against persia is 63
war against persia to 62
war against peter the 95
war against russia as 864
war against russia at 243
war against russia by 326
war against russia he 64
war against russia if 168
war against russia in 2598
war against russia is 400
war against russia of 52
war against russia on 1068
war against russia or 244
war against russia the 209
war against russia to 346
war against satan in 50
war against serbia as 200
war against serbia at 75
war against serbia by 61
war against serbia in 559
war against serbia on 433
war against serbia or 44
war against serbia to 107
war against spain as 682
war against spain at 147
war against spain by 291
war against spain he 65
war against spain if 42
war against spain in 3649
war against spain is 141
war against spain of 50
war against spain on 695
war against spain or 142
war against spain the 156
war against spain to 385
war against spain we 44
war against which he 86
war against which it 60
war against which the 134
war against which we 52
war against women in 142
war against women is 73
war america would be 108
war appeared drawing to 66
war between chile on 56
war between either of 72
war between henry ii 159
war between henry iv 56
war between james ii 106
war between japan on 54
war between louis the 47
war between louis xi 109
war between parts of 132
war between people of 209
war between peter the 158
war between russia on 193
war between spain on 51
war britain would be 283
war brought about an 462
war brought about by 2175
war brought about in 205
war brought about no 40
war brought about the 1172
war cabinet meeting of 95
war cabinet meeting on 62
war chariots drawn by 383
war council would be 54
war covered every sea 42
war debates about the 128
war depends shall be 61
war economy after the 60
war economy based on 199
war economy began to 196
war economy could be 269
war economy shall be 190
war economy under the 95
war economy within the 102
war economy would be 235
war efforts would be 210
war erupted after the 44
war erupted again in 159
war everything would be 66
war exchange point at 105
war finally began in 49
war finally began to 64
war finally comes to 48
war finally ended in 1774
war finally ended on 114
war finally ended the 70
war germany began to 49
war germany might be 45
war germany would be 468
war hysteria swept the 100
war ireland would be 41
war machine after the 46
war machine began to 275
war machine could be 179
war machine under the 65
war machine until the 46
war machine which he 49
war machine which is 107
war machine would be 548
war material began to 70
war material could be 157
war material found in 43
war material might be 44
war material shall be 123
war material under the 260
war material which he 53
war material which is 75
war material which the 171
war material within the 151
war material would be 415
war measures taken by 269
war measures which the 40
war memorial would be 40
war parties began to 155
war parties might be 85
war parties would be 157
war persons found in 93
war profits would be 40
war quickly spread to 53
war remaining after an 113
war service under the 197
war service would be 118
war several times in 198
war shortly after the 187
war sonnets which he 80
war started after the 63
war started again in 105
war stories about the 1050
war towards which the 66
war towards which we 44
war usually takes on 255
war vessels began to 40
war vessels built in 85
war vessels could be 135
war vessels might be 41
war vessels under the 66
war vessels would be 127
war welfare state in 343
war welfare state is 122
war workers could be 51
war workers would be 104
was abashed alike by 46
was aborted after the 201
was abraham about to 58
was accepting money so 87
was account taken of 87
was accused after the 99
was accused again in 40
was accused again of 52
was accused either of 56
was accused first of 81
was accused later of 177
was accused under the 126
was acutely alert to 76
was acutely alive to 280
was acutely aware as 94
was acutely aware at 67
was acutely aware he 96
was acutely aware in 78
was acutely aware of 44227
was acutely aware the 52
was acutely noted by 62
was acutely short of 292
was acutely toxic to 94
was acutely tuned to 72
was acutely uneasy if 72
was adamant about it 810
was adamant about me 77
was adamant about my 179
was adamant about no 45
was adamant about the 2699
was adapted after the 63
was adapted based on 95
was adapted later to 68
was adapted quite as 55
was adapted rather to 83
was adapted under the 65
was adduced tending to 49
was admired about the 56
was admired alike by 64
was adopted about the 396
was adopted after an 250
was adopted after he 94
was adopted after it 169
was adopted after the 3885
was adopted again by 67
was adopted again in 220
was adopted aimed at 76
was adopted based on 606
