wage increase after a 77
wait outside until a 54
wait outside until i 475
wait outside while i 554
wait quietly until i 128
wake several times a 97
waking moments which i 106
waking several times a 86
walk fifteen miles a 178
walk forward until i 40
walk several hours a 64
walk several miles a 522
walk several times a 466
walk sixteen miles a 67
walk together until i 48
wall against which a 243
wall against which i 1399
wall several times a 40
want anybody thinking i 101
warm welcome after a 42
warm welcome which i 42
wars brought about a 180
wash several times a 343
wave equation gives a 43
wave equation where c 193
wave equation where e 45
wave function gives a 326
wave function where a 98
wave function where x 64
wave function within a 56
wealth brought about a 108
wearing apparel which i 78
wearing glasses since i 62
weary searcher after a 44
week brought about a 53
week several times a 418
well adapted where a 41
well content where i 44
well defined within a 125
well dressed gives a 174
well drilled under a 76
well secured under a 45
well several times a 210
well together under a 72
well whipped twice a 42
went exactly where i 66
went forward about a 101
went forward under a 301
went forward until i 81
went outside where a 89
went outside where i 84
went several times a 1062
went smoothly until a 157
went smoothly until i 219
were adopted after a 313
were adopted under a 79
were adopted within a 187
were advancing under a 45
were alarmed about a 84
were allowed after a 90
were allowed quite a 47
were allowed twice a 64
were allowed under a 81
were allowed where a 42
were allowed within a 116
were applied after a 83
were applied twice a 77
were applied under a 63
were applied until a 46
were applied within a 143
were arranged about a 217
were arranged after a 92
were arranged round a 610
were arranged under a 189
were arranged within a 148
were arrived within a 78
were averaging about a 41
were awakening after a 41
were awarded after a 77
were awarded under a 65
were briefly shown a 77
were brought about a 69
were brought after a 60
were brought round a 49
were brought twice a 43
were brought under a 2748
were brought within a 573
were carried about a 57
were carried after a 225
were carried round a 60
were carried under a 346
were carried within a 86
were certain people i 74
were charged under a 232
were charged under s 49
were checked twice a 98
were checked under a 73
were claimed under a 41
were clasped about a 42
were clasped round a 57
were classed under a 58
were couched within a 65
were counted after a 136
were counted twice a 49
were counted under a 795
were counted within a 238
were covered thrice a 48
were covered under a 565
were covered within a 42
were crouching round a 54
were crouching under a 69
were crowded round a 243
were crowded under a 59
were crowded within a 46
were crushed after a 129
were crushed beneath a 170
were crushed under a 261
were crushed within a 50
were current about a 62
were debated within a 59
were decided after a 103
were decided under a 127
were decided within a 90
were defeated after a 1027
were defeated within a 112
were defined within a 144
were delayed nearly a 67
were delayed until a 243
were disputing about a 200
were distant about a 162
were divided under a 69
were drilled twice a 69
were drilled under a 44
were drilled within a 78
were dropped after a 342
were dropped within a 109
were drowned within a 60
were elected after a 107
were elected under a 280
were emptied twice a 84
were enabled after a 62
were enacted after a 64
were enacted under a 48
were enacted within a 117
were encased within a 253
were enjoyed under a 57
were entered under a 41
were erected about a 77
were erected after a 99
were erected round a 49
were erected under a 86
were erected within a 321
were evicted after a 50
were evident after a 40
were evident within a 120
were exactly where i 117
were excised under a 40
were excited about a 332
were expecting maybe a 48
were expecting quite a 44
were exposed after a 49
were exposed under a 111
were exposed within a 52
were fifteen cents a 145
were finally gaining a 40
were finally getting a 245
were finally given a 733
were forever seeking a 71
were founded about a 45
were founded after a 42
were founded under a 67
were founded within a 409
were friends after a 41
were gathered about a 1273
were gathered after a 47
were gathered beneath a 41
were gathered round a 1775
were gathered under a 359
were gathered while i 41
were gathered within a 190
were germans seeking a 41
were gossiping about a 77
were granted after a 152
were granted under a 152
were granted within a 85
were grouped about a 888
were grouped round a 746
were grouped under a 919
were grouped within a 252
were handled under a 84
were handled within a 66
were hankering after a 128
were hatched under a 59
were huddled about a 57
were huddled beneath a 61
were huddled round a 163
were huddled under a 283
were ignored until a 70
were imposed after a 49
were imposed under a 76
were injured after a 101
were inquiring about a 146
were insured under a 265
were knocked about a 77
were limited within a 48
were located about a 329
were located above a 88
were located after a 43
were located quite a 48
were located under a 145
were located where a 48
were located within a 2716
were managed after a 51
were managed under a 152
were managed within a 42
were marched about a 96
were marched under a 168
were married about a 390
were married after a 620
were married after i 58
were married under a 251
were married while i 103
were married within a 1334
were matters which a 41
were matters which i 52
were measured after a 398
were measured twice a 130
were measured under a 564
were measured within a 237
were modeled after a 272
were moments where i 77
were mounted above a 102
were mounted under a 83
were mounted within a 105
were nervous about a 163
were noticed after a 69
were obliged after a 59
were occurring within a 85
were offered either a 107
were offered twice a 108
were offered under a 80
were offered within a 73
were operating under a 1723
were operating within a 938
were ordered twice a 42
were ordered under a 84
were ordered within a 50
were painted within a 136
were paroled within a 41
were payable under a 89
were perhaps about a 49
were perhaps given a 56
were perhaps rather a 74
were pitched under a 82
were pitched where i 171
were pitched within a 57
were planned within a 47
were planted about a 48
were planted after a 49
were planted nearly a 55
were planted under a 66
were planted within a 142
were plucked twice a 40
were present about a 100
were present after a 55
were present while a 57
were present within a 274
were pressed under a 98
were printed under a 69
were printed within a 239
were producing about a 65
were producing nearly a 49
were pursued under a 69
were pursued which i 106
