wan snowdrop sighing for 74
war actually began with 44
war actually breaking out 90
war actually breaks out 633
war actually broke out 6269
war anchored about its 80
war blossoms white with 104
war casualty lists and 54
war continue until all 69
war criminal trials and 41
war economic growth and 449
war economic growth has 156
war economic growth was 212
war followed which was 44
war increased rather than 53
war industry could not 112
war materials bound for 64
war materials which are 241
war materials which had 47
war probably could not 55
war probably would not 146
war purposes rather than 89
war situation rather than 41
war situation which had 90
war situation which was 153
war speedily broke out 125
war suddenly breaking out 211
war suddenly breaks out 140
war suddenly broke out 784
war supplies which had 41
was abruptly aware that 194
was abruptly ended and 86
was abruptly ended with 87
was abruptly faced with 64
was abruptly taken off 164
was abruptly taken out 97
was absently rubbing his 53
was absolute proof that 649
was absolute quiet and 75
was absolute rather than 110
was absolute ruler and 75
was absolute within his 76
was absolute within its 81
was absorbed rather than 62
was abstract rather than 135
was absurdly small and 73
was absurdly small for 133
was abundant cause for 341
was abundant proof that 653
was abundant reason for 894
was abundant reason why 69
was abundant scope for 234
was abundant space for 69
was abundant water and 77
was abundant water for 44
was academic rather than 277
was accepted about ten 41
was accepted after being 47
was accepted after his 50
was accepted after long 48
was accepted later that 45
was accepted rather than 290
was accepted though not 41
was accepted which was 98
was accident alone that 117
was accident prone and 67
was accident rather than 158
was accuracy rather than 43
was accurate after all 62
was achieved above all 130
was achieved after her 75
was achieved after his 43
was achieved after long 69
was achieved after one 179
was achieved after six 61
was achieved after two 302
was achieved could not 45
was achieved either with 54
was achieved first and 42
was achieved rather than 181
was achieved under his 126
was achieved under this 122
was achieved which has 61
was achieved which was 228
was achieved within one 199
was achieved within six 101
was achieved within ten 41
was achieved within this 44
was achieved within two 337
was acquired after his 143
was acquired after that 91
was acquired later than 57
was acquired rather than 257
was acquired under this 44
was acquired which was 67
was acquired while they 59
was actively looking for 1148
was actively pushing for 78
was actively pushing his 43
was actively seeking new 167
was actively seeking out 214
was actively under way 229
was actively working for 463
was actively working with 284
was actually about his 54
was actually about one 170
was actually about six 103
was actually about ten 106
was actually about them 51
was actually about two 249
