war britain 67 war germany
66 war germany 74 war
america 42 war between 41
war thousand 57 war between
59 war against 154 war
together 117 war related 60
war between 68 war ignored
42 war shifted 43 war
increasing 48 war invaded 111
was sergeant 45 was cornish
50 was because 131 was
towards 77 was rapidly 62
was towards 50 was because
55 was against 96 was
because 441 was against 107
was because 40 was between
147 was against 50 was
college 52 was because 117
was damages 66 was several
53 was similar 50 was
against 680 was forward 1783
was together 161 was against
55 was forward 267 was
against 253 was against 217
was aligned 88 was following
47 was related 1730 was
watched 106 was because 141
was regarding 57 was between
47 was emperor 97 was
dragged 49 was against 79
was against 67 was because
88 was himself 80 was
because 383 was whereby 46
was according 104 was against
72 was between 776 was
equally 40 was because 201
was himself 46 was captain
57 was emperor 88 was
charles 55 was against 103
was against 64 was certain
74 was divided 122 was
evident 118 was between 171
was following 41 was outside
52 was letters 40 was
because 207 was rapidly 509
was herself 50 was accused
59 was injured 96 was
wounded 163 was because 66
was settled 61 was ordered
43 was between 334 was
regarding 42 was counsel 166
was manager 477 was support
74 was concern 97 was
against 53 was certain 49
was wounded 41 was against
63 was married 131 was
because 88 was towards 86
was because 58 was concern
163 was rapidly 265 was
steadily 52 was because 49
was against 102 was because
73 was derived 41 was
devoted 72 was ignored 211
was limited 99 was written
40 was against 178 was
because 633 was related 64
was outside 124 was applied
65 was according 42 was
against 49 was officer 71
was because 73 was against
48 was because 249 was
because 390 was between 66
was because 153 was outside
63 was because 273 was
forward 86 was because 90
was evident 71 was visible
69 was against 107 was
because 322 was outside 40
was herself 47 was himself
186 was because 65 was
between 125 was adopted 134
was realized 51 was expanding
92 was increasing 174 was
against 121 was letters 74
was regular 42 was reports
60 was support 58 was
because 338 was following 47
was because 96 was because
114 was several 57 was
between 47 was between 172
was handled 58 was divided
134 was reduced 165 was
because 51 was between 259
was increasing 125 was reduced
41 was because 87 was
advised 44 was against 198
was evident 77 was opposed
1363 was present 124 was
pressed 80 was reduced 49
was related 453 was tempted
126 was because 142 was
because 118 was because 269
was assumed 53 was opposed
72 was unaware 51 was
between 59 was because 191
was because 254 was present
60 was familiar 60 was
between 56 was because 172
was because 851 was against
58 was spirits 61 was
hundred 125 was against 90
was lincoln 62 was january
43 was because 47 was
minutes 71 was marriage 94
was wedlock 93 was decades
40 was against 128 was
matters 51 was himself 115
was letters 51 was traffic
42 was himself 54 was
glasses 66 was himself 117
was towards 79 was towards
107 was towards 54 was
friction 154 was himself 83
was previous 61 was january
130 was october 92 was
because 84 was according 61
was because 167 was because
42 was decades 54 was
effecting 42 was improving 58
was promoting 68 was providing
41 was restoring 48 was
against 50 was forward 106
was emperor 135 was emperor
121 was sheriff 49 was
forward 48 was dollars 118
was between 65 was forward
74 was against 58 was
because 40 was because 48
was because 43 was against
57 was because 193 was
because 56 was familiar 52
was against 169 was against
1266 was forward 690 was
together 698 was forward 56
was against 162 was between
43 was together 210 was
adopted 42 was married 53
was between 85 was shelter
46 was against 137 was
against 116 was towards 239
was strongly 47 was against
47 was volleys 66 was
dollars 2470 was millions 40
was thousand 1731 was dollars
1471 was shekels 477 was
talents 76 was against 64
was between 40 was dollars
908 was millions 75 was
seventy 42 was talents 108
was thousand 846 was dollars
626 was america 100 was
research 52 was columbia 114
was america 94 was sources
75 was hundred 89 was
sources 268 was increase 56
was ireland 168 was sources
81 was sources 197 was
outside 181 was absence 118
was college 58 was minutes
77 was touches 54 was
sanction 44 was lessons 180
was minutes 116 was minutes
329 was planned 43 was
witches 47 was between 53
was material 120 was between
82 was herself 75 was
regarding 48 was between 60
was between 111 was between
76 was between 303 was
between 61 was rejoicing 167
was support 53 was variation
86 was because 77 was
between 1507 was between 103
was indoors 102 was between
207 was against 45 was
because 113 was between 103
was effects 159 was attacks
376 was effects 74 was
trouble 157 was success 91
was success 50 was surgery
54 was success 41 was
thoughts 469 was trouble 118
was trouble 54 was absorbing
102 was accepting 448 was
adjusting 1414 was answering 81
was balancing 241 was because
309 was believing 820 was
competing 81 was concealing 49
was digesting 130 was financing
48 was finishing 177 was
following 598 was imagining 267
was listening 74 was marketing
115 was mastering 40 was
obtaining 182 was picturing 174
was producing 74 was providing
47 was recalling 67 was
remaining 67 was resisting 47
was retaining 53 was towards
67 was accosting 48 was
against 49 was brought 49
was captain 50 was general
78 was himself 159 was
january 93 was members 68
was october 145 was himself
42 was because 106 was
because 1331 was between 42
was against 186 was between
56 was chiefly 92 was
largely 189 was brought 76
was because 48 was fremont
241 was advancing 46 was
service 88 was towards 150
was because 50 was everything
69 was between 52 was
college 54 was daybreak 68
was forward 70 was herself
58 was himself 42 was
herself 65 was himself 195
was because 42 was visible
47 was minutes 360 was
college 90 was between 86
was himself 68 was between
100 was because 81 was
against 145 was between 221
was because 345 was because
156 was between 584 was
cropped 50 was guarded 426
was because 43 was gregory
43 was ireland 45 was
forward 61 was settled 780
was against 64 was blooded
65 was against 161 was
between 46 was listening 99
was tensely 62 was towards
79 was against 81 was
against 73 was against 63
was between 55 was visible
55 was exactly 42 was
because 52 was related 245
was watched 61 was between
79 was settled 75 was
because 50 was between 136
was towards 41 was between
63 was because 40 was
because 66 was because 49
was defined 60 was defined
198 was divided 40 was
related 215 was between 43
was between 89 was because
49 was lincoln 105 was
dinners 47 was general 51
was support 280 was because
50 was because 87 was
because 80 was british 41
was captain 46 was certain
55 was general 103 was
receiving 63 was america 52
was congress 47 was several
42 was britain 127 was
british 92 was capital 82
was captain 77 was certain
81 was charles 136 was
chinese 40 was current 50
was defense 95 was denmark
104 was foreign 186 was
francis 114 was general 372
was germany 99 was himself
169 was history 44 was
holland 71 was husband 46
was january 70 was knights
44 was language 46 was
married 64 was members 114
was national 71 was natural
136 was october 86 was
orators 139 was organic 52
was parents 41 was parties
56 was persons 201 was
primary 169 was private 175
was regular 58 was religion
55 was research 87 was
results 64 was richard 64
was science 53 was secular
79 was several 55 was
general 735 was because 52
was because 106 was engineer
53 was welcome 47 was
according 46 was because 72
was counsel 191 was foreman
83 was freight 72 was
manager 2954 was welcome 209
was because 51 was because
279 was painter 46 was
sergeant 258 was evident 82
was officer 185 was manager
41 was marshal 332 was
decades 118 was hundred 90
was because 57 was because
41 was achieving 82 was
improving 71 was obtaining 59
was providing 41 was rendering
103 was resolving 41 was
against 76 was entries 188
was ravages 70 was dollars
118 was hundred 43 was
thousand 64 was efforts 939
was signals 78 was efforts
41 was familiar 51 was
foolish 76 was pleasant 46
was popular 76 was strides
49 was demands 133 was
inroads 51 was history 42
was efforts 45 was parties
53 was efforts 69 was
efforts 72 was hundred 59
was thousand 50 was efforts
56 was excuses 82 was
efforts 84 was efforts 87
was removed 67 was distant
77 was mitford 83 was
wandering 77 was because 54
was applied 46 was defined
212 was because 50 was
adapted 61 was adhered 50
was aligned 784 was attuned
501 was defined 291 was
divided 66 was focused 77
was guarded 221 was matched
64 was modeled 54 was
pressed 127 was reasoned 42
was related 16102 was settled
68 was studied 309 was
watched 367 was because 592
was between 195 was settled
481 was divided 487 was
settled 58 was because 40
was defined 193 was between
100 was between 49 was
towards 57 was because 247
was between 54 was endowed
86 was towards 140 was
towards 63 was because 96
was claimed 91 was applied
45 was defined 62 was
because 65 was because 42
was because 41 was because
42 was between 68 was
because 73 was perhaps 70
was dressed 105 was visible
88 was because 56 was
because 149 was outside 139
was because 55 was material
50 was adopted 45 was
touched 72 was diverse 58
was because 45 was because
64 was because 83 was
adhered 99 was applied 43
was defined 92 was handled
85 was defined 1107 was
divided 155 was focused 174
was between 55 was dressed
94 was defined 101 was
evinced 48 was excited 367
was incited 98 was opposed
277 was related 2645 was
tempted 66 was between 107
was because 51 was focused
55 was between 76 was
applied 102 was between 50
was between 116 was because
53 was present 128 was
aligned 183 was guarded 83
was pressed 114 was related
5028 was watched 57 was
devised 137 was between 126
was accused 63 was evident
51 was adapted 78 was
married 252 was greeted 48
was welcome 99 was because
68 was between 255 was
because 63 was between 44
was forlorn 80 was visible
89 was because 53 was
between 76 was increasing 45
was adhered 52 was defined
203 was focused 54 was
revealed 49 was uttered 71
was revealed 58 was against
47 was evident 66 was
excited 53 was opposed 637
was present 46 was pressed
48 was related 1006 was
because 99 was because 221
was brought 79 was present
75 was revealed 60 was
because 162 was granted 57
was against 46 was quickly
72 was rapidly 183 was
towards 126 was towards 187
was towards 49 was forward
141 was towards 865 was
against 64 was forward 270
was towards 550 was against
52 was towards 40 was
towards 222 was glasgow 58
was because 180 was comment
100 was because 41 was
because 490 was forward 43
was between 78 was regarding
40 was between 238 was
because 110 was between 50
was between 94 was between
128 was against 121 was
against 53 was because 99
was chatter 44 was between
896 was grumbling 41 was
because 47 was against 63
was comment 41 was between
237 was between 63 was
against 90 was between 334
was support 148 was sympathy
91 was against 52 was
because 308 was variation 91
was between 661 was because
70 was because 135 was
against 64 was because 89
was between 165 was between
127 was between 133 was
between 188 was concern 96
was between 51 was because
203 was herself 116 was
forward 363 was dollars 231
was thousand 185 was dollars
224 was traveling 41 was
against 55 was herself 96
was himself 85 was together
75 was against 50 was
science 53 was himself 52
was threatening 46 was outside
187 was happening 105 was
against 77 was against 151
was covered 46 was between
67 was accused 81 was
because 45 was revealed 49
was because 162 was because
153 was between 68 was
because 41 was because 367
was because 227 was because
85 was britain 49 was
certain 54 was everything 54
was germany 42 was religion
55 was slavery 51 was
citizen 67 was fifteen 41
was alluded 77 was touched
216 was forward 219 was
together 48 was because 43
was forward 51 was herself
73 was himself 93 was
