wafting down dilated flakes 98
wager four thousand pounds 145
wages were usually higher 53
wagon threw himself before 46
waiting five minutes before 79
waiting list control groups 144
waiting time between events 71
waive their miranda rights 369
waive their privacy rights 56
walking along lexington avenue 48
walking along madison avenue 342
walking along princes street 385
walking down bourbon street 181
walking down charles street 66
walking down collins street 75
walking down grafton street 135
walking down lexington avenue 121
walking down madison avenue 384
walking down patrick street 48
walking down portage anyway 47
walking down victoria street 52
walking home together through 44
walks were pleasant enough 55
walls just visible through 40
walls were covered inside 58
walls were erected around 196
walls were painted bright 157
walls were painted scenes 51
walls were painted yellow 278
walls were shelves filled 56
walls were somehow without 44
wanting those virtues myself 95
wants five hundred pounds 65
warming their chilled bodies 53
warning five minutes before 111
warning flung himself toward 48
waste into coastal waters 53
waste into surface waters 61
waste their country before 46
waste time wandering around 55
waste time wondering whether 113
waste your precious energy 67
watch their caloric intake 43
watch their offspring suffer 52
watch those glories expire 41
watch what happens inside 59
watch your alcohol intake 105
watch your caloric intake 55
watch your calorie intake 116
watch your language around 267
water among aquatic plants 73
water among competing regions 58
water during certain periods 74
water during certain seasons 66
water during drought periods 132
water during passage through 72
water five minutes before 174
water from distant places 223
water from distant points 60
water from distant rivers 119
water from distant streams 126
water from filtering through 109
water from natural causes 74
water from natural streams 139
water from organic matter 74
water from several rivers 76
water from several streams 63
water from siberian rivers 71
water from surface runoff 239
water from surface streams 131
water from surface waters 93
water into kinetic energy 42
water into organic matter 57
water into sparkling ripple 52
water into surface waters 127
water like massive clouds 67
water like pointed towers 63
water line between europe 73
water loss exceeds sodium 43
water more rapidly through 60
water over instant coffee 61
water rose fifteen cubits 50
water salt freshly ground 340
water soon becomes putrid 205
water soon becomes turbid 90
water will descend through 56
water will diffuse across 51
water will diffuse through 200
water will quickly become 67
water will resolve itself 50
water will trickle through 40
water will usually remove 89
waves from distant storms 65
waves their squares retire 49
waves weaving together toward 62
weather grew steadily colder 225
weeds were wrapped around 92
weeks from october through 63
weeks have elapsed before 86
weeks have elapsed without 146
weeks having elapsed without 78
weeks made himself master 120
weeks more elapsed before 51
weeks only elapsed before 63
weigh five hundred pounds 715
weigh four hundred pounds 607
